id_persona	forma	clip	small	base	greedy	categoria	text_small	text_base	text_greedy	decisio_audicio
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	sí	sí	sí	A-tres-models	aleshores	li he llistat, i aleshores els dos oponents es van posar de cort al moment, al moment.	i, aleshores, els dos oponents es van posar d'acord al moment.  Al moment.	
pa-033	diguem	clips/pa-033__diguem__49.01.wav	sí	no	sí	B-dos-models	diguem	Doncs normalment es revie amb interès.	normalment es revia amb... amb interès, diguem.	
pa-033	de fet	clips/pa-033__de-fet__249.69.wav	sí	sí	sí	A-tres-models	de fet	Ucabzi de tot de fet, eh?	Ho capgira tot, de fet, eh?	
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	sí	sí	sí	A-tres-models	a veure	"que la vaig fer a la vació.
 Podíem venir a veure, perquè clar, ja s'havia de començar a preparar,
 avui dels candidats."	i em va venir a veure, perquè, clar, ja sabia de començar a preparar,  les candidats.	
pa-034	diguem	clips/pa-034__diguem__504.45.wav	sí	sí	sí	A-tres-models	diguem	de la corentena, diguem, no?	i ho dic moltes persones de la cor antenna, diguem-ne.	
pa-035	doncs	clips/pa-035__doncs__195.49.wav	sí	no	sí	B-dos-models	doncs	i jo vaig participar d'un amic, una mica.	I, ara, ja he vingut a participar, doncs, una mica.	
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	sí	sí	sí	A-tres-models	evidentment	va costar fer aquest pas important, després evidentment entre la legislatura crítica o la més forte.	i no ens van anar més enllà.  Ens va costar fer aquest pas important.  Després, evidentment, entrem a la legislatura crítica	
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	sí	sí	sí	A-tres-models	a nivell	"Tots i que les reglacions entrenganm i altres perroquies
 no eren bones a nivell electoral, no s'havia perdut."	tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.	
pa-037	bueno	clips/pa-037__bueno__105.29.wav	sí	no	sí	B-dos-models	bueno	d'acompanyar-se, d'acompanyar-se.	i que s'ha constituït.  Gailbé, existim tothom.  Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquí està el mateix, he bainat.  I torne bé.  Bona ambient, molt bona ambient.  Molt bona ambient.  Torna a comentar coses del que ha fet passat,  però sobretot...	
pa-037	bé	clips/pa-037__b__105.29.wav	sí	no	sí	B-dos-models	bé	d'acompanyar-se, d'acompanyar-se.	i que s'ha constituït.  Gailbé, existim tothom.  Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquí està el mateix, he bainat.  I torne bé.  Bona ambient, molt bona ambient.  Molt bona ambient.  Torna a comentar coses del que ha fet passat,  però sobretot...	
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	sí	sí	sí	A-tres-models	vull dir	Ja et dic els agents exteriors, sigui ja no vull dir quins, però...	Ja et dic que els agents exteriors siguin... ja no vull dir quins, però...	
pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	sí	sí	sí	A-tres-models	reformeta	que ho vulguis, s'agressen a contentar-te amb una reformeta.	que ho convolguis, segueixen contentat amb una reformeta.	
pa-039	bé	clips/pa-039__b__27.77.wav	sí	no	sí	B-dos-models	bé	fins a la prostitució no hi estava.	fins a la prostitució no ja està bé.	
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	sí	sí	sí	A-tres-models	de fet	que ho trobava, i de fet el meu pare el portarés sempre sobre què hi pensem per el portar.	i de fet el meu pare el portava sempre sobre aquell pin.	
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	sí	sí	sí	A-tres-models	vull dir	"No vull dir potser de discursió,
 però potser no s'aclava d'entendre bé."	Un element, no vull dir de discussió,  però potser no s'acaba d'entendre bé.  Molt poc s'endurà.	
pa-041	ensenyança	clips/pa-041__ensenyan-a__523.25.wav	sí	sí	sí	A-tres-models	ensenyança	I aquest material pedagogic que tingués continuïtat també de cara a tota la primera ensenyança.	I aquest material pedagògic, que tingués continuïtat,  també de cara a tota la primera ensenyança,  perquè aviam si...	
pa-042	perquè	clips/pa-042__perqu__29.13.wav	sí	sí	no	B-dos-models	perquè	A més que res, perquè tenia els nens petits, crec que...	i que no hi hagi una escola.	
pa-043	crec	clips/pa-043__crec__102.25.wav	sí	sí	sí	A-tres-models	crec	"que està a dir.
 Per mi l'escola Endor Rana és que es veu una identitat, no, jo crec.
 És a dir, tots els albertats."	per mi l'escola en d'Orrana és una identitat no, jo crec.	
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	sí	sí	sí	A-tres-models	evidentment	"que tenen senyar-ho, evidentment, amb una sèrie de condicions molt clares,
 perquè hi ha nombre de persones."	que tenen senyor o, evidentment,  en una sèrie de...  de condicions molt clares,  dir-ho amb la de persona.	
pa-045	clar	clips/pa-045__clar__399.85.wav	sí	no	sí	B-dos-models	clar	No ho he fet, no ho he fet, no ho he fet, no ho he fet, no ho he fet.	amb el qual estava... amb res.  Amb el qual estava bastant clar.  Semblava bastant clar.	
pa-046	és a dir	clips/pa-046__s-a-dir__135.61.wav	sí	no	no	C-un-model	és a dir	Som filers, doncs es veiem el dia a dia i hem espanyol.	i que no hi hagi una altra.	
pa-046	diguem	clips/pa-046__diguem__626.01.wav	sí	sí	sí	A-tres-models	diguem	de les patates o les trumfes que diguem a canellos.	A part de les patates o les tronfes, que diguem a Canillo.	
pa-048	crec	clips/pa-048__crec__110.97.wav	sí	sí	sí	A-tres-models	crec	Si hi ha cel, jo no crec ni el meu infern, ni el purgatori, ni el cel.	Si hi ha cel, jo no crec ni en l'inferna, ni el purgatori, ni el cel.	
pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	sí	sí	sí	A-tres-models	a nivell	No, perquè normalment quan t'imbitan a nivell oficial t'imbitan a tal...	No, perquè normalment, quan t'inviten a nivell oficial,	
pa-049	llavors	clips/pa-049__llavors__230.45.wav	sí	no	sí	B-dos-models	llavors	"I aquí en Dorra va vindre llabons el delegat de prensa de la casa blanca.
 No sé si va ser arreu de la càrrecament de aquesta càrrec."	i aquí en Dorre va vindre llavors el delegat de premsa de la Casa Blanca.  No sé si va ser arreu realment d'aquesta carta.	
pa-049	a veure	clips/pa-049__a-veure__244.85.wav	sí	sí	no	B-dos-models	a veure	"I ja no ens ho pot dir.
 Ja no ens ho pot dir.
 Però va anar a tablar a visitar-te amb el meu pare,
 amb el meu pare, els van a veure després o aixec."	i el meu pare es va veure després a la xarxa.	
pa-051	crec	clips/pa-051__crec__208.57.wav	sí	sí	sí	A-tres-models	crec	No crec que arribi amb totes les húuelles de canilla, seny.	No crec que arribi amb totes les ovelles de canillo sent.	
pa-052	bueno	clips/pa-052__bueno__41.97.wav	sí	no	sí	B-dos-models	bueno	i heu erro de dins de germans.	I, bueno, tinc certs germans.	
pa-053	perquè	clips/pa-053__perqu__113.93.wav	sí	sí	no	B-dos-models	perquè	n'hi hagi d'aquí, n'havien guanyat una pel·la perquè volem desprotar la gent.	que no hi hagi una persona que no té cap problema.	
pa-054	bueno	clips/pa-054__bueno__51.69.wav	sí	sí	sí	A-tres-models	bueno	I, bueno, és el primer fàjum i l'àmbit.	i, bueno, és el primer pas.	
pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	sí	sí	sí	A-tres-models	reformeta	La diferència és que la reformeta tracta ben missatge.	La diferència és que la reformeta tractava amb missatges.	
pa-056	aleshores	clips/pa-056__aleshores__393.13.wav	sí	no	sí	B-dos-models	aleshores	i a desarres això està tan quadrícolat.	i, aleshores, això està tan quadriculat.	
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	sí	sí	sí	A-tres-models	vull dir	Bé, vull dir també perquè cal recordar-ho.	Bé, vull dir també, perquè cal recordar-ho.	
pa-057	tirar endavant	clips/pa-057__tirar-endavant__56.61.wav	sí	sí	sí	A-tres-models	tirar endavant	puguessin avançar i que vesim també d'autodisoldre per incapacitat de poder tirar endavant.	i que vesim també d'autodisoldre per la incapacitat de poder tirar endavant.	
pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	sí	no	no	C-un-model	És a dir	que volien ser com un pare.	i que no hi hagi una persona que no hagi tingut un lloc.	
pa-058	perquè	clips/pa-058__perqu__91.09.wav	sí	sí	sí	A-tres-models	perquè	i risòria, perquè no podíem acabar mai de decidir que una cosa...	i resòria, perquè no podíem acabar mai de decidir que una cosa...	
pa-059	clar	clips/pa-059__clar__36.61.wav	sí	sí	sí	A-tres-models	clar	Els altres teníem clar que havíem de fer el pas.	i és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	sí	sí	sí	A-tres-models	de fet	que van ocupar quatre anys de fet.	d'explicatures que van ocupar 4 anys, de fet.	
pa-061	o sigui	clips/pa-061__o-sigui__161.05.wav	sí	no	no	C-un-model	O sigui	Si la primera activitat dels germans, despionés, peri...	i que no hi hagi una altra gent que no té cap problema.	
pa-061	llavors	clips/pa-061__llavors__380.77.wav	sí	no	sí	B-dos-models	llavors	"-Exactament.
 -Ella abans comença a tornar a agradar-s'hi."	-Exacte.  -Bueno, llavors comença tot una agredació.	
pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	sí	sí	sí	A-tres-models	és a dir	"que ens donaven, és a dir que sin estaurés entre el món polític
 i el món empresarial, un diàleg."	que ells donaven, és a dir, que s'instaureix  entre el món polític i el món empresarial un diàleg...	
pa-063	crec	clips/pa-063__crec__758.81.wav	sí	sí	sí	A-tres-models	crec	"Això és el que hem d'intentar.
 Jo crec que s'està fent naturalment."	que comprin.  Això és el que hem d'intentar i jo crec que s'està fent.	
pa-063	o sigui	clips/pa-063__o-sigui__826.09.wav	sí	sí	no	B-dos-models	O sigui	O sigui que vam estar a la primera paix amb comets.	i és modern.	
pa-064	o sigui	clips/pa-064__o-sigui__36.73.wav	sí	no	no	C-un-model	o sigui	A més, les seves gràcies a les eleccions d'aquesta vegada.	i el que ha de fer és fer-ho.	
pa-064	a veure	clips/pa-064__a-veure__587.61.wav	sí	no	sí	B-dos-models	a veure	-El set de nata veure amb els anys.	No s'ha tornat a veure amb els anys.	
pa-065	bé	clips/pa-065__b__138.57.wav	sí	sí	no	B-dos-models	bé	M'agrada molt bé, el Serre Benopardis va marxar el paradis.	i el que va passar és que el que va passar és que el que va passar  va ser que el que va passar és que el que va passar és que el que va passar	
pa-065	doncs	clips/pa-065__doncs__157.49.wav	sí	sí	sí	A-tres-models	doncs	i quan hi ha amor, doncs deu haver-te entès els nostres coses.	i quan hi ha amor, doncs Déu, avi, tenen les nostres cors.	
pa-066	llavors	clips/pa-066__llavors__16.21.wav	sí	no	no	C-un-model	llavors	que es poden fer a l'estudio de la ciutadania.	i que la gent no s'ha de fer.	
pa-066	bueno	clips/pa-066__bueno__357.23.wav	sí	sí	sí	A-tres-models	bueno	periferia i, bueno, jo recordo de passat, si no.	i, bueno, jo recordo que he passat...	
