id_persona	segment	inici_s	final_s	token_baix	probabilitats_baixes	n_tokens_baixos	text_segment_asr	formes_cobertes	clips_coberts	llindar	estat
pa-001	66	212.320	216.880	an | aven	0.5328 | 0.2996	2	van anar sortint tota una sèrie de temes, però la Constitució va anavençant.	bueno	clips/pa-001__bueno__207.01.wav	p < 0.55	pendent d'audició
pa-001	67	216.960	220.400	el | ve | gu	0.3909 | 0.2796 | 0.2458	3	Hi havia una part que a mi em va manifestar el veguer francès			p < 0.55	pendent d'audició
pa-001	68	220.480	223.280	quan	0.3292	1	en aquell moment de preocupació quan es va disolver el consell,			p < 0.55	pendent d'audició
pa-001	69	223.360	226.520	el	0.3710	1	però aquesta preocupació el que realment va passar			p < 0.55	pendent d'audició
pa-001	71	229.080	232.240	enter | ior	0.1122 | 0.5153	2	com a base al procés constituent, que l'enterior no era,			p < 0.55	pendent d'audició
pa-001	73	235.040	238.200	en | jo	0.4757 | 0.3920	2	en el tema constitucional, jo diria que la tasca va ser més fàcil.			p < 0.55	pendent d'audició
pa-001	74	238.280	241.640	va	0.4105	1	I com que hi havia... va ser difícil, sí,			p < 0.55	pendent d'audició
pa-001	75	241.720	244.560	de	0.5107	1	però com que hi havia el préacord, de certa manera,			p < 0.55	pendent d'audició
pa-001	77	246.600	248.800	to | ix | temperatura	0.3880 | 0.3732 | 0.0353	3	tothom va fluixar una mica per un gust de temperatura,			p < 0.55	pendent d'audició
pa-001	78	248.880	253.040	mar | ant | e | es	0.3105 | 0.5203 | 0.4364 | 0.2793	4	i finalment es va trobar, margant el conste més eren més complexes que d'altres.			p < 0.55	pendent d'audició
pa-001	79	253.120	257.960	Ja | a	0.4071 | 0.3780	2	Ja es va fer, ja, el que podíem dir a la primera edició de la Constitució,			p < 0.55	pendent d'audició
pa-001	82	264.360	268.680	la	0.3243	1	i aquests es van guardar per la... van anar a la segona etapa.			p < 0.55	pendent d'audició
pa-001	83	268.760	271.760	que | en | d | es | dem | de	0.2696 | 0.3370 | 0.2614 | 0.4378 | 0.1524 | 0.3604	6	Però en aquell moment que en d'hora es demanés on ha estat de dret,			p < 0.55	pendent d'audició
pa-001	84	271.840	277.720	un | i | tot | les	0.5341 | 0.4143 | 0.5098 | 0.4692	4	i tot un reconeixement dels drets fonamentals i totes les coses,			p < 0.55	pendent d'audició
pa-001	85	277.800	281.120	op	0.5104	1	no hi va haver... no hi va haver oposició,			p < 0.55	pendent d'audició
pa-001	86	281.200	282.720	d	0.4639	1	pràcticament tothom estava d'acord.			p < 0.55	pendent d'audició
pa-001	87	282.800	284.920	el	0.4581	1	Un dia el vespre a les 8 i el res,			p < 0.55	pendent d'audició
pa-001	88	285.000	290.840	be | meu	0.5298 | 0.3137	2	rebeu una trucada d'un amic i company meu,			p < 0.55	pendent d'audició
pa-001	89	290.920	293.560	el | Frances | p | au	0.4323 | 0.5130 | 0.2740 | 0.1350	4	que era el Francesc Grau, que em pau descansar-hi,			p < 0.55	pendent d'audició
pa-001	92	299.480	302.880	d | ill | ò | pa | t	0.3348 | 0.2786 | 0.4012 | 0.3397 | 0.5099	5	"I la meva dillò és ""pa, que t'has tornat boig o què?"""			p < 0.55	pendent d'audició
pa-001	96	311.440	317.480	hi | ics | i	0.3709 | 0.3581 | 0.3181	3	perquè, si no, hi ha molts malics a lligar i no és fàcil.			p < 0.55	pendent d'audició
pa-001	97	317.560	319.840	al | d | em | or | tot	0.4481 | 0.3669 | 0.2786 | 0.4677 | 0.4190	5	I aleshores, després d'emorrar tot el telèfon,			p < 0.55	pendent d'audició
pa-001	98	319.920	323.120	b | eu | co | ix	0.1589 | 0.1678 | 0.2500 | 0.3225	4	"la meva resposta és ""bé, deixa'm eu consultar amb el coixí"			p < 0.55	pendent d'audició
pa-001	100	325.200	327.480	és | és	0.4389 | 0.3051	2	Sí, sí, però és que l'endemà és 8 del dematí,			p < 0.55	pendent d'audició
pa-001	101	327.560	330.240	ne | t	0.2804 | 0.3553	2	"em torne a trucar i em diu ""Albert, no cal que t'ho pensis,"			p < 0.55	pendent d'audició
pa-001	102	330.320	331.680	l | e	0.1425 | 0.2687	2	perquè l'economia està a la premsa,			p < 0.55	pendent d'audició
pa-001	103	331.760	335.400	per | de | per	0.4589 | 0.4415 | 0.4399	3	"per tant, ja està... ja està, de nou per fet""."			p < 0.55	pendent d'audició
pa-001	104	335.480	338.800	dels | va	0.5179 | 0.4039	2	Suposo que algun mateix dels interessats va ser...			p < 0.55	pendent d'audició
pa-001	105	338.880	342.240	a | depress	0.0725 | 0.3875	2	a qui es va preocupar de filtrar-ho per fer una mica més depressió.	a veure	clips/pa-001__a-veure__341.57.wav	p < 0.55	pendent d'audició
pa-001	106	342.320	344.840	A	0.4360	1	A veure, jo penso que és un moment molt delicat, molt important,	a veure	clips/pa-001__a-veure__341.57.wav	p < 0.55	pendent d'audició
pa-001	107	344.920	349.000	pact	0.5236	1	i a vegades, amb aquests pactes polítics,	a veure	clips/pa-001__a-veure__341.57.wav	p < 0.55	pendent d'audició
pa-001	109	353.560	356.400	per	0.0928	1	Això és igual que quan es fan candidatures per fer una gran candidatura,			p < 0.55	pendent d'audició
pa-001	110	356.480	358.840	si | de | o	0.5099 | 0.5421 | 0.5099	3	però si no té possibilitats de guanyar, vol més o no fer-la.			p < 0.55	pendent d'audició
pa-001	111	358.920	360.800	ara | t | he	0.1935 | 0.1797 | 0.4668	3	I a vegades, ara t'he d'introduir alguns canvis			p < 0.55	pendent d'audició
pa-001	112	360.880	362.840	cab | d	0.2459 | 0.4309	2	que no caben d'agradar tots, però políticament,			p < 0.55	pendent d'audició
pa-001	113	362.920	366.000	v	0.2385	1	són els que són interessants i, finalment, són vàlids.			p < 0.55	pendent d'audició
pa-001	114	366.080	369.600	al	0.4501	1	I aleshores, aquí, en el moment, hi havia, sobretot,			p < 0.55	pendent d'audició
pa-001	115	369.680	372.040	ho	0.3078	1	hi havia una certa divisió, si no ho recordo malament,			p < 0.55	pendent d'audició
pa-001	116	372.120	373.680	Ma	0.2367	1	entre els consellers de la Maçana,			p < 0.55	pendent d'audició
pa-001	118	375.840	380.320	all	0.3664	1	acabava de lligar això, però allò era jo.			p < 0.55	pendent d'audició
pa-001	119	381.400	385.160	no | cap	0.4741 | 0.3648	2	Tampoc... no és que tingués cap mèrit especial ni molt menys.			p < 0.55	pendent d'audició
pa-001	120	385.240	388.960	A | ter | em | prend | a	0.4800 | 0.3339 | 0.2655 | 0.3557 | 0.5436	5	Aterrar el consell, em prende jurament a aquesta mateixa taula,			p < 0.55	pendent d'audició
pa-001	121	389.040	393.360	bé	0.4805	1	bé, hi havia dos blocs completament diferenciats.			p < 0.55	pendent d'audició
pa-001	122	393.440	395.920	cur	0.5373	1	I, a més, hi havia un cas curiós			p < 0.55	pendent d'audició
pa-001	123	396.000	398.000	ens | et	0.2104 | 0.0180	2	perquè la majoria ensetza consellers,			p < 0.55	pendent d'audició
pa-001	125	400.560	402.200	per | l	0.3491 | 0.0894	2	per l'institució del cap de govern			p < 0.55	pendent d'audició
pa-001	126	402.280	404.920	19	0.2584	1	feia falta la majoria qualificada de 19 consellers.			p < 0.55	pendent d'audició
pa-001	127	405.000	409.160	iqu | i	0.4591 | 0.4324	2	La cosa es compliqui quan hi ha la presentació del pressupost.			p < 0.55	pendent d'audició
pa-001	129	411.280	417.240	major	0.3973	1	el pressupost passava per majoria havia de passar.			p < 0.55	pendent d'audició
pa-001	130	417.320	420.320	a | les | h	0.2612 | 0.2689 | 0.3651	3	El que passa és que a les hores hi ha una circumstància			p < 0.55	pendent d'audició
pa-001	131	420.400	423.880	de | ent | és | real	0.5329 | 0.4362 | 0.5081 | 0.4415	4	de que tampoc entés mai aquesta realitat,			p < 0.55	pendent d'audició
pa-001	132	423.960	427.480	hi | is | ol | lus | General	0.3724 | 0.5489 | 0.3410 | 0.5322 | 0.3974	5	hi ha un conseller que proposa l'autodisol·lusió del consell General.			p < 0.55	pendent d'audició
pa-001	134	431.320	434.720	i | a	0.2742 | 0.4552	2	que no havia passat mal i ens agafa a tots a contrapeu,			p < 0.55	pendent d'audició
pa-001	135	434.800	436.800	total	0.2245	1	totalment, i a mi el primer, però clar,			p < 0.55	pendent d'audició
pa-001	136	436.880	440.240	ll | es | subir	0.5036 | 0.3646 | 0.4539	3	el consell estava disolts, era dir-ho que el consell es subirà,			p < 0.55	pendent d'audició
pa-001	138	442.720	445.720	per | anar | no	0.5321 | 0.2074 | 0.5083	3	per tant, només queda una solució, anar a noves eleccions.			p < 0.55	pendent d'audició
pa-001	139	445.800	448.760	Particip | un	0.4274 | 0.2457	2	Participa un conseller, malgrat les eleccions, no em presento.			p < 0.55	pendent d'audició
pa-001	140	448.840	454.120	O | tal	0.2553 | 0.4047	2	O sigui, perquè amb tot el tal com estava el tema,			p < 0.55	pendent d'audició
pa-001	141	454.200	457.160	crisp	0.3654	1	com havia anat tot i l'ambient amb una certa crispació,			p < 0.55	pendent d'audició
pa-001	142	457.240	462.000	personal | fe | al | que | d | alt | m	0.3965 | 0.3098 | 0.4475 | 0.3954 | 0.4790 | 0.2307 | 0.1791	7	personalment vaig considerar que feia un favor al grup que dalt m'hi afora,			p < 0.55	pendent d'audició
pa-001	143	462.080	465.080	pas | particip | sent	0.4222 | 0.1603 | 0.3993	3	que no pas participant sent candidat, i em vaig quedar afora.			p < 0.55	pendent d'audició
pa-001	144	465.160	468.760	un | que | Mod | Ver	0.4137 | 0.4231 | 0.2958 | 0.3612	4	El que passa és que després un dels companys que va ser el Modés Veró,			p < 0.55	pendent d'audició
pa-001	145	468.840	471.880	a | el | ider | per | form	0.2208 | 0.2525 | 0.5044 | 0.1968 | 0.3105	5	a l'Òscar el Crider, per formar part del govern,			p < 0.55	pendent d'audició
pa-001	146	471.960	477.360	o	0.2891	1	i en aquell moment els tres altres consellers o els quatre consellers			p < 0.55	pendent d'audició
pa-001	147	477.440	481.000	havia	0.5439	1	designaven que havia de ser el substitut.			p < 0.55	pendent d'audició
pa-001	148	481.080	484.680	al | ma	0.4253 | 0.1608	2	I aleshores, a nivell de la maçana,			p < 0.55	pendent d'audició
pa-001	149	484.760	486.960	als	0.5149	1	a part que ho fes als consellers,			p < 0.55	pendent d'audició
pa-001	150	487.040	489.680	jo	0.2152	1	jo vaig demanar que fes una reunió, no diré de partit,			p < 0.55	pendent d'audició
pa-001	151	489.760	493.240	nos | i | all	0.3867 | 0.5052 | 0.3021	3	però sí de grup i simpatitzant-nos i la gent que hi havia allà.			p < 0.55	pendent d'audició
pa-001	152	493.320	497.360	ja | has	0.4888 | 0.5040	2	I aleshores una vegada més va ser la insistència i ja has de tornar.			p < 0.55	pendent d'audició
pa-001	153	497.440	500.280	me | di	0.4707 | 0.5156	2	No en tinc ganes, o sigui, ja me'n diuen.			p < 0.55	pendent d'audició
pa-001	154	500.360	503.560	ja | del	0.5292 | 0.4082	2	I ja has de tornar, perquè ho has viscut des del primer dia,			p < 0.55	pendent d'audició
pa-001	155	503.640	506.440	d | ells | en	0.2748 | 0.1245 | 0.3010	3	ningú d'ells que som aquí en sap més que tu,			p < 0.55	pendent d'audició
pa-001	156	506.520	509.960	s | ha	0.1014 | 0.3594	2	saps com estan les coses, per tant, has d'acabar la feina que ha començat.			p < 0.55	pendent d'audició
pa-001	157	510.040	513.240	a | com	0.2997 | 0.3543	2	I aleshores em torno a trobar sentat a la cadira com a conseller			p < 0.55	pendent d'audició
pa-001	160	518.520	522.080	f | è | iss	0.4362 | 0.2816 | 0.2236	3	diré que fèiem una reunió després de cada comissió tripartida,			p < 0.55	pendent d'audició
pa-001	161	522.160	523.480	per	0.4487	1	per explicar com havia anat,			p < 0.55	pendent d'audició
pa-001	162	523.560	526.360	llers	0.3082	1	perquè és millor que els consellers s'interessen per boca,			p < 0.55	pendent d'audició
pa-001	163	526.440	529.600	diu | ja | es | diu	0.1714 | 0.3078 | 0.3050 | 0.2506	4	diu que ja era present i es diu que és una informació directa,			p < 0.55	pendent d'audició
pa-001	165	531.440	534.640	no | f	0.3587 | 0.5314	2	Pràcticament després de cada reunió no vol dir que fos immediata,			p < 0.55	pendent d'audició
pa-001	166	534.720	537.040	alt | fe	0.5338 | 0.3753	2	però, en un pla dels altres dies, feia una trobada			p < 0.55	pendent d'audició
pa-001	168	538.960	541.720	i | se | ient	0.3140 | 0.2820 | 0.2939	3	A la taula tripartida, i seient,			p < 0.55	pendent d'audició
pa-001	169	541.800	547.720	nd	0.3989	1	el síndic i, en un moment, acompanyat del conseller.			p < 0.55	pendent d'audició
pa-001	170	547.800	551.000	a	0.4999	1	I un assessor per cada banda, i els altres a segona fila,			p < 0.55	pendent d'audició
pa-001	171	551.080	552.880	an	0.2467	1	que anaven donant la seva opinió,			p < 0.55	pendent d'audició
pa-001	173	557.200	560.080	ur	0.2236	1	procuràvem anar sempre amb els deures fets, les propostes fetes,			p < 0.55	pendent d'audició
pa-001	174	560.160	562.600	r | ins | ins	0.4756 | 0.3626 | 0.2858	3	i, a partir d'aquí, les delegacions dels coprinsins			p < 0.55	pendent d'audició
pa-001	175	562.680	565.560	don | a	0.5291 | 0.1823	2	donaven la seva opinió, a vegades era favorable,			p < 0.55	pendent d'audició
pa-001	176	565.640	569.120	i | que | int | ent | és | mod	0.3768 | 0.3511 | 0.3324 | 0.4845 | 0.4384 | 0.3232	6	i a vegades hi havia alguna reticència que s'intentés modificar, però no.			p < 0.55	pendent d'audició
pa-001	177	569.200	571.080	par	0.4329	1	A les parroques tenien quatre consellers.			p < 0.55	pendent d'audició
pa-001	178	571.160	575.160	per | dem | el	0.4147 | 0.1742 | 0.5430	3	Aleshores, algunes parroques perdem el 50% dels consellers,			p < 0.55	pendent d'audició
pa-001	179	575.240	577.160	les | entend	0.4587 | 0.3670	2	no va ser fàcil fer-les entendre,			p < 0.55	pendent d'audició
pa-001	180	577.240	579.400	a	0.4136	1	i sobretot a les parroques menys populades.			p < 0.55	pendent d'audició
pa-001	181	579.480	582.560	O | can | ell | cam | ordin | ma	0.5337 | 0.5200 | 0.1957 | 0.3581 | 0.4658 | 0.2369	6	O sigui, canell, cam, ordin, maçana, no era fàcil,			p < 0.55	pendent d'audició
pa-001	182	582.640	584.280	ha | en | ul | tamp	0.5266 | 0.3218 | 0.3867 | 0.2052	4	i s'ha enjuliat tampoc massa.			p < 0.55	pendent d'audició
pa-001	183	584.360	586.840	una | de	0.4873 | 0.5126	2	I, aleshores, aquí hi va haver una labor de...			p < 0.55	pendent d'audició
pa-001	185	590.920	595.080	intent | conv | bo | i	0.1622 | 0.2708 | 0.5263 | 0.4652	4	intentant convèncer que allò era el bo i, finalment, va acabar bé.			p < 0.55	pendent d'audició
pa-001	186	595.160	597.200	dels	0.4640	1	I després, el tema de competències dels comuns.			p < 0.55	pendent d'audició
pa-001	189	602.840	604.880	hi	0.5498	1	i hi va haver unes reunions bilaterals,			p < 0.55	pendent d'audició
pa-001	191	608.720	611.920	conse | de | Fran	0.4194 | 0.2657 | 0.3103	3	perquè els francesos, la delegació del consell de França,			p < 0.55	pendent d'audició
pa-001	192	612.000	614.720	ten | en | el	0.4997 | 0.4846 | 0.1763	3	tenen això, és un tema que nosaltres el solventeu,			p < 0.55	pendent d'audició
pa-001	195	618.880	622.040	ne | i | es	0.0480 | 0.2938 | 0.5018	3	neufent i es van fer aquestes reunions,	vull dir	clips/pa-001__vull-dir__621.37.wav	p < 0.55	pendent d'audició
pa-001	196	622.120	624.640	jo	0.2665	1	els consells, jo vull dir, van col·laborar també,	vull dir	clips/pa-001__vull-dir__621.37.wav	p < 0.55	pendent d'audició
pa-001	199	629.400	631.920	i	0.3511	1	el posicionament i les competències dels comuns,			p < 0.55	pendent d'audició
pa-001	200	632.000	634.040	hi | dub | oses	0.3202 | 0.1117 | 0.4439	3	que hi ha algunes que potser eren una mica dubtoses.			p < 0.55	pendent d'audició
pa-001	201	634.120	637.560	que	0.5011	1	L'altre punt que és interessant és la reforma de la Constitució,			p < 0.55	pendent d'audició
pa-001	205	648.920	652.920	a | dona	0.5347 | 0.3838	2	I, aleshores, això per un costat dona una seguretat jurídica			p < 0.55	pendent d'audició
pa-001	206	653.000	656.040	merc	0.4090	1	que no està a la mercè de qualsevol majoria,			p < 0.55	pendent d'audició
pa-001	210	666.120	670.480	Perquè | quan	0.4057 | 0.5460	2	Perquè quan la modifiquem, l'un voldrà el matrimoni gaire.			p < 0.55	pendent d'audició
pa-001	211	670.560	674.440	ho	0.4111	1	L'altre voldrà, no ho sé,			p < 0.55	pendent d'audició
pa-001	213	678.640	680.160	no | rin | ces	0.4573 | 0.4424 | 0.4677	3	L'altre no voldrà els coprinces.			p < 0.55	pendent d'audició
pa-001	214	680.240	683.840	vot | amb	0.3905 | 0.4163	2	I, aleshores, el que no li arreglen el que ell vol votar amb contra,			p < 0.55	pendent d'audició
pa-001	215	683.920	686.960	ass | ol	0.3900 | 0.2429	2	per tant, assolir un consens ampli és complicat.			p < 0.55	pendent d'audició
pa-001	216	687.040	690.720	Mit	0.4311	1	La Mitra és una institució més pròxima,			p < 0.55	pendent d'audició
pa-001	218	692.240	695.680	però | dol	0.3748 | 0.1385	2	i però sempre aquí hi havia la interferència del que dolce.			p < 0.55	pendent d'audició
pa-001	219	695.760	697.280	Min | són | tres | ex	0.4672 | 0.3995 | 0.3374 | 0.3153	4	Ministers són tres exteriors.			p < 0.55	pendent d'audició
pa-001	220	697.360	700.040	no | era | Mon | II	0.5484 | 0.2567 | 0.1506 | 0.4216	4	Per ells, en torno era Monaco II,			p < 0.55	pendent d'audició
pa-001	223	704.640	710.000	r | ín | cer | de | mi | ter | amb	0.4505 | 0.2326 | 0.2627 | 0.3419 | 0.2854 | 0.4429 | 0.3796	7	Aleshores, aquí, el copríncer de mi terreny, amb el seu segon mandat,			p < 0.55	pendent d'audició
pa-001	224	710.080	712.480	o | amb | ord	0.5403 | 0.4173 | 0.4696	3	poso les coses amb ordre.			p < 0.55	pendent d'audició
pa-001	225	712.560	714.800	D | iu | en | sol | uc	0.2378 | 0.5227 | 0.4081 | 0.2016 | 0.3991	5	Diuen, senyors, el copríncer solució no és el que dolce.			p < 0.55	pendent d'audició
pa-001	226	714.880	717.400	é	0.3913	1	Per tant, tot el que dolce cap a l'Elisé,			p < 0.55	pendent d'audició
pa-001	228	720.880	723.080	a | v | ée | Col | é	0.3619 | 0.1032 | 0.5274 | 0.1900 | 0.2774	5	i a l'Ivée Colé, que és el seu conseller tècnic,			p < 0.55	pendent d'audició
pa-001	230	726.880	728.600	ja | est	0.4774 | 0.5141	2	ja amb un criteri preestablert.			p < 0.55	pendent d'audició
pa-001	231	728.680	731.680	si	0.4273	1	Perquè si alguna cosa té el sistema francès,			p < 0.55	pendent d'audició
pa-001	232	731.760	735.160	de | mana | a	0.4195 | 0.2602 | 0.2571	3	és que si el de dalt mana una cosa, els altres a creure-hi.			p < 0.55	pendent d'audició
pa-001	233	735.240	737.640	O	0.2893	1	O sigui, això ho veus amb les reunions de treball,			p < 0.55	pendent d'audició
