id_persona	forma	interval_escolta	clip	sha256	coincidencia_small	coincidencia_base	consens_textual	text_small	text_base
pa-034	bé	18.85-23.15	clips/pa-034__b__18.85.wav	1f30c9f13a81e15ff61db047cab9d99d2e40492184c452071145911d324552e8	sí	no	no	de la vall, passar bé a algú, un esplancar-te, uns llançors.	de la barriga, passava algú.  Desplem cartes, uns llanços.
pa-035	bé	715.81-720.31	clips/pa-035__b__715.81.wav	3bee08777cae7cfb8a9cf69ee991e50de4e3a6df2dcc6fa1c3ba08e8e03a9507	no	sí	no	i això és el que ha de fer.	Això no hi va haver una comença que s'acabaria bé, perquè bueno.
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	92f1604a22b86f3c74aa7470883843d51e3dff1b7b7ce032f1b62aa1ee5ea6a5	sí	sí	sí	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	el cop principal ens ha vingut molt bé  i pensàvem que aquestes viuen continuar  i així ens ha sigut.
pa-037	bé	105.29-124.79	clips/pa-037__b__105.29.wav	06492e67f98cb5ff6ac0d9ccce990af01b2ac560f6a02ec29f9173dfe995ec1d	sí	no	no	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	d'acompanyar-se, d'acompanyar-se.
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	9a8b5b80d6eb8653df738050cd79666a39bc0cf09610a317185389a897599200	sí	sí	sí	No està bé considerada com un estat real.	No està bé considerada com un estat real.
pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	9f205fdb77948f20db612fa965d1b98ea9dbc5150d1a003937b7c95e563147d6	sí	no	no	fins a la prostitució no ja està bé.	fins a la prostitució no hi estava.
pa-040	bé	32.81-38.63	clips/pa-040__b__32.81.wav	51b3eada431d0bcb5efe581e64a820ef089bd36a1baf27a15188ae4da8889b38	no	no	no	i el que ha passat és el que ha passat.  I el que ha passat és el que ha passat.	Les eleccions, les eleccions, les val, les vam ser.
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	a68aff31d4d7e3d50c926aba76d9f17f320b994cb7e11d53f0d490839d7f8276	sí	sí	sí	Bé, jo crec que hi havia persones més receptives	Bé, jo crec que hi ha d'haver persones més receptives
pa-045	bé	83.49-91.43	clips/pa-045__b__83.49.wav	361724fa3ca9a5367697b671f81950f433a0411978eaf451e4c8caa62c80e325	sí	no	no	o bé el que considerem imprescindible i no deixa de ser innecessari.	o ve al que considerem mi imprescindible i no deixa de ser inassassari.
pa-046	bé	348.81-352.55	clips/pa-046__b__348.81.wav	3b278759a27898565a9ba4b20321e1da89b959bed4c0db4ef3e3c77fbb2509bf	sí	no	no	I volem avançar dins del camp, molt bé.	i volem avançar dins del càmodeu.
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	c387285fa37a49bf0183699c28c6cb6ad52afae3d174891ae1339efe5fd8ea55	sí	sí	sí	Bé, no que t'espai físicament, però que t'espai emblemàtic.	Bé, no que t'espai físicament, però que t'espai emblemàtic.
pa-049	bé	74.21-82.63	clips/pa-049__b__74.21.wav	ef676d09815d210cee31283bdddfd05be42d436a5698ffae0e503200b028ab61	sí	no	no	perquè a la llarga i sobretot en petits països.  S'ha de partir de la base d'entre tots fer-ho tot.  O bé que la dona ara...	perquè la llarga i sobretot en petits països  s'ha d'apartir de la base d'entratuts fer-ho tot.  Ho ve que la dona ara...
pa-053	bé	90.81-95.91	clips/pa-053__b__90.81.wav	9115c12d369b3bb197dfd272adb3d2860e2a3852cdc1be7efef9bd8739b77ed1	no	no	no	i el meu germà el febi amb una corda i jo els pujava.	d'erba, il·lama, germà, lletsebi, monacorda i jo els pujarà.
pa-054	bé	128.77-134.43	clips/pa-054__b__128.77.wav	a47dc6b094324d82ae2182181c82f324cf26cccdab245eedc3d6e602d0e91998	no	sí	no	I la gossa era el sisquet de puig, es vestia de gossa.	I la bossa era el sisquet de pui.  Has vestit bé de bossa.
pa-055	bé	358.57-362.07	clips/pa-055__b__358.57.wav	34d71f23eaa5314c8bbc13163699ad7326deffbea0194e1fd6adcb261df23837	no	sí	no	B, no?	bé, no?
pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	be3e64d686c52927c96745d0ba7df289b9d0957d0da403ef1b1da9fb03b1766d	sí	sí	sí	"""Pasabe"" o ""pero sentimen"" o ""pero nonimidad""."	o pasabeu, però sentim-me, però no limitad.
pa-057	bé	203.57-209.03	clips/pa-057__b__203.57.wav	5492b3b2cf53849c1b03e9bc5aea26566bf9aff819e50f36a6b5389fd86c814e	sí	no	no	que el sistema està bé, una mica amb l'incapacitat d'una solució.	que les persones de l'estat de l'estat de l'estat de l'anceur.
pa-058	bé	210.61-215.39	clips/pa-058__b__210.61.wav	6674c5322827709752c45df8853aea9f030442669673f32267ca5b008003ce5c	no	no	no	dintre de l'UCPA, quan es va formar.	dintre de l'UCPA quan es va formar
pa-059	bé	112.41-118.27	clips/pa-059__b__112.41.wav	4b3ab0927fdabdd652bcb7faa3cb5a0c80780548e50790644a0a6ae55fc097da	no	no	no	llavors a partir d'aquí va començar a veure la paraula d'emissió,  d'emissió, d'emissió i tot va anar...	d'acord, i a partir d'aquí vam començar a veure la paraula de missió,  de missió, de missió, i tot va anar.
pa-060	bé	415.73-419.91	clips/pa-060__b__415.73.wav	b2c9be9d1b9b85533e5b640f318feeecb75e793dfa829fffa2954a1b1f8327fb	no	sí	no	que fan els metros a mesura que anaven creixent.	Fem els metros a més uret que n'ha bé creixent.
pa-061	bé	662.89-667.43	clips/pa-061__b__662.89.wav	ad23a7e65a7e9490e9e5ba9c51d87ef1f6a686ba78779eb4b9f279378b67f46e	sí	no	no	que no li ha agradat, eh?, sempre que li n'hi ha bé,  però jo sé per què, mudada.	No sé si és una realitat.
pa-062	bé	401.61-406.47	clips/pa-062__b__401.61.wav	38f02c1b9070498812dd505aaa226cc78810c5dc0364f2295dd706915d2fa0bf	no	sí	no	S'ha ensenyat algú.	-Doncs ensenyar-lo? -Sí, oi.  Bé, aquesta que té no el com tu dius, que és forçar-lo.
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	5e555865701ba251187855e9f64c41a4da8a64883a220b860aff83a141c6c032	sí	sí	sí	Bé, treballem una cosa que amb una il·liogràdia que ja ha donat...	Bé, treballem una cosa que em vulgui agradar que ja ha donat-ho.
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	f2853c6daf3f83d218c44e2ece3d6b4dcf75210e30882a7d464881930c4dabf0	sí	sí	sí	Bé, ara ens exercitarem amb l'exercici de la memòria.	Bé, ara ens agercitarem amb l'exercici de la memòria.
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	13d706fe597ebef3b508b59a531d16f8db00f85915f3493c1489e5b33de6329c	sí	sí	sí	M'ho diu jo, molt bé, el cert que ve no el paradís,  va en marxar del paradís, però...	M'agrada molt bé, el Serre Benopardis va marxar el paradis.
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	250a23141136c42f1e2836ff2f3758048ad53d182346bd09d0ab497ea3c06b02	sí	sí	sí	el trànsit estava complicat.  I bé, venint de casa meva, que jo vivia...	L'últim que hi ha d'haver parlat del trànsit estava complicat.  I bé, venint de casa meva, aquí a vivia...
pa-001	de fet	68.49-71.99	clips/pa-001__de-fet__68.49.wav	851dbae6253ffdface9f901f96eef681d2f9f9cb30bda66c54f5144e53b30041	sí	no	no	perquè, de fet, els tenia tots i la famosa rebaixia.	per fer-ho d'obtenir tots i la famosa raó.
pa-002	de fet	72.25-76.75	clips/pa-002__de-fet__72.25.wav	847f1018b1b45bc0a38c4eca4b30755512db15e0dba03ec14eebf6bbdda2cfd1	sí	no	no	Va servir per això, de fet, per evidenciar amb el servei.	Jo crec que va servir per això.
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	008eb3fe6d9be6fb42738890fa5177d68247f534391c20920525c41994e35dd1	sí	sí	sí	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	6f305ce3b656fbd3f74eb3e3bb1eef5471b8898aeee64dcd05c7049966915832	sí	sí	sí	molt complicat i comportàvem la gent, de fet, comportàvem molta complexitat i precisió.	complicat i comportàvem a gent.  De fet, comportàvem molta complexitat i precisió.
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	1bf772774bb8043b9f1f91446680ac19da3b91704a57ad5bee82b37b0b9ac226	sí	sí	sí	és que, de fet, només hi ha una sola peça al muiment.	de plat és que de fet només ja que una sola peça amui men i una sola peça
pa-008	de fet	799.25-804.75	clips/pa-008__de-fet__799.25.wav	258cb96e038458f4aed2481073381e1b001bb4cffe92535d5efb901a8055498a	sí	no	no	que embutava el terra, de fet va haver-hi algun incident cremant algun tendal.	que em votava al terra de fer-te haver-hi algun incident que em van agontantar-ho.
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	6f7245008f39b5a51b16fca07169d000b0e91a17cb7b40b0141731471492bcd9	sí	sí	sí	i ho són, és de fet, en concret, el dia de ser fixeu-vos també en el detall amb l'esforç...	d'aquest tipus on és, de fet, amb concret o viatzi de segons, per mi m'agradaria amb les fornets.
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	74feacb443cae46de84816b37e1b0a352845e9eeff6cfeb557c32be14d1e361e	sí	sí	sí	de fet, quan es va inaugurar al pal, com a tal, als 16...	De fet, quan es va inaugurar que el pal com a tal el senyor,
pa-016	de fet	318.53-324.03	clips/pa-016__de-fet__318.53.wav	84cbcc4e1c24b07e98c045a58a1d6b4ca47a7767d60667070ce816649d43935f	sí	no	no	no ens passarien, perquè de fet,  tant l'altra comissió que estava, que era la Comissió de Finances,	d'aquesta manera que la Comissió de Finances s'ha de dir.  La Comissió de Finances es pot trobar-ho d'acord.
pa-022	de fet	420.21-424.71	clips/pa-022__de-fet__420.21.wav	af302f4211879739bd8091c79ba3e5666401bde824ff072650352bc78559b913	no	no	no	és una cosa que no té res a veure amb aquests darrers anys.	que no s'ha tocat amb aquests 31 anys.
pa-023	de fet	72.49-78.31	clips/pa-023__de-fet__72.49.wav	22d5efac82b842a1fc62f7b0bf600c5aea467e1f0ff55ab879d4b1f4f65ffbda	sí	no	no	dels legislatures que van ocupar 4 anys, de fet.	que van ocupar quatre anys d'aquest llibre.
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	59ccb13d083f2806c40f8e502377c50015681fba7bdcbce4f997877b1351a63a	sí	sí	sí	de fet, ens va dibuixar una mica la seva teoria.	de fet, amb fàdibuixant una mica seva teoria.
pa-025	de fet	890.85-894.31	clips/pa-025__de-fet__890.85.wav	a559a2cde3a26d3892dd1f6c0429cb20c6210324f18046d1afc84744ceff4cf2	sí	no	no	que eren les llicències de fet o amb pares.	S'han de mirar en un lloc de les ciutadans que hi haurà a les ciutadans.
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	62772c63d9db7198189ed0009cd36dde8e4b071838889fc6b2ca1a9d9b845908	sí	sí	sí	que de fet ens vam reunir, vam fer seminaris al tertè, vam fer seminaris...	que de fet es van reunir, vam fer seminaris,  el tartei, vam fer seminaris.
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	aeff5683a84ab11ea5d8a8f1aaf029d27cdd3720613c2afeac4659324f031326	sí	sí	sí	i va donar entendre que Sant Marino era Itàlia, de fet.	de llibre d'on entendre que San Marino eri tal i o de fet.
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	5785296cce7554b7cb749c80b7cb6e1fbe29aa36ce7eaa2ff059ae184192b98a	sí	sí	sí	I, de fet, no em va portar ningú, jo em vaig portar...	i de fet, no em va portar d'ingú, jo em vaig portar.
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	46a44cd237981a6175ace71efc9c7211829ef554ac1021d65b6c74757ae97af0	sí	sí	sí	El capgir és tot, de fet, eh?	Ucabzi de tot de fet, eh?
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	1a1f4d6fe223de8ca0f3798029daa9a58cc783b6c68421e0666332a6e0bbdf51	sí	sí	sí	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	que ho trobava, i de fet el meu pare el portarés sempre sobre què hi pensem per el portar.
pa-051	de fet	200.81-205.31	clips/pa-051__de-fet__200.81.wav	0285ad57f4c9bdaafb7811096af2b37d99e3a1ca2edd83ce3d307d428d21a609	no	no	no	i el que és el que és el que és el que és el que és el que és el	S'han de fer en el diàgraf.
pa-057	de fet	561.25-569.07	clips/pa-057__de-fet__561.25.wav	f60689c72422dd191b8e8e1427701fbb4c3f158b74a781b44419188b83c10e25	no	no	no	a fer l'avançar una mica més, era en minoria,  i van buscar una solució que no sí,  la votació del conseller General, i es va buscar a la votació...	de fer l'avançar una mica més en minoria i van arribar a buscar la solució,  que no sí, que no s'hi va conèixer i que no s'hi va buscar.
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	c9b4a528445a1057a5f3a047b6e68cb9f6ab9e2db61b98a7394c4753d3c7d8a6	sí	sí	sí	dos legislatures que van ocupar 4 anys, de fet.	que van ocupar quatre anys de fet.
pa-065	de fet	883.97-888.71	clips/pa-065__de-fet__883.97.wav	5685365f3b00bfe1a63764e888abf93b90b4eebbd10b79ceca8eabde8f0ff101	no	no	no	el poble que ha de fer és, com a Jesús, encarnar-se amb el poble.	de fer com Jesus encarnar-se amb el pot.
pa-066	de fet	44.37-49.71	clips/pa-066__de-fet__44.37.wav	dbe5e9976b2c7b08c17418d9f351cc61ea16589892a902afae955be09045087b	sí	no	no	En aquest edifici, de fet, va ser l'únic, va ser important, no?	No ho sé si la gent va ser l'únic,  va ser important.
pa-001	és a dir	890.97-894.47	clips/pa-001__s-a-dir__890.97.wav	f66753c5bc118e0315902c298296c8a5beb477ca293933638f85bba7ae2b7388	no	no	no	I el llibre de l'altre dia va ser el que va passar.	Està tot tan càtia, l'ingrés a la bona.
pa-002	és a dir	12.25-17.75	clips/pa-002__s-a-dir__12.25.wav	6aa060c5245db509abfb70f46cd39abe070648e52010c2146d0e3f65b9f9adf2	no	no	no	per molt que s'hagués fet, el que se'n va dir reformeta,	Però no que s'hagués fet que s'havia de reformar-te.
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	59b64c066f1c3da6cb7dda74af1439a5735602573b5b739c14a9957829358293	sí	sí	sí	És a dir, crec que això és important, no es crea com anem...	És a dir, crec que això és important, no es crea com anem...
pa-007	és a dir	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	90b5e99b7d6efac4f8a32ffbc80d1fc68cc5d31b28e5dfec4aea16991c4a2132	sí	no	no	és a dir, canviar el nom de carrers,	És li, canviar el nam de carrers.
pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	d7847079f3efecbd32a84cafe9c06c682f01f3697e52af62b036a54b2c607e25	sí	sí	sí	a la festa o fer planter, no? És a dir,  quan els més grans s'hi implicen.	va a la festa o fer plante, no? És a dir, quan els més grans s'impliquen...
pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	be9f18bc86f42531bca48f45180c65afcc40de7b6246c72a4e1ddeb93c5171b6	sí	sí	sí	és a dir, interpretables o en tenuts dos mitjans en la nostra llengua actual.	És a dir, interpretables o en termina dos mitjents en la nostra llengua.  Tual!  Sí.
pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	e1904cb81b1d6adbcad154c83d7ba280b510707fe8a0fca66629592f681002f0	sí	sí	sí	és a dir, una casa és tota la família i tot és les seves propietats.	És a dir, una casa és tota la família i tot és les seves propietats.
pa-013	és a dir	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	30f54ca8f95556f452e42047d54e4de6a1235335e4afb66e77b83fe5bd922380	sí	no	no	torran. És a dir, l'arquitectura de granit es dona en un moment de reconversió gradual  del nostre país, que passa de ser...	és de dir, l'arquitectura de granites dona en un moment de reconversió gradual del nostre país que passa de ser
pa-014	és a dir	95.45-107.35	clips/pa-014__s-a-dir__95.45.wav	937818a38ad39abcac08411c2e0188ba532abd50c204a759271d8a052d426d23	no	sí	no	Me n'he assabentat de moltes coses i m'he fet una miqueta estudiós del ball del contrapàs.	Meneen sabentat de moltes coses.  És a dir, m'he fet una miqueta, com diríem una miqueta estudiós,  del ball del contrapàs.
pa-016	és a dir	85.97-90.59	clips/pa-016__s-a-dir__85.97.wav	5e147da8e76844f2f8ce04867a23c97da0fe02cba43a70432c0fc2c8afe66cee	sí	no	no	sempre. És a dir, després he tingut altres càrrecs i encara que no ho sembli, doncs...	S'ha dit després que tinguin hagut altres carrers i encara que no ho sembla, doncs a l'hora.
pa-017	és a dir	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	76794b4314dd38ba0f8979bf00b317b78e187016f5a11beabb485f65ae5c05ab	sí	sí	sí	és el quin perd, és a dir, que sempre hi ha aquesta incognita  i, evidentment, que teníem nosaltres, sí que ho havíem,  però el que n'havia d'estar...	És el quim pert, és a dir que sempre hi ha aquesta incognita  i evidentment que teníem d'altres sí que ho ha vingut,  però al quina vida és així.
pa-018	és a dir	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	c1b8c86cc470f9191fdb5a34c4d5e4886e4a9927206a0b5de46c8b13140e5cca	no	sí	no	que volien ser com un poc.	És a dir que nosaltres podien dins que volíem ser com un...,
pa-019	és a dir	56.25-60.75	clips/pa-019__s-a-dir__56.25.wav	67da3a42e6228a1a0479c7ecc4b896b1974bcb60d2a01532042cc03c077f04fe	no	no	no	És una de les coses que ens va deixar a Marencia,  el consell que es va dir...	Estic una de les coses que ens va deixar de marència al consell que es va dir.
pa-021	és a dir	32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	651bafcfdb72346d819678d5e876950ff54398179738962c2a5e629a3a3fc465	sí	no	no	d'en Durrana. És a dir, que el poble ens va a elegir per això.	d'Andorra. És el riquel poble, ens vaillers i per això.
