id_persona	forma	clip	interval_escolta	token_intervals_absolute	token_prob_min	token_prob_mean	veu_proporcio	evidencia
pa-019	crec	clips/pa-019__crec__27.25.wav	27.25-31.75	28.520-28.820	0.9925	0.9925	0.6339	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-019	diguem	clips/pa-019__diguem__109.25.wav	109.25-113.75	110.480-110.860	0.9362	0.9453	0.5446	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-019	llavors	clips/pa-019__llavors__422.25.wav	422.25-427.75	426.010-426.400	0.9040	0.9465	0.7007	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-020	bé	clips/pa-020__b__146.37.wav	146.37-152.31	149.460-149.780	0.9976	0.9976	0.3784	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-021	crec	clips/pa-021__crec__115.53.wav	115.53-120.03	116.330-116.590	0.9550	0.9550	0.6562	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-021	perquè	clips/pa-021__perqu__15.45.wav	15.45-19.67	17.120-17.450	0.8815	0.8815	0.5667	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-022	clar	clips/pa-022__clar__107.73.wav	107.73-113.11	109.110-109.310	0.9951	0.9951	0.5336	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-022	crec	clips/pa-022__crec__243.73.wav	243.73-249.43	243.940-244.090	0.9941	0.9941	0.6514	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	418.57-422.99	419.870-420.370	0.8081	0.9214	0.6500	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-025	crec	clips/pa-025__crec__4.25.wav	4.25-9.11	5.050-5.150	0.9899	0.9899	0.6653	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-025	perquè	clips/pa-025__perqu__37.17.wav	37.17-40.43	37.720-38.150	0.8440	0.8440	0.7284	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-026	a nivell	clips/pa-026__a-nivell__38.25.wav	38.25-41.75	39.670-40.270	0.8241	0.9114	0.4368	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	138.61-145.67	141.660-142.350	0.9543	0.9609	0.4460	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-027	crec	clips/pa-027__crec__8.81.wav	8.81-14.39	10.710-10.830	0.9514	0.9514	0.6295	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-027	evidentment	clips/pa-027__evidentment__174.09.wav	174.09-178.23	175.310-175.920	0.8805	0.9372	0.4951	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-028	bé	clips/pa-028__b__182.49.wav	182.49-187.39	185.520-185.610	0.9916	0.9916	0.4426	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-028	doncs	clips/pa-028__doncs__329.33.wav	329.33-334.79	330.410-330.660	0.8421	0.8421	0.5662	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-029	a nivell	clips/pa-029__a-nivell__417.09.wav	417.09-421.47	418.660-419.290	0.9070	0.9632	0.7798	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	56.73-63.23	61.670-62.370	0.8813	0.9429	0.6821	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-030	crec	clips/pa-030__crec__346.45.wav	346.45-352.99	348.180-348.510	0.9742	0.9742	0.4755	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-030	evidentment	clips/pa-030__evidentment__43.53.wav	43.53-48.63	44.850-45.570	0.8964	0.9475	0.5512	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	842.69-848.23	843.370-844.350	0.9049	0.9470	0.3659	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-031	crec	clips/pa-031__crec__87.01.wav	87.01-92.63	89.730-90.580	0.9956	0.9956	0.5607	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	9.93-14.23	10.860-11.560	0.8205	0.8598	0.5374	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-032	bueno	clips/pa-032__bueno__44.73.wav	44.73-50.63	45.000-45.460	0.8330	0.8330	0.4490	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-033	bé	clips/pa-033__b__103.09.wav	103.09-107.43	104.060-104.300;106.160-106.280	0.9744;0.9997	0.9744;0.9997	0.6991	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-033	vull dir	clips/pa-033__vull-dir__56.25.wav	56.25-62.63	56.860-57.140	0.8126	0.9022	0.5346	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	94.05-100.39	95.230-96.040	0.9578	0.9626	0.6677	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-034	tirar endavant	clips/pa-034__tirar-endavant__690.33.wav	690.33-695.67	693.770-694.680	0.8661	0.9261	0.5451	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-035	crec	clips/pa-035__crec__872.77.wav	872.77-879.91	873.430-873.500	0.9666	0.9666	0.4663	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	386.45-395.95	394.030-394.500	0.8938	0.9572	0.7046	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-036	bé	clips/pa-036__b__69.45.wav	69.45-75.15	71.960-72.170	0.9995	0.9995	0.6761	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-036	clar	clips/pa-036__clar__136.45.wav	136.45-147.15	141.540-141.720	0.8695	0.8695	0.6948	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	202.85-211.95	207.950-208.420	0.9393	0.9652	0.6652	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-038	bé	clips/pa-038__b__26.77.wav	26.77-31.71	27.580-27.770	0.9083	0.9083	0.5569	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-038	crec	clips/pa-038__crec__220.69.wav	220.69-226.79	221.700-222.280	0.9981	0.9981	0.5526	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	1821.69-1828.07	1824.530-1825.400	0.9688	0.9812	0.4874	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	1576.57-1582.39	1580.750-1581.210	0.9837	0.9868	0.5241	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-039	bé	clips/pa-039__b__27.77.wav	27.77-32.03	30.990-31.040	0.9914	0.9914	0.3821	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-039	crec	clips/pa-039__crec__90.85.wav	90.85-95.95	92.490-92.800	0.9907	0.9907	0.5000	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-040	crec	clips/pa-040__crec__4.37.wav	4.37-7.79	4.550-4.900	0.9886	0.9886	0.6294	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	70.17-73.51	71.250-71.550	0.9576	0.9750	0.6687	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-040	evidentment	clips/pa-040__evidentment__103.93.wav	103.93-106.95	105.810-106.120	0.8726	0.9560	0.7267	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-041	crec	clips/pa-041__crec__56.25.wav	56.25-62.75	57.560-58.060	0.9905	0.9905	0.6019	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-043	crec	clips/pa-043__crec__102.25.wav	102.25-108.75	107.350-107.440	0.9942	0.9942	0.5278	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-045	a veure	clips/pa-045__a-veure__340.93.wav	340.93-345.91	345.020-345.090	0.9709	0.9821	0.6048	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-045	clar	clips/pa-045__clar__399.85.wav	399.85-405.95	403.530-403.870;404.870-405.050	0.9012;0.9997	0.9012;0.9997	0.3257	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	290.13-298.31	291.320-292.090	0.9812	0.9861	0.4828	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-046	bé	clips/pa-046__b__348.81.wav	348.81-352.55	351.130-351.370	0.8391	0.8391	0.3710	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	435.77-441.27	439.290-439.510	0.8845	0.9399	0.5438	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-048	crec	clips/pa-048__crec__110.97.wav	110.97-117.27	113.550-114.090	0.9866	0.9866	0.4745	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-049	bueno	clips/pa-049__bueno__269.05.wav	269.05-275.83	274.610-274.840	0.8754	0.8754	0.6864	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-049	crec	clips/pa-049__crec__371.85.wav	371.85-383.51	374.870-375.230	0.9717	0.9717	0.6186	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-054	bueno	clips/pa-054__bueno__51.69.wav	51.69-55.75	52.480-52.610	0.8263	0.8263	0.6139	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-055	a nivell	clips/pa-055__a-nivell__38.09.wav	38.09-44.07	38.450-39.280	0.8532	0.9241	0.4564	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-055	perquè	clips/pa-055__perqu__148.53.wav	148.53-153.11	150.910-151.060	0.8312	0.8312	0.3509	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	139.05-145.83	141.900-142.850	0.9557	0.9651	0.4201	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-056	clar	clips/pa-056__clar__62.45.wav	62.45-66.87	63.720-64.190	0.9842	0.9842	0.7364	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-056	crec	clips/pa-056__crec__347.05.wav	347.05-353.03	348.320-348.830	0.9856	0.9856	0.4664	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-056	evidentment	clips/pa-056__evidentment__43.45.wav	43.45-48.59	44.760-45.430	0.8623	0.9302	0.5430	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-056	tirar endavant	clips/pa-056__tirar-endavant__185.53.wav	185.53-189.19	187.150-188.050	0.9073	0.9666	0.4890	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	842.65-848.07	843.300-844.210	0.9342	0.9595	0.3630	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-057	perquè	clips/pa-057__perqu__249.45.wav	249.45-254.11	250.210-250.590	0.9119	0.9119	0.2414	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-058	perquè	clips/pa-058__perqu__91.09.wav	91.09-96.47	92.100-92.720	0.9674	0.9674	0.5970	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	74.41-79.87	75.500-76.070	0.9532	0.9776	0.6434	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-059	clar	clips/pa-059__clar__36.61.wav	36.61-42.23	38.460-38.660	0.9810	0.9810	0.5714	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	72.57-78.35	77.270-77.410	0.8385	0.9172	0.6632	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-061	a nivell	clips/pa-061__a-nivell__1357.21.wav	1357.21-1360.71	1358.420-1359.180	0.8152	0.9262	0.8851	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-061	crec	clips/pa-061__crec__428.85.wav	428.85-435.63	430.790-430.850	0.9809	0.9809	0.6095	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-061	evidentment	clips/pa-061__evidentment__672.69.wav	672.69-677.43	674.730-675.360	0.9005	0.9456	0.8008	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-062	crec	clips/pa-062__crec__1037.89.wav	1037.89-1041.47	1038.930-1039.180	0.9952	0.9952	0.5000	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-062	perquè	clips/pa-062__perqu__73.97.wav	73.97-78.19	75.160-75.690	0.9024	0.9024	0.6381	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-064	a veure	clips/pa-064__a-veure__587.61.wav	587.61-591.67	588.880-589.500	0.9952	0.9955	0.4406	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-064	crec	clips/pa-064__crec__1335.77.wav	1335.77-1345.39	1338.070-1338.440	0.9844	0.9844	0.3792	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-065	bé	clips/pa-065__b__138.57.wav	138.57-144.67	140.040-140.340	0.9995	0.9995	0.3849	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-065	clar	clips/pa-065__clar__221.29.wav	221.29-226.15	222.880-223.290	0.9627	0.9627	0.4339	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-065	perquè	clips/pa-065__perqu__129.17.wav	129.17-134.51	131.700-132.040	0.8717	0.8717	0.5113	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-066	bueno	clips/pa-066__bueno__357.23.wav	357.23-362.57	358.700-359.300	0.8366	0.8366	0.5865	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
