ordre	id_persona	forma	clip	small	base	greedy	categoria	text_small	text_base	text_greedy
33	pa-033	bé	clips/pa-033__b__103.09.wav	sí	sí	sí	A-tres-models	que ja estem bé com estem i no ho toquem, que tot es fa molt bé.	que ja estem bé com estem i no ho trobem,  que tot es fa mal bé, i l'hi també hi va ser.	i estem bé com estem i no ho toquem, que tot es fa molt bé.
34	pa-034	bé	clips/pa-034__b__18.85.wav	sí	no	sí	B-dos-models	de la vall, passar bé a algú, un esplancar-te, uns llançors.	de la barriga, passava algú.  Desplem cartes, uns llanços.	de la Vall, passar bé a algú, que és plancar-te, uns llançors.
35	pa-035	bé	clips/pa-035__b__715.81.wav	no	sí	no	C-un-model	i això és el que ha de fer.	Això no hi va haver una comença que s'acabaria bé, perquè bueno.	i que no hi hagi una altra solució.
36	pa-036	bé	clips/pa-036__b__69.45.wav	sí	sí	sí	A-tres-models	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	el cop principal ens ha vingut molt bé  i pensàvem que aquestes viuen continuar  i així ens ha sigut.	El coprincipat ens ha vingut molt bé i pensàvem que aquest havia de continuar.
37	pa-037	bé	clips/pa-037__b__105.29.wav	sí	no	sí	B-dos-models	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	d'acompanyar-se, d'acompanyar-se.	i que s'ha constituït.  Gailbé, existim tothom.  Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquí està el mateix, he bainat.  I torne bé.  Bona ambient, molt bona ambient.  Molt bona ambient.  Torna a comentar coses del que ha fet passat,  però sobretot...
38	pa-038	bé	clips/pa-038__b__26.77.wav	sí	sí	sí	A-tres-models	No està bé considerada com un estat real.	No està bé considerada com un estat real.	No està bé considerada com un estat real.
39	pa-039	bé	clips/pa-039__b__27.77.wav	sí	no	sí	B-dos-models	fins a la prostitució no ja està bé.	fins a la prostitució no hi estava.	fins a la prostitució no ja està bé.
40	pa-040	bé	clips/pa-040__b__32.81.wav	no	no	sí	C-un-model	i el que ha passat és el que ha passat.  I el que ha passat és el que ha passat.	Les eleccions, les eleccions, les val, les vam ser.	i que es poden fer una feina de la seva interès.  Jo recordo molt bé,
41	pa-041	bé	clips/pa-041__b__130.25.wav	sí	sí	sí	A-tres-models	Bé, jo crec que hi havia persones més receptives	Bé, jo crec que hi ha d'haver persones més receptives	Bé, jo crec que hi havia persones més receptives  i d'altres...
42	pa-045	bé	clips/pa-045__b__83.49.wav	sí	no	sí	B-dos-models	o bé el que considerem imprescindible i no deixa de ser innecessari.	o ve al que considerem mi imprescindible i no deixa de ser inassassari.	o bé el que considerem imprescindible i no deixa de ser innecessari.
43	pa-046	bé	clips/pa-046__b__348.81.wav	sí	no	no	C-un-model	I volem avançar dins del camp, molt bé.	i volem avançar dins del càmodeu.	i volen pensar dins del camp.
44	pa-048	bé	clips/pa-048__b__495.73.wav	sí	sí	sí	A-tres-models	Bé, no que t'espai físicament, però que t'espai emblemàtic.	Bé, no que t'espai físicament, però que t'espai emblemàtic.	Bé, no que t'espai físicament, però que t'espai emblemàtic.
45	pa-049	bé	clips/pa-049__b__74.21.wav	sí	no	sí	B-dos-models	perquè a la llarga i sobretot en petits països.  S'ha de partir de la base d'entre tots fer-ho tot.  O bé que la dona ara...	perquè la llarga i sobretot en petits països  s'ha d'apartir de la base d'entratuts fer-ho tot.  Ho ve que la dona ara...	perquè a la llarga i sobretot en petits països,  s'ha de partir de la base d'entre tots fer-ho tot.  O bé que la dona ara...
46	pa-053	bé	clips/pa-053__b__90.81.wav	no	no	no	D-cap-model	i el meu germà el febi amb una corda i jo els pujava.	d'erba, il·lama, germà, lletsebi, monacorda i jo els pujarà.	i el meu germà el fevi amb una corda i jo els pujava.
47	pa-054	bé	clips/pa-054__b__128.77.wav	no	sí	no	C-un-model	I la gossa era el sisquet de puig, es vestia de gossa.	I la bossa era el sisquet de pui.  Has vestit bé de bossa.	I la gossa era el sisket de pui, es vestia de gossa.
48	pa-055	bé	clips/pa-055__b__358.57.wav	no	sí	no	C-un-model	B, no?	bé, no?	B, no?
49	pa-056	bé	clips/pa-056__b__436.49.wav	sí	sí	no	B-dos-models	"""Pasabe"" o ""pero sentimen"" o ""pero nonimidad""."	o pasabeu, però sentim-me, però no limitad.	...pues pasàve o sentimeno, però no animitat.
50	pa-057	bé	clips/pa-057__b__203.57.wav	sí	no	sí	B-dos-models	que el sistema està bé, una mica amb l'incapacitat d'una solució.	que les persones de l'estat de l'estat de l'estat de l'anceur.	i que el sistema està bé amb la capacitat d'un solució.
51	pa-058	bé	clips/pa-058__b__210.61.wav	no	no	no	D-cap-model	dintre de l'UCPA, quan es va formar.	dintre de l'UCPA quan es va formar	dins de l'UCPA, quan es va formar.
52	pa-059	bé	clips/pa-059__b__112.41.wav	no	no	no	D-cap-model	llavors a partir d'aquí va començar a veure la paraula d'emissió,  d'emissió, d'emissió i tot va anar...	d'acord, i a partir d'aquí vam començar a veure la paraula de missió,  de missió, de missió, i tot va anar.	D'acord?  A partir d'aquí va començar a veure la paraula d'emissió,  d'emissió, d'emissió,  i tot va anar...
53	pa-060	bé	clips/pa-060__b__415.73.wav	no	sí	sí	B-dos-models	que fan els metros a mesura que anaven creixent.	Fem els metros a més uret que n'ha bé creixent.	que fan els metros, a més, que anar bé creixent.
54	pa-061	bé	clips/pa-061__b__662.89.wav	sí	no	no	C-un-model	que no li ha agradat, eh?, sempre que li n'hi ha bé,  però jo sé per què, mudada.	No sé si és una realitat.	i que no hi hagi una altra.
55	pa-062	bé	clips/pa-062__b__401.61.wav	no	sí	no	C-un-model	S'ha ensenyat algú.	-Doncs ensenyar-lo? -Sí, oi.  Bé, aquesta que té no el com tu dius, que és forçar-lo.	i que no hi hagi una altra.
56	pa-063	bé	clips/pa-063__b__105.97.wav	sí	sí	sí	A-tres-models	Bé, treballem una cosa que amb una il·liogràdia que ja ha donat...	Bé, treballem una cosa que em vulgui agradar que ja ha donat-ho.	Bé, treballem una cosa que amb una elia gratis que ja ha donat tot.
57	pa-064	bé	clips/pa-064__b__97.93.wav	sí	sí	sí	A-tres-models	Bé, ara ens exercitarem amb l'exercici de la memòria.	Bé, ara ens agercitarem amb l'exercici de la memòria.	Bé, ara ens exercitarem amb l'exercici de la memòria.
58	pa-065	bé	clips/pa-065__b__138.57.wav	sí	sí	no	B-dos-models	M'ho diu jo, molt bé, el cert que ve no el paradís,  va en marxar del paradís, però...	M'agrada molt bé, el Serre Benopardis va marxar el paradis.	i el que va passar és que el que va passar és que el que va passar  va ser que el que va passar és que el que va passar és que el que va passar
59	pa-066	bé	clips/pa-066__b__10.13.wav	sí	sí	no	B-dos-models	el trànsit estava complicat.  I bé, venint de casa meva, que jo vivia...	L'últim que hi ha d'haver parlat del trànsit estava complicat.  I bé, venint de casa meva, aquí a vivia...	i que el trànsit estigui complicat.
60	pa-001	de fet	clips/pa-001__de-fet__68.49.wav	sí	no	no	C-un-model	perquè, de fet, els tenia tots i la famosa rebaixia.	per fer-ho d'obtenir tots i la famosa raó.	i la famosa rebrana.
61	pa-002	de fet	clips/pa-002__de-fet__72.25.wav	sí	no	sí	B-dos-models	Va servir per això, de fet, per evidenciar amb el servei.	Jo crec que va servir per això.	Jo crec que va servir per això, de fet,  per evidenciar amb la seva feina.
62	pa-003	de fet	clips/pa-003__de-fet__0.00.wav	sí	sí	sí	A-tres-models	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.	Bé, jo crec que de fet ens hem de situar en el context dels anys 80
63	pa-004	de fet	clips/pa-004__de-fet__601.17.wav	sí	sí	sí	A-tres-models	molt complicat i comportàvem la gent, de fet, comportàvem molta complexitat i precisió.	complicat i comportàvem a gent.  De fet, comportàvem molta complexitat i precisió.	i comportàvem la gent, de fet, comportàvem molta complexitat i precisió.
64	pa-006	de fet	clips/pa-006__de-fet__285.25.wav	sí	sí	sí	A-tres-models	és que, de fet, només hi ha una sola peça al muiment.	de plat és que de fet només ja que una sola peça amui men i una sola peça	i el que és un molit de blat és que, de fet,  només hi ha una sola peça al moviment.
65	pa-008	de fet	clips/pa-008__de-fet__799.25.wav	sí	no	sí	B-dos-models	que embutava el terra, de fet va haver-hi algun incident cremant algun tendal.	que em votava al terra de fer-te haver-hi algun incident que em van agontantar-ho.	que embutava el terra, de fet va haver-hi algun incident crement algun tendal.
66	pa-010	de fet	clips/pa-010__de-fet__647.25.wav	sí	sí	sí	A-tres-models	i ho són, és de fet, en concret, el dia de ser fixeu-vos també en el detall amb l'esforç...	d'aquest tipus on és, de fet, amb concret o viatzi de segons, per mi m'agradaria amb les fornets.	i ho sonés. De fet, en concret, el dia de ser tixeu-vos també molt de detall amb les fortes...
67	pa-011	de fet	clips/pa-011__de-fet__557.25.wav	sí	sí	sí	A-tres-models	de fet, quan es va inaugurar al pal, com a tal, als 16...	De fet, quan es va inaugurar que el pal com a tal el senyor,	de fet, quan es va inaugurar, que el pal, com a tal, el 16 de...
68	pa-016	de fet	clips/pa-016__de-fet__318.53.wav	sí	no	sí	B-dos-models	no ens passarien, perquè de fet,  tant l'altra comissió que estava, que era la Comissió de Finances,	d'aquesta manera que la Comissió de Finances s'ha de dir.  La Comissió de Finances es pot trobar-ho d'acord.	i no ens passarien perquè de fet,  la altra comissió que estava, que era la comissió de finances,
69	pa-022	de fet	clips/pa-022__de-fet__420.21.wav	no	no	no	D-cap-model	és una cosa que no té res a veure amb aquests darrers anys.	que no s'ha tocat amb aquests 31 anys.	i que no s'ha de fer.
70	pa-023	de fet	clips/pa-023__de-fet__72.49.wav	sí	no	sí	B-dos-models	dels legislatures que van ocupar 4 anys, de fet.	que van ocupar quatre anys d'aquest llibre.	i de les legislatures que van ocupar 4 anys, de fet.
71	pa-024	de fet	clips/pa-024__de-fet__482.25.wav	sí	sí	sí	A-tres-models	de fet, ens va dibuixar una mica la seva teoria.	de fet, amb fàdibuixant una mica seva teoria.	de fet ens va dibuixar una mica la seva teoria.
72	pa-025	de fet	clips/pa-025__de-fet__890.85.wav	sí	no	sí	B-dos-models	que eren les llicències de fet o amb pares.	S'han de mirar en un lloc de les ciutadans que hi haurà a les ciutadans.	que eren les llicències de fet o en part.
73	pa-027	de fet	clips/pa-027__de-fet__109.45.wav	sí	sí	sí	A-tres-models	que de fet ens vam reunir, vam fer seminaris al tertè, vam fer seminaris...	que de fet es van reunir, vam fer seminaris,  el tartei, vam fer seminaris.	que de fet es van reunir, van fer seminaris al tercer Té,
74	pa-028	de fet	clips/pa-028__de-fet__31.17.wav	sí	sí	no	B-dos-models	i va donar entendre que Sant Marino era Itàlia, de fet.	de llibre d'on entendre que San Marino eri tal i o de fet.	i van entendre que Sant Marino era d'Itàlia.
75	pa-031	de fet	clips/pa-031__de-fet__9.93.wav	sí	sí	sí	A-tres-models	I, de fet, no em va portar ningú, jo em vaig portar...	i de fet, no em va portar d'ingú, jo em vaig portar.	i, de fet, no em va portar ningú.
76	pa-033	de fet	clips/pa-033__de-fet__249.69.wav	sí	sí	sí	A-tres-models	El capgir és tot, de fet, eh?	Ucabzi de tot de fet, eh?	Ho capgira tot, de fet, eh?
77	pa-040	de fet	clips/pa-040__de-fet__70.17.wav	sí	sí	sí	A-tres-models	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	que ho trobava, i de fet el meu pare el portarés sempre sobre què hi pensem per el portar.	i de fet el meu pare el portava sempre sobre aquell pin.
78	pa-051	de fet	clips/pa-051__de-fet__200.81.wav	no	no	no	D-cap-model	i el que és el que és el que és el que és el que és el que és el	S'han de fer en el diàgraf.	i que no hi hagi una altra.
79	pa-057	de fet	clips/pa-057__de-fet__561.25.wav	no	no	no	D-cap-model	a fer l'avançar una mica més, era en minoria,  i van buscar una solució que no sí,  la votació del conseller General, i es va buscar a la votació...	de fer l'avançar una mica més en minoria i van arribar a buscar la solució,  que no sí, que no s'hi va conèixer i que no s'hi va buscar.	i van buscar una solució que no sí, la votació del conseller General.
80	pa-060	de fet	clips/pa-060__de-fet__72.57.wav	sí	sí	sí	A-tres-models	dos legislatures que van ocupar 4 anys, de fet.	que van ocupar quatre anys de fet.	d'explicatures que van ocupar 4 anys, de fet.
81	pa-065	de fet	clips/pa-065__de-fet__883.97.wav	no	no	no	D-cap-model	el poble que ha de fer és, com a Jesús, encarnar-se amb el poble.	de fer com Jesus encarnar-se amb el pot.	i el poble no cal fer com a Jesús encarnar-se amb el poble.
82	pa-066	de fet	clips/pa-066__de-fet__44.37.wav	sí	no	no	C-un-model	En aquest edifici, de fet, va ser l'únic, va ser important, no?	No ho sé si la gent va ser l'únic,  va ser important.	i el moment en aquest edifici va ser l'únic, va ser important.
83	pa-001	és a dir	clips/pa-001__s-a-dir__890.97.wav	no	no	no	D-cap-model	I el llibre de l'altre dia va ser el que va passar.	Està tot tan càtia, l'ingrés a la bona.	i que no hi hagi una altra.
84	pa-002	és a dir	clips/pa-002__s-a-dir__12.25.wav	no	no	no	D-cap-model	per molt que s'hagués fet, el que se'n va dir reformeta,	Però no que s'hagués fet que s'havia de reformar-te.	per molt que s'hagués fet, el que se'n va dir reformeta,
85	pa-003	és a dir	clips/pa-003__s-a-dir__65.05.wav	sí	sí	sí	A-tres-models	És a dir, crec que això és important, no es crea com anem...	És a dir, crec que això és important, no es crea com anem...	És a dir, crec que això és important.  No es crea com anem...
86	pa-007	és a dir	clips/pa-007__s-a-dir__684.25.wav	sí	no	sí	B-dos-models	és a dir, canviar el nom de carrers,	És li, canviar el nam de carrers.	és a dir, canviar el nom de carrers,
87	pa-008	és a dir	clips/pa-008__s-a-dir__1110.25.wav	sí	sí	sí	A-tres-models	a la festa o fer planter, no? És a dir,  quan els més grans s'hi implicen.	va a la festa o fer plante, no? És a dir, quan els més grans s'impliquen...	o fer plantee, no? És a dir, els més grans es simplegant.
88	pa-010	és a dir	clips/pa-010__s-a-dir__243.25.wav	sí	sí	sí	A-tres-models	és a dir, interpretables o en tenuts dos mitjans en la nostra llengua actual.	És a dir, interpretables o en termina dos mitjents en la nostra llengua.  Tual!  Sí.	és a dir, interpretables o en teniu dos mitjans en la nostra llengua actual.
89	pa-011	és a dir	clips/pa-011__s-a-dir__48.09.wav	sí	sí	sí	A-tres-models	és a dir, una casa és tota la família i tot és les seves propietats.	És a dir, una casa és tota la família i tot és les seves propietats.	és a dir, una casa és tota la família i tot és les seves propietats.
90	pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	sí	no	sí	B-dos-models	torran. És a dir, l'arquitectura de granit es dona en un moment de reconversió gradual  del nostre país, que passa de ser...	és de dir, l'arquitectura de granites dona en un moment de reconversió gradual del nostre país que passa de ser	d'urrana. És a dir, l'arquitectura de granit es dona en un moment de reconversió gradual  del nostre país, que passa de ser...
91	pa-014	és a dir	clips/pa-014__s-a-dir__95.45.wav	no	sí	sí	B-dos-models	Me n'he assabentat de moltes coses i m'he fet una miqueta estudiós del ball del contrapàs.	Meneen sabentat de moltes coses.  És a dir, m'he fet una miqueta, com diríem una miqueta estudiós,  del ball del contrapàs.	M'he assabentat de moltes coses,  és a dir, m'he fet una miqueta,  com diríem, una miqueta estudiós del ball del contrapràs.
92	pa-016	és a dir	clips/pa-016__s-a-dir__85.97.wav	sí	no	sí	B-dos-models	sempre. És a dir, després he tingut altres càrrecs i encara que no ho sembli, doncs...	S'ha dit després que tinguin hagut altres carrers i encara que no ho sembla, doncs a l'hora.	i sempre.  És a dir, després he tingut altres càrrecs i encara que no ho sembli, doncs...
93	pa-017	és a dir	clips/pa-017__s-a-dir__487.25.wav	sí	sí	no	B-dos-models	és el quin perd, és a dir, que sempre hi ha aquesta incognita  i, evidentment, que teníem nosaltres, sí que ho havíem,  però el que n'havia d'estar...	És el quim pert, és a dir que sempre hi ha aquesta incognita  i evidentment que teníem d'altres sí que ho ha vingut,  però al quina vida és així.	i és el que hi hem perd.  Sempre hi ha aquesta incognita,  i evidentment que tenim nosaltres, sí que ho havíem,  però el que n'havia de ser...
94	pa-018	és a dir	clips/pa-018__s-a-dir__74.49.wav	no	sí	sí	B-dos-models	que volien ser com un poc.	És a dir que nosaltres podien dins que volíem ser com un...,	i no en viure, és a dir, que nosaltres podíem dir que volíem ser
95	pa-019	és a dir	clips/pa-019__s-a-dir__56.25.wav	no	no	no	D-cap-model	És una de les coses que ens va deixar a Marencia,  el consell que es va dir...	Estic una de les coses que ens va deixar de marència al consell que es va dir.	Una de les coses que ens va deixar a Marencia,
96	pa-021	és a dir	clips/pa-021__s-a-dir__32.29.wav	sí	no	sí	B-dos-models	d'en Durrana. És a dir, que el poble ens va a elegir per això.	d'Andorra. És el riquel poble, ens vaillers i per això.	i no en dorran.  És a dir, que el poble ens va a elegir per això.
97	pa-022	és a dir	clips/pa-022__s-a-dir__11.49.wav	sí	no	no	C-un-model	que no hauríem d'anar per endorra.  És a dir, que no haguéssum demanat mai d'una certa manera.	que es diu que no haguessum demanat mai d'una certa manera.	i que no haguéssiu demanat mai dir-ho d'una certa manera.
98	pa-023	és a dir	clips/pa-023__s-a-dir__207.17.wav	sí	no	sí	B-dos-models	És a dir, que el que vam disfrutar molt va ser que hi va haver un ambient molt temps,	El que va amb disfrutar molt va ser que hi va haver un ambient molt temps,	i va poder disfrutar.  És a dir, el que vam disfrutar molt va ser que hi va haver un ambient molt temps,  però gran.
99	pa-024	és a dir	clips/pa-024__s-a-dir__78.49.wav	no	no	no	D-cap-model	i democratitzar més el país, que li haig d'expandir...	de democratitzar més el país que li he expandit, doncs la...	que democratisà més el país, que li haig d'expandir...
100	pa-025	és a dir	clips/pa-025__s-a-dir__64.61.wav	no	no	no	D-cap-model	i el que ha de fer és que aquí no teníem veritablement un Parlament.	No teníem gairebé un parlement de les eleccions.	que no teníem veritat plenum.
101	pa-026	és a dir	clips/pa-026__s-a-dir__64.09.wav	no	no	no	D-cap-model	Sí, sí, a veure.	Sí, això hi ha per ell.	Sí, és el que... a veure.
102	pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	sí	sí	sí	A-tres-models	de grup, és a dir, amb els que l'havien portat a l'acció de fer amb reunió de grup.	de grup, és a dir, jo amb els que havíem portat a l'acció a fer amb reunió de grup.	de grup, és a dir, amb els que l'havien portat a l'acció de fer amb reunió de grup.
103	pa-029	és a dir	clips/pa-029__s-a-dir__20.17.wav	no	no	no	D-cap-model	és un fet que va marcar tot el procés constituent,  el fet de que l'entrada.	que va marcar tot el procés constituent el fet que l'entreten.	i que va marcar tot el procés constituent,
104	pa-030	és a dir	clips/pa-030__s-a-dir__193.13.wav	sí	no	sí	B-dos-models	i es van anar.  És a dir, aquí poc temps abans hi havia hagut una autodissolució.	Hi ha hagut un autodisolusió.	i es van anar.  És a dir, aquí poc temps abans hi havia hagut una autodissolució.
105	pa-033	és a dir	clips/pa-033__s-a-dir__39.29.wav	sí	sí	sí	A-tres-models	és a dir, el govern net, és a dir, un govern sense massa funcions,	Diu el governet. És a dir, un govern sense massa funcions.  Precii per les coses.	és a dir, un govern sense massa funcions,
106	pa-034	és a dir	clips/pa-034__s-a-dir__319.09.wav	sí	no	no	C-un-model	cap aquí, és a dir, jo no tenia cap dubte, no?, de dir...	Jo no tenia cap dubte, no?	i que no hi hagi cap dubte.
