categoria	forma	id_persona	ocurrencia	snippet	font	estat
discurs	clar	pa-001	3	"Emà li va dir al mi terran, ""Vos, molt demòcrata, però andorra a fer-ho de senyor feudal"". I clar, això, amb aquell moment, no li va agradar massa, no? Però és igual, ell tenia les idees clar"	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	de fet	pa-001	1	ntatge de la població d'Andorrana és que els coprínciers tinguessin tots els poders, perquè, de fet, els tenia tots. I la famosa figura dels recursos en queixó, que ho podia fer tombar tot i m	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	evidentment	pa-001	1	eshores, això ens permet als magistrats treballar en plena autonomia, i ens podem equivocar, evidentment, però no reben cap classe de pregió política. A veure, quan has viscut el procés constituïen	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	llavors	pa-001	1	sàpiga. Hi havia tot un procediment que suposa amb algun lloc d'ofigurar, de la manera que, llavors, aconseguirien les reunions de fer el procediment de premsa. I amb el tema aquestes van baix	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	no?	pa-001	1	ionades. Aleshores, el que es tractava d'adaptar-ho a les circumstàncies el millor possible, no? I això ja comença molt aviat, i acaba amb la proposta del 78 de reforma de les institucions.	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	no?	pa-001	2	van gegar així. Canvis, sí, però continuïtat, són d'aquestes frases que tampoc entens massa, no? Bé, o sigui, això va anar evolucionant el que era la memòria i la reforma de les institucion	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	no?	pa-001	3	"andorra a fer-ho de senyor feudal"". I clar, això, amb aquell moment, no li va agradar massa, no? Però és igual, ell tenia les idees clares, que els mitjans de comunicació estaven a les vesc"	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	o sigui	pa-001	1	així. Canvis, sí, però continuïtat, són d'aquestes frases que tampoc entens massa, no? Bé, o sigui, això va anar evolucionant el que era la memòria i la reforma de les institucions ja havia q	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	o sigui	pa-001	2	iba aquest. I, a partir d'aquí, jo penso que tothom va veure que això havia d'anar per aquí. O sigui que hi havia gent reàcia, segurament, i alguns potser no t'ho vols haurem manifestat, però é	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	o sigui	pa-001	3	"ment, i coneguts i em fa la proposta. I la meva dillò és ""pa, que t'has tornat boig o què?"" O sigui, jo estic fora de la política, no hi vull saber res. Home, que tenim majoria que està pactat,"	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	per tant	pa-001	1	"torne a trucar i em diu ""Albert, no cal que t'ho pensis, perquè l'economia està a la premsa, per tant, ja està... ja està, de nou per fet"". Suposo que algun mateix dels interessats va ser... a q"	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	per tant	pa-001	2	el consell estava disolts, era dir-ho que el consell es subirà, hi havia la decisió presa, per tant, només queda una solució, anar a noves eleccions. Participa un conseller, malgrat les eleccio	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	per tant	pa-001	3	t des del primer dia, ningú d'ells que som aquí en sap més que tu, saps com estan les coses, per tant, has d'acabar la feina que ha començat. I aleshores em torno a trobar sentat a la cadira com	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	perquè	pa-001	1	la memòria i la reforma de les institucions ja havia quedat en certa manera també desfasada, perquè el que no es veia en bons ulls a un alt percentatge de la població d'Andorrana és que els co	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	perquè	pa-001	2	lt percentatge de la població d'Andorrana és que els coprínciers tinguessin tots els poders, perquè, de fet, els tenia tots. I la famosa figura dels recursos en queixó, que ho podia fer tombar	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	perquè	pa-001	3	a massa benvinguda. Aleshores, el que es tractava de anar allimant tota una sèrie de coses. Perquè, per exemple, al moment donat hi havia una teoria de que darrere un país molt petit i que la	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	vull dir	pa-001	1	om que és de la vostra competència, neufent i es van fer aquestes reunions, els consells, jo vull dir, van col·laborar també, però tampoc se'ls va tocar absolutament res, perquè, al contrari, jo	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	vull dir	pa-001	2	supriments coprins i supriments ho poden fer. Anem amb un extrem que no és el meu cas, però vull dir que ho vam deixar tot a mans de la soberania popular. I després la Constitució ha donat un ex	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	és a dir	pa-001	1	sortir el públic tothom va tancar files. Quan a les hores es diu ara, quan està tot tancat, és a dir, l'ingrés a la ONU, ja em va quedar una mica així, no vaig dir que no, ni que sí. És sèptic,	transcripcions/pa-001.txt	ASR; pendent d'audicio
territorial	andorrana	pa-001	1	també desfasada, perquè el que no es veia en bons ulls a un alt percentatge de la població d'Andorrana és que els coprínciers tinguessin tots els poders, perquè, de fet, els tenia tots. I la fam	transcripcions/pa-001.txt	ASR; pendent d'audicio
territorial	comuns	pa-001	1	vèncer que allò era el bo i, finalment, va acabar bé. I després, el tema de competències dels comuns. El tema de competències... Bé, això, més o menys, se'n va parlar amb unes quantes reunions,	transcripcions/pa-001.txt	ASR; pendent d'audicio
territorial	comuns	pa-001	2	rlar amb unes quantes reunions, i hi va haver unes reunions bilaterals, sobretot amb el tema comuns i amb el tema mitre, perquè els francesos, la delegació del consell de França, tenen això, é	transcripcions/pa-001.txt	ASR; pendent d'audicio
territorial	comuns	pa-001	3	uè, al contrari, jo penso que es va reforçar bastant el posicionament i les competències dels comuns, que hi ha algunes que potser eren una mica dubtoses. L'altre punt que és interessant és la	transcripcions/pa-001.txt	ASR; pendent d'audicio
territorial	copríncep	pa-001	1	aviat, i acaba amb la proposta del 78 de reforma de les institucions. Recorda la visita del copríncep Giscard d'Estenc, i aquí, a la plaça del poble, quan tant es parlava de canvis i dillò, ens	transcripcions/pa-001.txt	ASR; pendent d'audicio
territorial	veguer	pa-001	1	e de temes, però la Constitució va anavençant. Hi havia una part que a mi em va manifestar el veguer francès en aquell moment de preocupació quan es va disolver el consell, però aquesta preocup	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	a nivell	pa-003	1	ent dona l'impuls a passar d'escola maternal-andorrana a escola andorrana. Aviam, pel que fa a nivell polític, la primera vegada quan es crea la maternal, com he dit, es crea com un projecte peda	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	aleshores	pa-003	1	tenim moltes inquietuds socials, polítiques, institucionals, culturals i educatives, també. Aleshores, dins d'aquest context, l'escola en d'orrana es crea com un projecte pedagògic, en el qual l	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	aleshores	pa-003	2	ersal, jo penso, i es fa amb una demanda i amb una manifestació del Consell Executiu, perquè aleshores no era govern, era Consell Executiu, el 7 d'abril del 1982, anar a la sessió tradicional de	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	aviam	pa-003	1	de volta que realment dona l'impuls a passar d'escola maternal-andorrana a escola andorrana. Aviam, pel que fa a nivell polític, la primera vegada quan es crea la maternal, com he dit, es crea	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	bueno	pa-003	1	pares, evidentment no hi ha un acord totalitari, perquè hi havia pares en el sentit de dir, bueno, hi existeix un sistema educatiu ric amb diferents opcions, perquè ara la necessitat d'un sis	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	bé	pa-003	1	Bé, jo crec que, de fet, ens hem de situar en el context dels anys 80, on en d'orra està vivint	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	bé	pa-003	2	ra la necessitat d'un sistema propi. En canvi, hi havia també certs polítics que sí que veien bé la continuïtat. Pel que fa al cas, el resultat és el que compta, i l'escola maternal endorra	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	bé	pa-003	3	nuïtat. Pel que fa al cas, el resultat és el que compta, i l'escola maternal endorrana és de bé l'escola endorrana del 1985, des del final dels 3 anys de maternal. Molt, molt. Jo crec que	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	clar	pa-003	1	forma part d'aquestes persones que hem cregut amb l'escola i continuem creient. Sí, perquè és clar, l'educació són persones. A partir del moment que dins d'un projecte afecta a persones i a in	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	de fet	pa-003	1	Bé, jo crec que, de fet, ens hem de situar en el context dels anys 80, on en d'orra està vivint una gran expansió, e	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	diguem	pa-003	1	a la sessió tradicional de Sant Consell, en el Consell General. Aquesta és la primera acció, diguem, d'ordre polític. I la continuïtat, a partir del moment que hi ha que hi ha demanda dels pare	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	evidentment	pa-003	1	ó, no, però sí un moviment bàsicament per part dels pares, amb també el suport dels mestres, evidentment, i també de les persones que havíem estat treballant amb el projecte. I en aquells moments, a	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	evidentment	pa-003	2	ordre polític. I la continuïtat, a partir del moment que hi ha que hi ha demanda dels pares, evidentment no hi ha un acord totalitari, perquè hi havia pares en el sentit de dir, bueno, hi existeix u	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	evidentment	pa-003	3	nes. A partir del moment que dins d'un projecte afecta a persones i a infants i adolescents, evidentment que l'emplicació encara és més forta, perquè és molt important el que tens entre mans i vols	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	perquè	pa-003	1	i universal, jo penso, i es fa amb una demanda i amb una manifestació del Consell Executiu, perquè aleshores no era govern, era Consell Executiu, el 7 d'abril del 1982, anar a la sessió tradi	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	perquè	pa-003	2	del moment que hi ha que hi ha demanda dels pares, evidentment no hi ha un acord totalitari, perquè hi havia pares en el sentit de dir, bueno, hi existeix un sistema educatiu ric amb diferents	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	perquè	pa-003	3	pares en el sentit de dir, bueno, hi existeix un sistema educatiu ric amb diferents opcions, perquè ara la necessitat d'un sistema propi. En canvi, hi havia també certs polítics que sí que veie	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	és a dir	pa-003	1	rrana. Sí, i fins i tot integrador amb un inici en els sistemes educatius existents al país. És a dir, crec que això és important, no es crea com anem tirant davant un sistema educatiu propi en t	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	és a dir	pa-003	2	el qual es volien unes aules pilot al cinc de les opcions educatives existents al país. No, és a dir, en el moment que es crea unes comissionistes hispano-andorranes i franco-andorranes partiran	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	és a dir	pa-003	3	els sistemes educatius. Quan realment hi ha la clau del canvi és anar a acabar la maternal. És a dir, després dels 3 anys de creació d'aquelles 3 aules de català, català castellà i català francè	transcripcions/pa-003.txt	ASR; pendent d'audicio
territorial	andorrana	pa-003	1	à, català castellà i català francès, és quan es planteja la continuïtat de l'escola maternal-andorrana amb l'escola andorrana i quan realment aquí sí que hi ha una... no voldria dir mobilització,	transcripcions/pa-003.txt	ASR; pendent d'audicio
territorial	andorrana	pa-003	2	atalà francès, és quan es planteja la continuïtat de l'escola maternal-andorrana amb l'escola andorrana i quan realment aquí sí que hi ha una... no voldria dir mobilització, no, però sí un movimen	transcripcions/pa-003.txt	ASR; pendent d'audicio
territorial	andorrana	pa-003	3	al Consell General és la clau de volta que realment dona l'impuls a passar d'escola maternal-andorrana a escola andorrana. Aviam, pel que fa a nivell polític, la primera vegada quan es crea la mat	transcripcions/pa-003.txt	ASR; pendent d'audicio
discurs	a nivell	pa-002	1	. Per què va passar això? Perquè l'opció de la minoria que va passar, la majoria, diguéssim, a nivell consell, però no era a nivell governament, com que el govern era nostre, l'acció d'ells era	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	a nivell	pa-002	2	què l'opció de la minoria que va passar, la majoria, diguéssim, a nivell consell, però no era a nivell governament, com que el govern era nostre, l'acció d'ells era desenclocar el govern fos com f	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	a veure	pa-002	1	d'endorre pels ordinaris paraules, i era el seu opositor. És una paradoxa, no? Un opositor, a veure, no era fàcil, i ell era una persona on t'arrenar no m'havia de dialogar, era autoritari, pe	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	a veure	pa-002	2	fuga, jo no sé d'on va vindre, però pot ser que està orchestrada fora de les nostres àmbits. A veure, per part d'Andorra i Escaldes no teníem massa dubte, per part, és a dir, hi va haver una gen	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	a veure	pa-002	3	part, és a dir, hi va haver una generació, potser en camp, ordí, d'uns polítics que van dir, a veure, el mateix Calvota Mecanillo, i d'altres que van dir, és un moment històric, que va dir que	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	bueno	pa-002	1	per part endorrana al consell constituent, perquè la pretensió del govern era d'incloure's. Bueno, aquí es va decidir, en aquell moment, no hi havia com a millor constituent, permanent que a	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	bueno	pa-002	2	a fase del síndic Bartoló, que era un home més aviat de terreny i ple de bona voluntat, però bueno, llavors hi va haver les maniobres, no dic majoria minoria, perquè eren pràcticament 14-14,	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	bueno	pa-002	3	posar-se d'acord, aquí vini el problema. I, clar, el que es va fer és fer l'elenc, es va dir, bueno, la Constitució, perquè hi ha els grans principis, que primer que ho conformàvem a la soberan	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	bé	pa-002	1	Però hi havia gent jove també, i també veien la necessitat del canvi. Ara el que ens dividia bé, òbviament, era el control de govern. Per exemple, hi ha una cosa que es va plantejar a la p	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	bé	pa-002	2	institucional formaré part de les mesures, una de les importants, òbviament, però també anar bé amb un programa de govern, anar bé associat amb un programa de govern. I amb aquella legisla	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	bé	pa-002	3	sures, una de les importants, òbviament, però també anar bé amb un programa de govern, anar bé associat amb un programa de govern. I amb aquella legislatura es va posar els primers, digué	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	clar	pa-002	1	ritària. Un conseller jove a l'època tenia uns 35 o 36 anys, i ell era un patriarca, i que, clar, hi havia una diferència d'edat considerable. A més, hi havia molts lligams. Hi havia lligam	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	clar	pa-002	2	principis de Montesquillo, de la separació de poders, d'això ho teníem inclocat i ho teníem clar, però que això es tenia de configurar amb una Constitució, a dir, un tot. Ja ja ho van anar	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	clar	pa-002	3	ció. Jo ho tenia claríssim, que era el consell que tenia de portar-ho, el govern no ho tenia clar, el govern volia participar. Jo veia molt clar una cosa, és el que deia abans, dos galls d'u	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	de fet	pa-002	1	ermitia un govern realment eficient i responsable de les coses del país. Va servir per això, de fet, per evidenciar amb les seves mangances, les seves contradiccions i els seus problemes no re	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	de fet	pa-002	2	posàvem la paraula Constitució, però el contingut hi era. I van ser aquestes dos parroques, de fet, amb aquelles eleccions que van guanyar, que van promoure el canvi amb l'ajuda de les altres	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	de fet	pa-002	3	4 a 16-12, per dir-ho, o 15-13, no recordo exactament, però llavors van obtindre la majoria. De fet, evidentment, anar a relantir el treball constitucional, perquè una cosa és fixar el que em d	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	evidentment	pa-002	1	is. És a dir, hi havia un intrínculis entre mig. A mi se'm va fer difícil no votar-lo, però evidentment no hi havia d'altra fórmula. Amb tot el que fa referència al tema institucional, òbviament,	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	evidentment	pa-002	2	r molt genèriques i molt generals, hi havia l'entrevanc de la malaltia del síndic veal, que evidentment va durar 6-7 mesos i al final va renunciar, però aquells 6-7 mesos ja es va fer un treball im	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	evidentment	pa-002	3	2, per dir-ho, o 15-13, no recordo exactament, però llavors van obtindre la majoria. De fet, evidentment, anar a relantir el treball constitucional, perquè una cosa és fixar el que em deia en una pa	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	llavors	pa-002	1	del síndic Bartoló, que era un home més aviat de terreny i ple de bona voluntat, però bueno, llavors hi va haver les maniobres, no dic majoria minoria, perquè eren pràcticament 14-14, i llavors	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	llavors	pa-002	2	llavors hi va haver les maniobres, no dic majoria minoria, perquè eren pràcticament 14-14, i llavors la situació del síndic casal dit Bartoló era insostenible, perquè era un subsíndic que no hi	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	llavors	pa-002	3	e, perquè era un subsíndic que no hi havia una majoria clara, i amb un tema molt delicat. I llavors la nostra oposició va maniobrar amb un sentit que la parroca que feia la balança era la maçan	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	no?	pa-002	1	ap, que he hagut d'endorre pels ordinaris paraules, i era el seu opositor. És una paradoxa, no? Un opositor, a veure, no era fàcil, i ell era una persona on t'arrenar no m'havia de dialoga	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	no?	pa-002	2	o ens va entrar mai el detall a la primera fase. I allà és on hi havia l'equip de la qüestió, no? La pregunta que em poses concretament, la política, diguéssim, interna i del dia a dia, va s	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	no?	pa-002	3	ava el Marçal. Sincerament, diria, Marçal, però ja tinc un de mestre, vaig dir que una mica, no?, però hi havia molt bona relació amb el Torra, i em va dir, agafa el que no té en perill, dir	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	per tant	pa-002	1	ta inversió a la figura del delgat permanent, i, amb un segon ordre, a la figura del veguer. Per tant, que la Constitució permetés de liquidar, per al públic que així ens he clar, de liquidar aqu	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	per tant	pa-002	2	ha acabat. S'ha acabat el que d'or ser, les teories del que d'or ser aquí. Això és un estat, per tant la representació internacional és de l'estat d'Andorra, és dels Andorra. El que d'or ser ten	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	per tant	pa-002	3	era el cap d'estat francès, perquè l'altre el senyor Bisbe tenia els poders més limitats. I per tant, que la representació internacional d'Andorra de facto la tenia a França. Això era la teoria	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	perquè	pa-002	1	És a dir, per molt que s'hagués fet el que se'n va dir reformeta, era un executiu amputat, perquè no deixava de haver-hi el servei dels copríncipes, que totalaven la justícia, l'ordre públic.	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	perquè	pa-002	2	jament de base. Sí que era l'opositor del senyor Pintat, que val la pena que ho digués ara, perquè no ho he dit, considero que ha sigut el millor cap, que he hagut d'endorre pels ordinaris par	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	perquè	pa-002	3	d'inferda. És a dir, amb les qüestions d'estat, d'acord, sobre el fons, no sobre la forma, perquè té una forma una mica dictatorial. No és un dictatorial tan poc, autoritària, vull dir. Pate	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	vull dir	pa-002	1	forma, perquè té una forma una mica dictatorial. No és un dictatorial tan poc, autoritària, vull dir. Paternalista autoritària. Un conseller jove a l'època tenia uns 35 o 36 anys, i ell era un	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	vull dir	pa-002	2	ipar, i únicament el consell, el procés constituent, home, això te m'ho van valorar. Perquè vull dir, jo ja estava, que continuéssiu amb el mateix govern, no estava amb la línia d'ells de canvi	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	vull dir	pa-002	3	de pedra, perquè evidentment no es va parlar ni de Constitució, se'n va parlar al començar. Vull dir, les quatre manaritats, perquè evidentment tots ja havíem girat el full, està adoptada i la	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	és a dir	pa-002	1	(mòbil) Va ser multifactorial, diria. Es va veure que el sistema era allà per tots costats. És a dir, per molt que s'hagués fet el que se'n va dir reformeta, era un executiu amputat, perquè no	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	és a dir	pa-002	2	recurs en queixa podia posar en suspens o anular una disposició legislativa o governamental. És a dir, un poder absolut. I això està per sobre dels organismes elegits. El fracàs de la reformeta	transcripcions/pa-002.txt	ASR; pendent d'audicio
discurs	és a dir	pa-002	3	radiccions i els seus problemes no resolts de que es tenia d'anar amb una fórmula diferent. És a dir, no es podia continuar amb el camí de la reformeta. Es va fer el codi de l'administració. En	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Canillo	pa-002	1	, Sant Julià, que vam sortir guanyadors, i amb gent amb una ferma convicció, en aquest cas. Canillo, ordino, perquè el company pujava, que no salveu per enlloc, era un ferm defensor de la Const	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Escaldes	pa-002	1	realment el país necessita un canvi més ursencial. I la prova va ser que aquelles eleccions, escaldes es va dir obertament per part de la candidatura d'escaldes, nosaltres vam presentar un projec	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Escaldes	pa-002	2	ova va ser que aquelles eleccions, escaldes es va dir obertament per part de la candidatura d'escaldes, nosaltres vam presentar un projecte de Constitució que no hi posàvem la paraula Constitució	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Escaldes	pa-002	3	però pot ser que està orchestrada fora de les nostres àmbits. A veure, per part d'Andorra i Escaldes no teníem massa dubte, per part, és a dir, hi va haver una generació, potser en camp, ordí,	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Massana	pa-002	1	m defensor de la Constitució, i totes les parròquies van seguir, no hi va haver problema. La Massana potser era la parròquia més vinculada al Cindi, però després també vam fer pinya amb el Várgi	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Massana	pa-002	2	sca urgente, a dues termes, és la Constitució, això ho tenim claríssim, i els companys de la Massana van seguir com els que més, perquè el que encapsula el moviment de la Massana que va sortir l	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Massana	pa-002	3	companys de la Massana van seguir com els que més, perquè el que encapsula el moviment de la Massana que va sortir l'Higítia era el Várgil Aver, que era el Cíndic Sortint, i no hi va haver cap	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Ordino	pa-002	1	ulià, que vam sortir guanyadors, i amb gent amb una ferma convicció, en aquest cas. Canillo, ordino, perquè el company pujava, que no salveu per enlloc, era un ferm defensor de la Constitució,	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Ordino	pa-002	2	na representació del consell, el cíndic, el subsíndic, i dos consellers majors, que eren el d'Ordino i el de la Massana, els dos l'Albert, l'Albert Pujol i l'Albert Angelabert. I ens va fer un	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Sant Julià	pa-002	1	cas intermitges, perquè en Dorre i Escaldes hi havia la cosa, en aquest cas diria, en camp, Sant Julià, que vam sortir guanyadors, i amb gent amb una ferma convicció, en aquest cas. Canillo, ordi	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	Sant Julià	pa-002	2	realment ho va dir, i ho va manifestar públicament, perquè recorda que la reunió que van fer Sant Julià, va vindre i ho va dir. Va dir, sí, la Constitució, tot el que vulgueu, aquests articles de	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	comú	pa-002	1	ue els dos punts importants que va promoure ell els vagi votar, sigui l'acord, amb el mercat comú, l'acord comercial, i el segon, la compra de fassa, que es va passar d'inferda. És a dir, am	transcripcions/pa-002.txt	ASR; pendent d'audicio
territorial	copríncep	pa-002	1	cas, un dels que va fer que el Carlos també n'escapgui, i obertament i públicament va ser el copríncep Joan Martí de l'Anís. I amb conste, i això ho dic entre cometes, de que el copríncep Mitter	transcripcions/pa-002.txt	ASR; pendent d'audicio
