id_persona	forma	interval_escolta	clip	json_small	n_matches	token_match	token_matches
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	qa-cua-small-json/pa-011__b__185_57.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.920"",""local_end_s"":""2.940"",""absolute_start_s"":""188.490"",""absolute_end_s"":""188.510"",""prob_min"":""0.9983"",""text"":""bé""}]"
pa-012	bé	160.25-164.75	clips/pa-012__b__160.25.wav	qa-cua-small-json/pa-012__b__160_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.200"",""local_end_s"":""0.280"",""absolute_start_s"":""160.450"",""absolute_end_s"":""160.530"",""prob_min"":""0.5550"",""text"":""bé""}]"
pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav	qa-cua-small-json/pa-013__b__196_65.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.120"",""local_end_s"":""1.310"",""absolute_start_s"":""197.770"",""absolute_end_s"":""197.960"",""prob_min"":""0.9863"",""text"":""bé""}]"
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	qa-cua-small-json/pa-014__b__165_65.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.330"",""absolute_start_s"":""165.650"",""absolute_end_s"":""165.980"",""prob_min"":""0.5972"",""text"":""Bé""}]"
pa-015	bé	42.25-48.75	clips/pa-015__b__42.25.wav	qa-cua-small-json/pa-015__b__42_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.400"",""local_end_s"":""1.790"",""absolute_start_s"":""43.650"",""absolute_end_s"":""44.040"",""prob_min"":""0.5589"",""text"":""Bé""}]"
pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	qa-cua-small-json/pa-016__b__170_05.json	1	sí	"[{""occurrence"":1,""local_start_s"":""5.940"",""local_end_s"":""6.280"",""absolute_start_s"":""175.990"",""absolute_end_s"":""176.330"",""prob_min"":""0.9990"",""text"":""bé""}]"
pa-017	bé	112.25-118.15	clips/pa-017__b__112.25.wav	qa-cua-small-json/pa-017__b__112_25.json	0	no	[]
pa-018	bé	210.65-215.47	clips/pa-018__b__210.65.wav	qa-cua-small-json/pa-018__b__210_65.json	0	no	[]
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	qa-cua-small-json/pa-019__b__195_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""5.410"",""local_end_s"":""5.600"",""absolute_start_s"":""200.660"",""absolute_end_s"":""200.850"",""prob_min"":""0.9932"",""text"":""bé""}]"
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	qa-cua-small-json/pa-020__b__146_37.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.090"",""local_end_s"":""3.410"",""absolute_start_s"":""149.460"",""absolute_end_s"":""149.780"",""prob_min"":""0.9976"",""text"":""bé""}]"
pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav	qa-cua-small-json/pa-021__b__257_61.json	0	no	[]
pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav	qa-cua-small-json/pa-022__b__270_45.json	0	no	[]
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	qa-cua-small-json/pa-023__b__409_37.json	0	no	[]
pa-024	bé	175.29-180.79	clips/pa-024__b__175.29.wav	qa-cua-small-json/pa-024__b__175_29.json	0	no	[]
pa-025	bé	1023.77-1027.67	clips/pa-025__b__1023.77.wav	qa-cua-small-json/pa-025__b__1023_77.json	0	no	[]
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	qa-cua-small-json/pa-026__b__99_97.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.160"",""local_end_s"":""0.400"",""absolute_start_s"":""100.130"",""absolute_end_s"":""100.370"",""prob_min"":""0.9415"",""text"":""bé""}]"
pa-027	bé	30.97-36.55	clips/pa-027__b__30.97.wav	qa-cua-small-json/pa-027__b__30_97.json	0	no	[]
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	qa-cua-small-json/pa-028__b__182_49.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.030"",""local_end_s"":""3.120"",""absolute_start_s"":""185.520"",""absolute_end_s"":""185.610"",""prob_min"":""0.9916"",""text"":""bé""}]"
pa-029	bé	42.97-46.79	clips/pa-029__b__42.97.wav	qa-cua-small-json/pa-029__b__42_97.json	0	no	[]
pa-030	bé	436.45-441.63	clips/pa-030__b__436.45.wav	qa-cua-small-json/pa-030__b__436_45.json	0	no	[]
pa-031	bé	329.13-333.07	clips/pa-031__b__329.13.wav	qa-cua-small-json/pa-031__b__329_13.json	0	no	[]
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	qa-cua-small-json/pa-032__b__270_41.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.120"",""local_end_s"":""3.250"",""absolute_start_s"":""273.530"",""absolute_end_s"":""273.660"",""prob_min"":""0.7044"",""text"":""bé""}]"
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	qa-cua-small-json/pa-033__b__103_09.json	2	sí	"[{""occurrence"":1,""local_start_s"":""0.970"",""local_end_s"":""1.210"",""absolute_start_s"":""104.060"",""absolute_end_s"":""104.300"",""prob_min"":""0.9744"",""text"":""bé""},{""occurrence"":2,""local_start_s"":""3.070"",""local_end_s"":""3.190"",""absolute_start_s"":""106.160"",""absolute_end_s"":""106.280"",""prob_min"":""0.9997"",""text"":""bé""}]"
pa-034	bé	18.85-23.15	clips/pa-034__b__18.85.wav	qa-cua-small-json/pa-034__b__18_85.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.200"",""local_end_s"":""1.430"",""absolute_start_s"":""20.050"",""absolute_end_s"":""20.280"",""prob_min"":""0.8242"",""text"":""bé""}]"
pa-035	bé	715.81-720.31	clips/pa-035__b__715.81.wav	qa-cua-small-json/pa-035__b__715_81.json	0	no	[]
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	qa-cua-small-json/pa-036__b__69_45.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.510"",""local_end_s"":""2.720"",""absolute_start_s"":""71.960"",""absolute_end_s"":""72.170"",""prob_min"":""0.9995"",""text"":""bé""}]"
pa-037	bé	105.29-124.79	clips/pa-037__b__105.29.wav	qa-cua-small-json/pa-037__b__105_29.json	5	sí	"[{""occurrence"":1,""local_start_s"":""10.530"",""local_end_s"":""11.500"",""absolute_start_s"":""115.820"",""absolute_end_s"":""116.790"",""prob_min"":""0.9336"",""text"":""bé""},{""occurrence"":2,""local_start_s"":""13.190"",""local_end_s"":""13.860"",""absolute_start_s"":""118.480"",""absolute_end_s"":""119.150"",""prob_min"":""0.4035"",""text"":""bé""},{""occurrence"":3,""local_start_s"":""14.960"",""local_end_s"":""15.390"",""absolute_start_s"":""120.250"",""absolute_end_s"":""120.680"",""prob_min"":""0.9620"",""text"":""bé""},{""occurrence"":4,""local_start_s"":""15.890"",""local_end_s"":""16.210"",""absolute_start_s"":""121.180"",""absolute_end_s"":""121.500"",""prob_min"":""0.9723"",""text"":""bé""},{""occurrence"":5,""local_start_s"":""18.490"",""local_end_s"":""18.660"",""absolute_start_s"":""123.780"",""absolute_end_s"":""123.950"",""prob_min"":""0.3064"",""text"":""bé""}]"
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	qa-cua-small-json/pa-038__b__26_77.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.810"",""local_end_s"":""1.000"",""absolute_start_s"":""27.580"",""absolute_end_s"":""27.770"",""prob_min"":""0.9083"",""text"":""bé""}]"
pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	qa-cua-small-json/pa-039__b__27_77.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.220"",""local_end_s"":""3.270"",""absolute_start_s"":""30.990"",""absolute_end_s"":""31.040"",""prob_min"":""0.9914"",""text"":""bé""}]"
pa-040	bé	32.81-38.63	clips/pa-040__b__32.81.wav	qa-cua-small-json/pa-040__b__32_81.json	0	no	[]
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	qa-cua-small-json/pa-041__b__130_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.440"",""absolute_start_s"":""130.250"",""absolute_end_s"":""130.690"",""prob_min"":""0.2875"",""text"":""Bé""}]"
pa-045	bé	83.49-91.43	clips/pa-045__b__83.49.wav	qa-cua-small-json/pa-045__b__83_49.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.090"",""local_end_s"":""0.360"",""absolute_start_s"":""83.580"",""absolute_end_s"":""83.850"",""prob_min"":""0.6354"",""text"":""bé""}]"
pa-046	bé	348.81-352.55	clips/pa-046__b__348.81.wav	qa-cua-small-json/pa-046__b__348_81.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.320"",""local_end_s"":""2.560"",""absolute_start_s"":""351.130"",""absolute_end_s"":""351.370"",""prob_min"":""0.8391"",""text"":""bé""}]"
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	qa-cua-small-json/pa-048__b__495_73.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""1.190"",""absolute_start_s"":""495.730"",""absolute_end_s"":""496.920"",""prob_min"":""0.6658"",""text"":""Bé""}]"
pa-049	bé	74.21-82.63	clips/pa-049__b__74.21.wav	qa-cua-small-json/pa-049__b__74_21.json	1	sí	"[{""occurrence"":1,""local_start_s"":""7.000"",""local_end_s"":""7.000"",""absolute_start_s"":""81.210"",""absolute_end_s"":""81.210"",""prob_min"":""0.8685"",""text"":""bé""}]"
pa-053	bé	90.81-95.91	clips/pa-053__b__90.81.wav	qa-cua-small-json/pa-053__b__90_81.json	0	no	[]
pa-054	bé	128.77-134.43	clips/pa-054__b__128.77.wav	qa-cua-small-json/pa-054__b__128_77.json	0	no	[]
pa-055	bé	358.57-362.07	clips/pa-055__b__358.57.wav	qa-cua-small-json/pa-055__b__358_57.json	0	no	[]
pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	qa-cua-small-json/pa-056__b__436_49.json	0	no	[]
pa-057	bé	203.57-209.03	clips/pa-057__b__203.57.wav	qa-cua-small-json/pa-057__b__203_57.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.690"",""local_end_s"":""2.000"",""absolute_start_s"":""205.260"",""absolute_end_s"":""205.570"",""prob_min"":""0.8791"",""text"":""bé""}]"
pa-058	bé	210.61-215.39	clips/pa-058__b__210.61.wav	qa-cua-small-json/pa-058__b__210_61.json	0	no	[]
pa-059	bé	112.41-118.27	clips/pa-059__b__112.41.wav	qa-cua-small-json/pa-059__b__112_41.json	0	no	[]
pa-060	bé	415.73-419.91	clips/pa-060__b__415.73.wav	qa-cua-small-json/pa-060__b__415_73.json	0	no	[]
pa-061	bé	662.89-667.43	clips/pa-061__b__662.89.wav	qa-cua-small-json/pa-061__b__662_89.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.920"",""local_end_s"":""2.000"",""absolute_start_s"":""664.810"",""absolute_end_s"":""664.890"",""prob_min"":""0.4650"",""text"":""bé""}]"
pa-062	bé	401.61-406.47	clips/pa-062__b__401.61.wav	qa-cua-small-json/pa-062__b__401_61.json	0	no	[]
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	qa-cua-small-json/pa-063__b__105_97.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.330"",""absolute_start_s"":""105.970"",""absolute_end_s"":""106.300"",""prob_min"":""0.5648"",""text"":""Bé""}]"
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	qa-cua-small-json/pa-064__b__97_93.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.430"",""absolute_start_s"":""97.930"",""absolute_end_s"":""98.360"",""prob_min"":""0.6509"",""text"":""Bé""}]"
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	qa-cua-small-json/pa-065__b__138_57.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.470"",""local_end_s"":""1.770"",""absolute_start_s"":""140.040"",""absolute_end_s"":""140.340"",""prob_min"":""0.9995"",""text"":""bé""}]"
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	qa-cua-small-json/pa-066__b__10_13.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.540"",""local_end_s"":""3.430"",""absolute_start_s"":""12.670"",""absolute_end_s"":""13.560"",""prob_min"":""0.4289"",""text"":""bé""}]"
pa-001	de fet	68.49-71.99	clips/pa-001__de-fet__68.49.wav	qa-cua-small-json/pa-001__de-fet__68_49.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.800"",""local_end_s"":""1.200"",""absolute_start_s"":""69.290"",""absolute_end_s"":""69.690"",""prob_min"":""0.5778"",""text"":""de fet""}]"
pa-002	de fet	72.25-76.75	clips/pa-002__de-fet__72.25.wav	qa-cua-small-json/pa-002__de-fet__72_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.030"",""local_end_s"":""3.110"",""absolute_start_s"":""75.280"",""absolute_end_s"":""75.360"",""prob_min"":""0.2739"",""text"":""de fet""}]"
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	qa-cua-small-json/pa-003__de-fet__0_00.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.900"",""local_end_s"":""2.620"",""absolute_start_s"":""1.900"",""absolute_end_s"":""2.620"",""prob_min"":""0.6679"",""text"":""de fet""}]"
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	qa-cua-small-json/pa-004__de-fet__601_17.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.750"",""local_end_s"":""3.000"",""absolute_start_s"":""603.920"",""absolute_end_s"":""604.170"",""prob_min"":""0.6882"",""text"":""de fet""}]"
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	qa-cua-small-json/pa-006__de-fet__285_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.270"",""local_end_s"":""2.070"",""absolute_start_s"":""286.520"",""absolute_end_s"":""287.320"",""prob_min"":""0.8407"",""text"":""de fet""}]"
pa-008	de fet	799.25-804.75	clips/pa-008__de-fet__799.25.wav	qa-cua-small-json/pa-008__de-fet__799_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.440"",""local_end_s"":""2.690"",""absolute_start_s"":""801.690"",""absolute_end_s"":""801.940"",""prob_min"":""0.7983"",""text"":""de fet""}]"
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	qa-cua-small-json/pa-010__de-fet__647_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.480"",""local_end_s"":""1.990"",""absolute_start_s"":""648.730"",""absolute_end_s"":""649.240"",""prob_min"":""0.6151"",""text"":""de fet""}]"
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	qa-cua-small-json/pa-011__de-fet__557_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.690"",""absolute_start_s"":""557.250"",""absolute_end_s"":""557.940"",""prob_min"":""0.5130"",""text"":""de fet""}]"
pa-016	de fet	318.53-324.03	clips/pa-016__de-fet__318.53.wav	qa-cua-small-json/pa-016__de-fet__318_53.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.270"",""local_end_s"":""2.360"",""absolute_start_s"":""320.800"",""absolute_end_s"":""320.890"",""prob_min"":""0.5592"",""text"":""de fet""}]"
pa-022	de fet	420.21-424.71	clips/pa-022__de-fet__420.21.wav	qa-cua-small-json/pa-022__de-fet__420_21.json	0	no	[]
pa-023	de fet	72.49-78.31	clips/pa-023__de-fet__72.49.wav	qa-cua-small-json/pa-023__de-fet__72_49.json	1	sí	"[{""occurrence"":1,""local_start_s"":""4.670"",""local_end_s"":""4.870"",""absolute_start_s"":""77.160"",""absolute_end_s"":""77.360"",""prob_min"":""0.7118"",""text"":""de fet""}]"
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	qa-cua-small-json/pa-024__de-fet__482_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.040"",""local_end_s"":""0.330"",""absolute_start_s"":""482.290"",""absolute_end_s"":""482.580"",""prob_min"":""0.2345"",""text"":""de fet""}]"
pa-025	de fet	890.85-894.31	clips/pa-025__de-fet__890.85.wav	qa-cua-small-json/pa-025__de-fet__890_85.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.590"",""local_end_s"":""2.000"",""absolute_start_s"":""892.440"",""absolute_end_s"":""892.850"",""prob_min"":""0.6469"",""text"":""de fet""}]"
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	qa-cua-small-json/pa-027__de-fet__109_45.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.540"",""local_end_s"":""1.040"",""absolute_start_s"":""109.990"",""absolute_end_s"":""110.490"",""prob_min"":""0.3832"",""text"":""de fet""}]"
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	qa-cua-small-json/pa-028__de-fet__31_17.json	1	sí	"[{""occurrence"":1,""local_start_s"":""4.600"",""local_end_s"":""4.870"",""absolute_start_s"":""35.770"",""absolute_end_s"":""36.040"",""prob_min"":""0.7839"",""text"":""de fet""}]"
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	qa-cua-small-json/pa-031__de-fet__9_93.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.930"",""local_end_s"":""1.630"",""absolute_start_s"":""10.860"",""absolute_end_s"":""11.560"",""prob_min"":""0.8205"",""text"":""de fet""}]"
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	qa-cua-small-json/pa-033__de-fet__249_69.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.180"",""local_end_s"":""1.460"",""absolute_start_s"":""250.870"",""absolute_end_s"":""251.150"",""prob_min"":""0.9628"",""text"":""de fet""}]"
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	qa-cua-small-json/pa-040__de-fet__70_17.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.080"",""local_end_s"":""1.380"",""absolute_start_s"":""71.250"",""absolute_end_s"":""71.550"",""prob_min"":""0.9576"",""text"":""de fet""}]"
pa-051	de fet	200.81-205.31	clips/pa-051__de-fet__200.81.wav	qa-cua-small-json/pa-051__de-fet__200_81.json	0	no	[]
pa-057	de fet	561.25-569.07	clips/pa-057__de-fet__561.25.wav	qa-cua-small-json/pa-057__de-fet__561_25.json	0	no	[]
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	qa-cua-small-json/pa-060__de-fet__72_57.json	1	sí	"[{""occurrence"":1,""local_start_s"":""4.700"",""local_end_s"":""4.840"",""absolute_start_s"":""77.270"",""absolute_end_s"":""77.410"",""prob_min"":""0.8385"",""text"":""de fet""}]"
pa-065	de fet	883.97-888.71	clips/pa-065__de-fet__883.97.wav	qa-cua-small-json/pa-065__de-fet__883_97.json	0	no	[]
pa-066	de fet	44.37-49.71	clips/pa-066__de-fet__44.37.wav	qa-cua-small-json/pa-066__de-fet__44_37.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.460"",""local_end_s"":""1.790"",""absolute_start_s"":""45.830"",""absolute_end_s"":""46.160"",""prob_min"":""0.7471"",""text"":""de fet""}]"
pa-001	és a dir	890.97-894.47	clips/pa-001__s-a-dir__890.97.wav	qa-cua-small-json/pa-001__s-a-dir__890_97.json	0	no	[]
pa-002	és a dir	12.25-17.75	clips/pa-002__s-a-dir__12.25.wav	qa-cua-small-json/pa-002__s-a-dir__12_25.json	0	no	[]
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	qa-cua-small-json/pa-003__s-a-dir__65_05.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.510"",""absolute_start_s"":""65.050"",""absolute_end_s"":""65.560"",""prob_min"":""0.4942"",""text"":""És a dir""}]"
pa-007	és a dir	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	qa-cua-small-json/pa-007__s-a-dir__684_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""1.170"",""absolute_start_s"":""684.250"",""absolute_end_s"":""685.420"",""prob_min"":""0.0916"",""text"":""és a dir""}]"
pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	qa-cua-small-json/pa-008__s-a-dir__1110_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""2.300"",""local_end_s"":""2.600"",""absolute_start_s"":""1112.550"",""absolute_end_s"":""1112.850"",""prob_min"":""0.4791"",""text"":""És a dir""}]"
pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	qa-cua-small-json/pa-010__s-a-dir__243_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.380"",""absolute_start_s"":""243.250"",""absolute_end_s"":""243.630"",""prob_min"":""0.3904"",""text"":""és a dir""}]"
pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	qa-cua-small-json/pa-011__s-a-dir__48_09.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.850"",""absolute_start_s"":""48.090"",""absolute_end_s"":""48.940"",""prob_min"":""0.0626"",""text"":""és a dir""}]"
pa-013	és a dir	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	qa-cua-small-json/pa-013__s-a-dir__579_17.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.200"",""local_end_s"":""1.540"",""absolute_start_s"":""580.370"",""absolute_end_s"":""580.710"",""prob_min"":""0.6284"",""text"":""És a dir""}]"
pa-014	és a dir	95.45-107.35	clips/pa-014__s-a-dir__95.45.wav	qa-cua-small-json/pa-014__s-a-dir__95_45.json	0	no	[]
pa-016	és a dir	85.97-90.59	clips/pa-016__s-a-dir__85.97.wav	qa-cua-small-json/pa-016__s-a-dir__85_97.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.000"",""local_end_s"":""1.170"",""absolute_start_s"":""86.970"",""absolute_end_s"":""87.140"",""prob_min"":""0.1726"",""text"":""És a dir""}]"
pa-017	és a dir	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	qa-cua-small-json/pa-017__s-a-dir__487_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.520"",""local_end_s"":""1.710"",""absolute_start_s"":""488.770"",""absolute_end_s"":""488.960"",""prob_min"":""0.4956"",""text"":""és a dir""}]"
pa-018	és a dir	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	qa-cua-small-json/pa-018__s-a-dir__74_49.json	0	no	[]
pa-019	és a dir	56.25-60.75	clips/pa-019__s-a-dir__56.25.wav	qa-cua-small-json/pa-019__s-a-dir__56_25.json	0	no	[]
pa-021	és a dir	32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	qa-cua-small-json/pa-021__s-a-dir__32_29.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.130"",""local_end_s"":""2.120"",""absolute_start_s"":""33.420"",""absolute_end_s"":""34.410"",""prob_min"":""0.3647"",""text"":""És a dir""}]"
pa-022	és a dir	11.49-17.91	clips/pa-022__s-a-dir__11.49.wav	qa-cua-small-json/pa-022__s-a-dir__11_49.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.800"",""local_end_s"":""4.560"",""absolute_start_s"":""15.290"",""absolute_end_s"":""16.050"",""prob_min"":""0.1417"",""text"":""És a dir""}]"
pa-023	és a dir	207.17-213.55	clips/pa-023__s-a-dir__207.17.wav	qa-cua-small-json/pa-023__s-a-dir__207_17.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.000"",""local_end_s"":""0.550"",""absolute_start_s"":""207.170"",""absolute_end_s"":""207.720"",""prob_min"":""0.0165"",""text"":""És a dir""}]"
pa-024	és a dir	78.49-84.39	clips/pa-024__s-a-dir__78.49.wav	qa-cua-small-json/pa-024__s-a-dir__78_49.json	0	no	[]
pa-025	és a dir	64.61-70.95	clips/pa-025__s-a-dir__64.61.wav	qa-cua-small-json/pa-025__s-a-dir__64_61.json	0	no	[]
pa-026	és a dir	64.09-68.39	clips/pa-026__s-a-dir__64.09.wav	qa-cua-small-json/pa-026__s-a-dir__64_09.json	0	no	[]
pa-027	és a dir	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	qa-cua-small-json/pa-027__s-a-dir__185_61.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.000"",""local_end_s"":""1.770"",""absolute_start_s"":""186.610"",""absolute_end_s"":""187.380"",""prob_min"":""0.6623"",""text"":""és a dir""}]"
pa-029	és a dir	20.17-25.95	clips/pa-029__s-a-dir__20.17.wav	qa-cua-small-json/pa-029__s-a-dir__20_17.json	0	no	[]
