ordre_triple	rang	prioritat_triple	id_persona	forma	interval_escolta	clip	token_prob_min	small	base	greedy	forma_en_qa	consens_dos_asr	text_qa	text_greedy	justificacio	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
11	1	A-triple-token-fort	pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	0.9947	sí	sí	sí	sí	sí	un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.	Un element, no vull dir de discussió,  però potser no s'acaba d'entendre bé.  Molt poc s'endurà.	tres models i probabilitat de token >= 0,80	pendent					
12	1	A-triple-token-fort	pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	0.9942	sí	sí	sí	sí	sí	per mi l'escola andorrana és una identitat no, jo crec.	per mi l'escola en d'Orrana és una identitat no, jo crec.	tres models i probabilitat de token >= 0,80	pendent					
13	1	A-triple-token-fort	pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	0.9941	sí	sí	sí	sí	sí	I jo crec que un factor important és el canvi generacional, també, entreu.	Jo crec que un factor important és el canvi generacional, també, entre un.	tres models i probabilitat de token >= 0,80	pendent					
14	1	A-triple-token-fort	pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	0.9940	sí	sí	sí	sí	sí	I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	i jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	tres models i probabilitat de token >= 0,80	pendent					
15	1	A-triple-token-fort	pa-007	a veure	89.25-96.75	clips/pa-007__a-veure__89.25.wav	0.9934	sí	sí	sí	sí	sí	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	tres models i probabilitat de token >= 0,80	pendent					
16	1	A-triple-token-fort	pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	0.9932	sí	sí	sí	sí	sí	i buscàvem qui era la fórmula que ens encaixava més bé.	i buscàvem qui era la fórmula que ens encaixava més bé.	tres models i probabilitat de token >= 0,80	pendent					
17	1	A-triple-token-fort	pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	0.9925	sí	sí	sí	sí	sí	i en aquell moment jo crec que en Dorre necessitava.	i en aquell moment jo crec que en Dorre necessitava.	tres models i probabilitat de token >= 0,80	pendent					
18	1	A-triple-token-fort	pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	0.9921	sí	sí	sí	sí	sí	Si us sembla bé, farem un viatge en el temps, més precisament.	Si us sembla bé, farem un viatge en el temps més precisament.	tres models i probabilitat de token >= 0,80	pendent					
19	1	A-triple-token-fort	pa-008	a veure	668.25-673.75	clips/pa-008__a-veure__668.25.wav	0.9915	sí	sí	sí	sí	sí	tot això no té res a veure amb el que tres anys abans	tot això no té res a veure amb el que tres anys abans	tres models i probabilitat de token >= 0,80	pendent					
20	1	A-triple-token-fort	pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	0.9907	sí	sí	sí	sí	sí	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	i ho explicarà.  Doncs jo crec que a aquest home hi va voler marcar...	tres models i probabilitat de token >= 0,80	pendent					
21	1	A-triple-token-fort	pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	0.9905	sí	sí	sí	sí	sí	als pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	els pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	tres models i probabilitat de token >= 0,80	pendent					
22	1	A-triple-token-fort	pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	0.9899	sí	sí	sí	sí	sí	Jo crec que el que es volia era trobar la manera d'arribar.	Jo crec que el que es volia era trobar la manera de arribar.	tres models i probabilitat de token >= 0,80	pendent					
23	1	A-triple-token-fort	pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	0.9886	sí	sí	sí	sí	sí	Jo crec que he pogut entrar en càrregues.	Jo crec que he pogut entrar a càrrecs.	tres models i probabilitat de token >= 0,80	pendent					
24	1	A-triple-token-fort	pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	0.9866	sí	sí	sí	sí	sí	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	tres models i probabilitat de token >= 0,80	pendent					
25	1	A-triple-token-fort	pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	0.9866	sí	sí	sí	sí	sí	Si hi ha cel, jo no crec ni en l'infern, ni en el purgatori, ni en el cel.	Si hi ha cel, jo no crec ni en l'inferna, ni el purgatori, ni el cel.	tres models i probabilitat de token >= 0,80	pendent					
26	1	A-triple-token-fort	pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	0.9856	sí	sí	sí	sí	sí	perquè jo crec que hi ha alguns que em donen una sensació	perquè jo crec que hi ha alguns que em donen una sensació	tres models i probabilitat de token >= 0,80	pendent					
27	1	A-triple-token-fort	pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	0.9844	sí	sí	sí	sí	sí	la família, jo crec que és l'escència de viure bé i en pau.	La família, jo crec que és l'essència de viure bé i en pau.	tres models i probabilitat de token >= 0,80	pendent					
28	1	A-triple-token-fort	pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	0.9842	sí	sí	sí	sí	sí	Jo tenia molt clar que s'havia de canviar la manera de fer.	Jo tenia molt clar que s'havia de canviar de manera de fer.	tres models i probabilitat de token >= 0,80	pendent					
29	1	A-triple-token-fort	pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	0.9837	sí	sí	sí	sí	sí	Ja et dic que els agents exteriors siguin ja no vull dir quins, però...	Ja et dic que els agents exteriors siguin... ja no vull dir quins, però...	tres models i probabilitat de token >= 0,80	pendent					
30	1	A-triple-token-fort	pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	0.9828	sí	sí	sí	sí	sí	més o menys està bé allà i després...	més o menys està bé allà i després...	tres models i probabilitat de token >= 0,80	pendent					
31	1	A-triple-token-fort	pa-045	evidentment	290.13-298.31	clips/pa-045__evidentment__290.13.wav	0.9812	sí	sí	sí	sí	sí	que tenen senyor o, evidentment,  en una sèrie de condicions molt clares,  d'un nombre de persones.	que tenen senyor o, evidentment,  en una sèrie de...  de condicions molt clares,  dir-ho amb la de persona.	tres models i probabilitat de token >= 0,80	pendent					
32	1	A-triple-token-fort	pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	0.9810	sí	sí	sí	sí	sí	és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	i és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	tres models i probabilitat de token >= 0,80	pendent					
33	1	A-triple-token-fort	pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	0.9757	sí	sí	sí	sí	sí	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.	tres models i probabilitat de token >= 0,80	pendent					
34	1	A-triple-token-fort	pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	0.9742	sí	sí	sí	sí	sí	perquè jo crec que hi ha alguns que em donen la sensació	perquè jo crec que hi ha alguns que em donen una sensació	tres models i probabilitat de token >= 0,80	pendent					
35	1	A-triple-token-fort	pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	0.9717	sí	sí	sí	sí	sí	M'agradaria que no hi havia res.  Jo crec que en aquella època, pràcticament tot devia ser necessari,  per la falta, precisament, de tot el que hi havia aquí al país.	i que no hi havia res.  Jo crec que en aquella època pràcticament tot devia ser necessari  per la falta, precisament, de tot el que hi havia aquí al país.	tres models i probabilitat de token >= 0,80	pendent					
36	1	A-triple-token-fort	pa-038	reformeta	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	0.9688	sí	sí	sí	sí	sí	o com vulguis, segueixen contentat amb una reformeta.	que ho convolguis, segueixen contentat amb una reformeta.	tres models i probabilitat de token >= 0,80	pendent					
37	1	A-triple-token-fort	pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	0.9676	sí	sí	sí	sí	sí	i provaria aigua suficient, evidentment, i el...	i doncs provaria aigua suficient, evidentment, i el...	tres models i probabilitat de token >= 0,80	pendent					
38	1	A-triple-token-fort	pa-058	perquè	91.09-96.47	clips/pa-058__perqu__91.09.wav	0.9674	sí	sí	sí	sí	sí	i resòria, perquè no podíem acabar mai de decidir que una cosa...	i resòria, perquè no podíem acabar mai de decidir que una cosa...	tres models i probabilitat de token >= 0,80	pendent					
39	1	A-triple-token-fort	pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	0.9666	sí	sí	sí	sí	sí	jo no crec que s'hagi de canviar massa, massa sovint d'una constitució.	Jo no crec que s'ha de canviar massa, massa subint una constitució.	tres models i probabilitat de token >= 0,80	pendent					
40	1	A-triple-token-fort	pa-018	perquè	91.09-96.47	clips/pa-018__perqu__91.09.wav	0.9663	sí	sí	sí	sí	sí	i resòria, perquè no podíem acabar mai de decidir que una cosa...	i resòria, perquè no podíem acabar mai de decidir que una cosa...	tres models i probabilitat de token >= 0,80	pendent					
41	1	A-triple-token-fort	pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	0.9627	sí	sí	sí	sí	sí	És a dir, jo tinc clar que l'Evangeli és on tinc el macar.	Jo tinc clar que l'Evangeli és on tinc el macar.	tres models i probabilitat de token >= 0,80	pendent					
42	1	A-triple-token-fort	pa-034	a veure	94.05-100.39	clips/pa-034__a-veure__94.05.wav	0.9578	sí	sí	sí	sí	sí	Em va venir a veure, perquè, clar, ja sabia de començar a preparar,	i em va venir a veure, perquè, clar, ja sabia de començar a preparar,  les candidats.	tres models i probabilitat de token >= 0,80	pendent					
43	1	A-triple-token-fort	pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	0.9576	sí	sí	sí	sí	sí	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	i de fet el meu pare el portava sempre sobre aquell pin.	tres models i probabilitat de token >= 0,80	pendent					
44	1	A-triple-token-fort	pa-055	reformeta	139.05-145.83	clips/pa-055__reformeta__139.05.wav	0.9557	sí	sí	sí	sí	sí	La diferència és que la reformeta tractava amb missatges.	La diferència és que la reformeta tractava amb missatges.	tres models i probabilitat de token >= 0,80	pendent					
45	1	A-triple-token-fort	pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	0.9550	sí	sí	sí	sí	sí	I jo crec que el fet de que amb el consell anterior passés el que va passant.	i és molt fàcil.  Jo crec que el fet que me'l consella anterior  passés el que va passant.	tres models i probabilitat de token >= 0,80	pendent					
46	1	A-triple-token-fort	pa-026	reformeta	138.61-145.67	clips/pa-026__reformeta__138.61.wav	0.9543	sí	sí	sí	sí	sí	La diferència és que la reformeta tractava amb assaig.	i ho veiem aconseguir.  La diferència és que la reformeta tractàvem massatge.	tres models i probabilitat de token >= 0,80	pendent					
47	1	A-triple-token-fort	pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	0.9520	sí	sí	sí	sí	sí	L'hora de venir, evidentment, si era l'estiu o era l'hivern, tant cabell	l'hora de venir, evidentment, si era l'estiu o era l'hivern, tant que ha de	tres models i probabilitat de token >= 0,80	pendent					
48	1	A-triple-token-fort	pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	0.9514	sí	sí	sí	sí	sí	I ho recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	Jo recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	tres models i probabilitat de token >= 0,80	pendent					
49	1	A-triple-token-fort	pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	0.9439	sí	sí	sí	sí	sí	Tenim un objectiu molt clar i l'hem de solit.	Tenim un objectiu molt clar i l'hem de solit.	tres models i probabilitat de token >= 0,80	pendent					
50	1	A-triple-token-fort	pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	0.9393	sí	sí	sí	sí	sí	A més enllà, ens va costar fer aquest pas important,  després, evidentment, entrem a la legislatura crítica  o a la més forta que hi ha.	i no ens van anar més enllà.  Ens va costar fer aquest pas important.  Després, evidentment, entrem a la legislatura crítica	tres models i probabilitat de token >= 0,80	pendent					
51	1	A-triple-token-fort	pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	0.9362	sí	sí	sí	sí	sí	I va haver una certa, diguem-ne, un bon feeling, no?	i va haver una certa... diguem-ne, un bon feeling, no?	tres models i probabilitat de token >= 0,80	pendent					
52	1	A-triple-token-fort	pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	0.9342	sí	sí	sí	sí	sí	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també, perquè cal recordar-ho.	tres models i probabilitat de token >= 0,80	pendent					
53	1	A-triple-token-fort	pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	0.9315	sí	sí	sí	sí	sí	Els 2010 van passar a anomenar-se per motius polítics, evidentment,	i els 2010 van passar a nominar-se per motius polítics, evidentment,  però potser també...	tres models i probabilitat de token >= 0,80	pendent					
54	1	A-triple-token-fort	pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	0.9083	sí	sí	sí	sí	sí	No està bé considerada com un estat real.	No està bé considerada com un estat real.	tres models i probabilitat de token >= 0,80	pendent					
55	1	A-triple-token-fort	pa-056	tirar endavant	185.53-189.19	clips/pa-056__tirar-endavant__185.53.wav	0.9073	sí	sí	sí	sí	sí	i estem d'acord? Doncs vam tirar endavant.	i estem d'acord? Doncs vam tirar endavant.	tres models i probabilitat de token >= 0,80	pendent					
56	1	A-triple-token-fort	pa-019	a nivell	122.25-127.75	clips/pa-019__a-nivell__122.25.wav	0.9056	sí	sí	sí	sí	sí	la Constitució és amb qualsevol tema que entrés a nivell de comissions.	i la Constitució és un qualsevol tema que entre a nivell de comissions.	tres models i probabilitat de token >= 0,80	pendent					
57	1	A-triple-token-fort	pa-017	doncs	459.25-464.75	clips/pa-017__doncs__459.25.wav	0.9049	sí	sí	sí	sí	sí	I perfecte, doncs a partir d'aquí, sempre ja que et dubte de sapiguer,	i perfecte.  Doncs a partir d'aquí, sempre ja que et dubte,  desapigué, és que...	tres models i probabilitat de token >= 0,80	pendent					
58	1	A-triple-token-fort	pa-062	perquè	73.97-78.19	clips/pa-062__perqu__73.97.wav	0.9024	sí	sí	sí	sí	sí	Avui és un bon dia perquè amb una copa de bombi a la mà ens desperta.	Avui és un bon dia perquè amb una copa de bombi a la mà ens desperta.	tres models i probabilitat de token >= 0,80	pendent					
59	1	A-triple-token-fort	pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	0.9005	sí	sí	sí	sí	sí	i després hi havia el factor, evidentment, diferent.  Se'l deprem, clar, que no.	i després hi havia el factor, evidentment, diferent,  si el deprem clar.	tres models i probabilitat de token >= 0,80	pendent					
60	1	A-triple-token-fort	pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	0.8964	sí	sí	sí	sí	sí	com estaven, doncs evidentment no era el nostre tarannà.  Per almenys el meu.	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.	tres models i probabilitat de token >= 0,80	pendent					
61	1	A-triple-token-fort	pa-036	a nivell	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	0.8938	sí	sí	sí	sí	sí	Tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.	tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.	tres models i probabilitat de token >= 0,80	pendent					
62	1	A-triple-token-fort	pa-048	a nivell	435.77-441.27	clips/pa-048__a-nivell__435.77.wav	0.8845	sí	sí	sí	sí	sí	perquè, normalment, quan t'inviten a nivell oficial, t'inviten a tal...	No, perquè normalment, quan t'inviten a nivell oficial,	tres models i probabilitat de token >= 0,80	pendent					
63	1	A-triple-token-fort	pa-029	tirar endavant	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	0.8813	sí	sí	sí	sí	sí	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.	tres models i probabilitat de token >= 0,80	pendent					
64	1	A-triple-token-fort	pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	0.8805	sí	sí	sí	sí	sí	Per tant, finances, evidentment, pels pressupostos i...	per la prostitució.  Per tant, finances, evidentment, per el pressupost i...	tres models i probabilitat de token >= 0,80	pendent					
65	1	A-triple-token-fort	pa-065	perquè	129.17-134.51	clips/pa-065__perqu__129.17.wav	0.8717	sí	sí	sí	sí	sí	el paradís. Però un viu, perquè el paradís no existeix, fins i tot.	i el paradís.  Però un viu, perquè el paradís no existeix.	tres models i probabilitat de token >= 0,80	pendent					
66	1	A-triple-token-fort	pa-034	tirar endavant	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	0.8661	sí	sí	sí	sí	sí	Però, esclar, també d'entendre que si volíem tirar endavant.	Però, clar, també d'entendre que si volíem tirar endavant.	tres models i probabilitat de token >= 0,80	pendent					
67	1	A-triple-token-fort	pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	0.8623	sí	sí	sí	sí	sí	com estaven, doncs evidentment no era el nostre tarannà,  per almenys el meu.	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.	tres models i probabilitat de token >= 0,80	pendent					
68	1	A-triple-token-fort	pa-007	perquè	101.25-107.75	clips/pa-007__perqu__101.25.wav	0.8509	sí	sí	sí	sí	sí	que res d'endorra, no sé si es veu perquè em penso que surt com si fos un mirall,  però aquest és el llibre que parla d'això, no?	que res d'endorra. No sé si es veu perquè em penso que surt com si fos un mirall,  però aquest és el llibre que parla d'això.	tres models i probabilitat de token >= 0,80	pendent					
69	1	A-triple-token-fort	pa-016	perquè	79.77-85.39	clips/pa-016__perqu__79.77.wav	0.8479	sí	sí	sí	sí	sí	a mi em posa moltíssim, perquè a més era al principi i pensava que m'hagués quedat.	a mi em posava moltíssim, perquè a més era al principi,  i pensava que m'havia de fer una cosa.	tres models i probabilitat de token >= 0,80	pendent					
70	1	A-triple-token-fort	pa-015	doncs	83.25-87.75	clips/pa-015__doncs__83.25.wav	0.8466	sí	sí	sí	sí	sí	és important, doncs és important per una senzilla raó.	"és important. Doncs per ""és important"" per una senzilla rau."	tres models i probabilitat de token >= 0,80	pendent					
71	1	A-triple-token-fort	pa-025	perquè	37.17-40.43	clips/pa-025__perqu__37.17.wav	0.8440	sí	sí	sí	sí	sí	molt grans perquè abans no els deixaven votar, que eren...	perquè abans no els deixaven votar, que eren...	tres models i probabilitat de token >= 0,80	pendent					
72	1	A-triple-token-fort	pa-028	doncs	329.33-334.79	clips/pa-028__doncs__329.33.wav	0.8421	sí	sí	sí	sí	sí	No era igual.  Doncs conyes que realment té un valor de cada institució.  Jo trobava...	i que, igual, doncs conyes que realment té un valor que té constitució.	tres models i probabilitat de token >= 0,80	pendent					
73	1	A-triple-token-fort	pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	0.8407	sí	sí	sí	sí	sí	és que, de fet, només hi ha una sola peça al muiment.	i el que és un molit de blat és que, de fet,  només hi ha una sola peça al moviment.	tres models i probabilitat de token >= 0,80	pendent					
74	1	A-triple-token-fort	pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	0.8385	sí	sí	sí	sí	sí	dos legislatures que van ocupar 4 anys, de fet.	d'explicatures que van ocupar 4 anys, de fet.	tres models i probabilitat de token >= 0,80	pendent					
75	1	A-triple-token-fort	pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	0.8366	sí	sí	sí	sí	sí	de la perifèria, i, bueno, jo recordo que he passat...	i, bueno, jo recordo que he passat...	tres models i probabilitat de token >= 0,80	pendent					
76	1	A-triple-token-fort	pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	0.8330	sí	sí	sí	sí	sí	I, bueno, l'últim, la psiga 4 que ens vam apuntar i vam dir que era capaç.	i bueno, l'últim, la psiquia 4 que ens vam apuntar i vam dir que era capaç.	tres models i probabilitat de token >= 0,80	pendent					
77	1	A-triple-token-fort	pa-055	perquè	148.53-153.11	clips/pa-055__perqu__148.53.wav	0.8312	sí	sí	sí	sí	sí	Ja t'ho dic tot, perquè no em vull ascendre.	i a turist.  Perquè no em vull ascendre.	tres models i probabilitat de token >= 0,80	pendent					
78	1	A-triple-token-fort	pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	0.8263	sí	sí	sí	sí	sí	I, bueno, era la primera fase.	i, bueno, és el primer pas.	tres models i probabilitat de token >= 0,80	pendent					
79	1	A-triple-token-fort	pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	0.8205	sí	sí	sí	sí	sí	I, de fet, no em va portar ningú, jo em vaig portar...	i, de fet, no em va portar ningú.	tres models i probabilitat de token >= 0,80	pendent					
80	1	A-triple-token-fort	pa-014	perquè	105.85-115.75	clips/pa-014__perqu__105.85.wav	0.8193	sí	sí	sí	sí	sí	per quin motiu, perquè en el seu moment es va tenir una sèrie de dubtes o dubtes,  més que dubtes, vaig començar a buscar.	per quin motiu?  Perquè en el seu moment,  es va tenir una sèrie de dubtes,  més que dubtes,  vaig començar a buscar.	tres models i probabilitat de token >= 0,80	pendent					
81	2	B-triple-token-baix	pa-010	llavors	386.25-391.75	clips/pa-010__llavors__386.25.wav	0.7955	sí	sí	sí	sí	sí	Allà, llavors, per intentar interpretar què devia voler dir en origen, aquest...	A la llavors, per intentar interpretar què devia voler dir en l'Origem, aquest...	tres models amb probabilitat baixa	pendent					
82	2	B-triple-token-baix	pa-041	ensenyança	523.25-531.75	clips/pa-041__ensenyan-a__523.25.wav	0.7954	sí	sí	sí	sí	sí	I aquest material pedagògic, que tingués continuïtat,  també de cara a tota la primera ensenyança.	I aquest material pedagògic, que tingués continuïtat,  també de cara a tota la primera ensenyança,  perquè aviam si...	tres models amb probabilitat baixa	pendent					
83	2	B-triple-token-baix	pa-016	evidentment	456.85-463.03	clips/pa-016__evidentment__456.85.wav	0.7723	sí	sí	sí	sí	sí	I, evidentment, si has de dir alguna cosa, ho dius a les sessions que tens intern.	i evidentment si has de dir alguna cosa ho dius a les sessions que tens intern.	tres models amb probabilitat baixa	pendent					
84	2	B-triple-token-baix	pa-062	és a dir	973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	0.7665	sí	sí	sí	sí	sí	que ells donaven, és a dir, que s'instaureix  entre el món polític i el món empresarial un diàleg...	que ells donaven, és a dir, que s'instaureix  entre el món polític i el món empresarial un diàleg...	tres models amb probabilitat baixa	pendent					
85	2	B-triple-token-baix	pa-027	perquè	8.81-14.39	clips/pa-027__perqu__8.81.wav	0.7631	sí	sí	sí	sí	sí	I ho recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	Jo recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	tres models amb probabilitat baixa	pendent					
86	2	B-triple-token-baix	pa-059	tirar endavant	49.77-54.87	clips/pa-059__tirar-endavant__49.77.wav	0.7573	sí	sí	sí	sí	sí	per fer les decisions com per poder tirar endavant amb tot el que era la justícia,	i les decisions com per poder tirar endavant amb tot el que era la justícia,  l'immigració...	tres models amb probabilitat baixa	pendent					
87	2	B-triple-token-baix	pa-065	doncs	157.49-162.27	clips/pa-065__doncs__157.49.wav	0.7556	sí	sí	sí	sí	sí	i quan hi ha amor, doncs Déu, avi, tenen tots els nostres cors.	i quan hi ha amor, doncs Déu, avi, tenen les nostres cors.	tres models amb probabilitat baixa	pendent					
88	2	B-triple-token-baix	pa-058	vull dir	975.13-979.55	clips/pa-058__vull-dir__975.13.wav	0.7520	sí	sí	sí	sí	sí	i demitots que gràcies a Déu que vull dir a l'Adri.	i demitots que gràcies a Déu que vull dir a l'adrin.	tres models amb probabilitat baixa	pendent					
89	2	B-triple-token-baix	pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	0.7440	sí	sí	sí	sí	sí	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	tres models amb probabilitat baixa	pendent					
