id_global	sessio	persona	forma	categoria	clip	prioritat	prob_min	text_small	text_base	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	guia_observacio	estat
canon::pa-041::vull dir::11	sessio-01	pa-041	vull dir	discurs	clips/pa-041__vull-dir__264.25.wav	A-triple-token-fort	0.9947	un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.	va ser potser també un element, no vull dir potser de discussió, però potser no s'aclava d'entendre bé. Molt pocs endorrants.	204.48	53.92	0.080	320.02	1654.50	2599.84	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-043::crec::12	sessio-01	pa-043	crec	morfosintaxi	clips/pa-043__crec__102.25.wav	A-triple-token-fort	0.9942	per mi l'escola andorrana és una identitat no, jo crec.	una mica aquesta idea. Bueno, per mi, l'Ascolandor Rana és que has vingut una identitat, no, jo crec. És a dir, tots els alumnes que hem sigut té petits,	217.96	146.91	0.070	756.89	1764.73	2507.09	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-022::crec::13	sessio-01	pa-022	crec	morfosintaxi	clips/pa-022__crec__243.73.wav	A-triple-token-fort	0.9941	I jo crec que un factor important és el canvi generacional, també, entreu.	perquè tenia un la pot i a veure si ara s'aduré inextremis. Jo crec que un factor important és el canvi internacional, també. Entreu, arribé una generació, una gent més jove,	245.20	183.45	0.040	1615.47	2579.88	4077.49	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-014::crec::14	sessio-01	pa-014	crec	morfosintaxi	clips/pa-014__crec__153.25.wav	A-triple-token-fort	0.9940	I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	I crec que també hi ha algú que li pugui l'interessar que estigui interessat en aquesta cultura i en aquest ámbit, que es volen que el comú també fa que tu ets aquí i han cantat del vídeo de veró fet.	142.35	87.50	0.040	1334.01	2031.63	3393.21	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-007::a veure::15	sessio-01	pa-007	a veure	discurs	clips/pa-007__a-veure__89.25.wav	A-triple-token-fort	0.9934	que he tingut a veure amb la història del nostre país i que vaig publicar a un dels meus llibres que tinc per aquí.	d'algum personatge que ha tingut a veure amb la història del nostre país i que vaig publicar a un dels veus llibres que tinc per aquí i ja ho s'ensenyen.	291.20	45.84	0.060	374.23	898.89	2345.39	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-019::bé::16	sessio-01	pa-019	bé	discurs	clips/pa-019__b__195.25.wav	A-triple-token-fort	0.9932	i buscàvem qui era la fórmula que ens encaixava més bé.	i entre els quadres consellers discutíem, parlàvem, I buscàvem, doncs, quina era la fórmula que ens encaixava més bé. Realment era tot un tema de consens.	161.31	165.43	0.060	828.25	1682.88	2647.25	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-019::crec::17	sessio-01	pa-019	crec	morfosintaxi	clips/pa-019__crec__27.25.wav	A-triple-token-fort	0.9925	i en aquell moment jo crec que en Dorre necessitava.	I adaptar-te situacions, doncs que en aquell moment jo crec que, en dors repos necessitava, no, per entrar-lo, el que havia de ser,	166.76	91.70	0.080	592.68	1227.67	2307.88	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-005::bé::18	sessio-01	pa-005	bé	discurs	clips/pa-005__b__51.09.wav	A-triple-token-fort	0.9921	Si us sembla bé, farem un viatge en el temps, més precisament.	sobre aquest pilat tan important de la nostra economia. Si us sembla bé, farem un viatge en el temps, més precisament de l'any 1556,	241.53	27.99	0.150	422.68	1940.04	2838.07	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-008::a veure::19	sessio-01	pa-008	a veure	discurs	clips/pa-008__a-veure__668.25.wav	A-triple-token-fort	0.9915	tot això no té res a veure amb el que tres anys abans	i que després, quan arriba a l'anit, s'encenen i és gira volta. Tot això no té res a veure amb el que 3 anys abans, Rafael Miranda havia introduït la nit de Sant Joan amb la festivitat,	177.82	52.01	0.060	533.13	1520.53	2422.28	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-039::crec::20	sessio-01	pa-039	crec	morfosintaxi	clips/pa-039__crec__90.85.wav	A-triple-token-fort	0.9907	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	que ja ho en el seu moment ja s'explicarà, doncs, jo crec que aquesta home va volguer marcar una cosa històrica per andorra.	180.97	163.35	0.080	354.92	1576.19	2547.10	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-010::llavors::81	sessio-01	pa-010	llavors	discurs	clips/pa-010__llavors__386.25.wav	B-triple-token-baix	0.7955	Allà, llavors, per intentar interpretar què devia voler dir en origen, aquest...	ens vam pulmant i estar histÃ²nic en quÃ¨ les vaig adorrar-nos i no es parlava. Clar, llavors, per intentar interpretar quÃ¨ de dia volia dir en l'Ã€ngel, aquest toponin, o aquest estesÃ¨gi de toponins tan antÃ­gics,	135.17	164.72	0.070	251.26	1749.14	2495.81	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-041::ensenyança::82	sessio-01	pa-041	ensenyança	lèxic	clips/pa-041__ensenyan-a__523.25.wav	B-triple-token-baix	0.7954	I aquest material pedagògic, que tingués continuïtat, també de cara a tota la primera ensenyança.	perquè poguéssim fer-se-hi la escola. I aquest material pedagògic, doncs que tingués continuïtat, també, doncs de cara, a tot la primera ensenyança, perquè havíem si podíem preveure una mica,	204.13	80.28	0.080	433.77	1670.25	2698.89	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-016::evidentment::83	sessio-01	pa-016	evidentment	discurs	clips/pa-016__evidentment__456.85.wav	B-triple-token-baix	0.7723	I, evidentment, si has de dir alguna cosa, ho dius a les sessions que tens intern.	sinó que formes per d'un grup i d'un equip. I, evidentment, si hi has de dir algo, ho dius a les sessions que tens intern. Els hi hagués agradat tenir impos als consellers,	281.75	145.79	0.060	797.79	1956.70	3187.13	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-062::és a dir::84	sessio-01	pa-062	és a dir	discurs	clips/pa-062__s-a-dir__973.65.wav	B-triple-token-baix	0.7665	que ells donaven, és a dir, que s'instaureix entre el món polític i el món empresarial un diàleg...	Els polítics a proposar els idees o a seguir les idees que ens donaven, és a dir, que si ens taures entre el món polític i el món empresarial, un diàleg a través de la Canada.	235.54	125.56	0.080	658.98	1618.07	2518.15	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-027::perquè::85	sessio-01	pa-027	perquè	discurs	clips/pa-027__perqu__8.81.wav	B-triple-token-baix	0.7631	I ho recordo perquè no crec que era la ràdio, no sé si havia televisió en aquest moment.	Jo recordo, perquè no crec que era la radio. Necessitvié televisió en aquest moment. En el consell aquell puntia a l'autodidolució,	215.11	122.12	0.060	434.10	1329.92	2358.98	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-059::tirar endavant::86	sessio-01	pa-059	tirar endavant	lèxic	clips/pa-059__tirar-endavant__49.77.wav	B-triple-token-baix	0.7573	per fer les decisions com per poder tirar endavant amb tot el que era la justícia,	majós d'edat per poder agafar certes decisions com per poder tirar endavant amb tot el que era la justícia, L'immigració teníem ben clar que no volien que ens continuessin dictant	226.38	146.70	0.100	591.97	1475.80	2775.32	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-065::doncs::87	sessio-01	pa-065	doncs	discurs	clips/pa-065__doncs__157.49.wav	B-triple-token-baix	0.7556	i quan hi ha amor, doncs Déu, avi, tenen tots els nostres cors.	però els pedres viben som los altres badícesos. I quan hi ha morts, doncs deu, habiten dins les nostres coses. I jo no ho n'important és que els altres doncs	264.81	122.35	0.080	254.66	1619.66	2731.29	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-058::vull dir::88	sessio-01	pa-058	vull dir	discurs	clips/pa-058__vull-dir__975.13.wav	B-triple-token-baix	0.7520	i demitots que gràcies a Déu que vull dir a l'Adri.	fent la servir i tots diguem, personalment, m'ho han dit a mi, tots, de que gràcies a Déu que vull dir a l'Adria. ens havíem sentit dir que, bueno, de que nosaltres naem,	261.73	91.29	0.080	425.18	1573.67	2628.97	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-021::vull dir::89	sessio-01	pa-021	vull dir	discurs	clips/pa-021__vull-dir__314.29.wav	B-triple-token-baix	0.7440	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	Però en aquell moment no es viuen tan clar, això. I nosaltres, malgrat de que no vull dir de que no vulguessin de cap manera, no? Lo que passa és que, evidentment, el poble ens havia mandatat	226.92	139.06	0.060	453.62	902.78	3100.86	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-037::diguem::90	sessio-01	pa-037	diguem	discurs	clips/pa-037__diguem__469.77.wav	B-triple-token-baix	0.7388	Bé, marxar. Una cosa que em va satisfir molt va ser que vaig fer desíndic, diguem-ho així, durant una hora o més.	Fins el 10 que m'emporto això i fins el 10 que ja vam marxar. Una cosa que em va ser desfem molt, molt, va ser que vaig fer descèndic, diguem-ho, sis, durant més o ara o una hora. Vaig depender de llunyament al cèndig farràs,	242.06	188.40	0.100				confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-019::a nivell::56	sessio-02	pa-019	a nivell	discurs	clips/pa-019__a-nivell__122.25.wav	A-triple-token-fort	0.9056	la Constitució és amb qualsevol tema que entrés a nivell de comissions.	No sóc la mena de la Constitució, som quan sou el tema que entres a nivell d'acommissions. I això va provocar una dinàmica molt intensiva,	175.07	176.29	0.060	383.80	2110.96	2848.96	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-034::a veure::42	sessio-02	pa-034	a veure	discurs	clips/pa-034__a-veure__94.05.wav	A-triple-token-fort	0.9578	Em va venir a veure, perquè, clar, ja sabia de començar a preparar,	Fins que el senyor Josep Casal de Casaga va això. Em va venir a veure, perquè clar, ja s'havia de començar a preparar avui de les candidatures.	182.92	146.92	0.080	766.15	1450.75	3113.69	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-006::aleshores::118	sessio-02	pa-006	aleshores	discurs	clips/pa-006__aleshores__513.25.wav	B-triple-token-baix	0.5916	Aleshores era molt fàcil agafar i aprofitar la força d'aigua baixant per l'entrada.	On hi ha un riu amb bastant desniveï i un cert quantitat de cavallau que passa a pomixopopla. Aleshores, era molt fàcil a agafar i aprofitar la força de l'aigua a l'aixant per l'entrada paraparalto del mou i, que diria, és la roda de l'aix,	108.91	36.05	0.100	1567.02	2587.02	3187.61	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-014::aviam::291	sessio-02	pa-014	aviam	discurs	clips/pa-014__aviam__875.45.wav	C-dos-models	0.1944	d'escoltar una cosa, es diu, escoteu, aviam. Imagineu-vos que les merdes apareixen. Què passa amb el contrapàs? Es deixarà de ballar.	Va dir, és que a protestar els i vam anar a fer una cosa, i vam dir escoltar-ho, aviam. Imaginau-se que les mardes apareix. Què passa amb el contrapass? Has deixat de ballar?	121.39	27.71	0.080	658.24	1627.67	2437.73	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-066::bueno::75	sessio-02	pa-066	bueno	discurs	clips/pa-066__bueno__357.23.wav	A-triple-token-fort	0.8366	de la perifèria, i, bueno, jo recordo que he passat...	per poder donar servei als clients que venien de la perifèria. I, bueno, jo recordo que he passat, si no tota la nit,	245.16	97.19	0.080	368.86	597.75	2204.49	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-004::bé::30	sessio-02	pa-004	bé	discurs	clips/pa-004__b__319.61.wav	A-triple-token-fort	0.9828	més o menys està bé allà i després...	més o menys, està bé allà. I després tenim també el molí comunal de senyora de l'òria,	288.82	185.63	0.530	236.30	1989.86	2971.38	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-010::clar::24	sessio-02	pa-010	clar	discurs	clips/pa-010__clar__334.85.wav	A-triple-token-fort	0.9866	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	Ã©s dir, topÃ²nims que semblen transperents, no ho sÃ³n tant. us repuserÃ© un parell d'exemples i ho veureu mÃ©s clar.	118.85	143.31	0.060	499.53	1825.84	3431.68	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-041::crec::21	sessio-02	pa-041	crec	morfosintaxi	clips/pa-041__crec__56.25.wav	A-triple-token-fort	0.9905	als pares jo crec que van fer una feina molt important amb aquells primers anys de l'escola en d'Orrana.	de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les elecc Els pares jo crec que van fer una feina molt important amb aquells primers anys a l'escola d'Andorran. Jo crec que es deu els pares la divulgació	269.74	137.42	0.040	770.52	1433.03	2592.38	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-040::de fet::43	sessio-02	pa-040	de fet	discurs	clips/pa-040__de-fet__70.17.wav	A-triple-token-fort	0.9576	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	amb la malli bret de la Constitució que ho trobava. I de fet, el meu pare, el portava sempre sobre que hi pint sempre el portava bé.	179.13	99.23	0.040	486.38	1338.61	2631.94	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-019::diguem::51	sessio-02	pa-019	diguem	discurs	clips/pa-019__diguem__109.25.wav	A-triple-token-fort	0.9362	I va haver una certa, diguem-ne, un bon feeling, no?	Jo crec que es va generar una certa complicitat entre els consellers, no? I m'ha veu una certa, diguem, d'un bon filling, no? que va provocar que s'entres amb una dinàmica d'avançar.	146.29	160.32	0.100				confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-017::doncs::57	sessio-02	pa-017	doncs	discurs	clips/pa-017__doncs__459.25.wav	A-triple-token-fort	0.9049	I perfecte, doncs a partir d'aquí, sempre ja que et dubte de sapiguer,	potser ja està en en contra i perfecte. Doncs a partir d'aquí, sempre hi ha que dubte de saber que és que el que nosaltres han pogut sentir d'aquests reunions	203.86	58.91	0.100	535.38	1090.69	2887.19	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-003::ensenyança::314	sessio-02	pa-003	ensenyança	lèxic	clips/pa-003__ensenyan-a__279.69.wav	C-dos-models		que s'integre amb una primera ensenyança de sistemes educatius estrangers?		308.83	44.35	0.050	656.50	854.82	1855.85	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-045::evidentment::31	sessio-02	pa-045	evidentment	discurs	clips/pa-045__evidentment__290.13.wav	A-triple-token-fort	0.9812	que tenen senyor o, evidentment, en una sèrie de condicions molt clares, d'un nombre de persones.	Però crec que amb llocs on les condicions permetin ensenyar-ho, evidentment, a una sèrie de condicions molt clares, per dir nombra de persones, a horaris de visita,	306.76	109.84	0.040	539.26	1404.56	2075.75	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-037::llavors::98	sessio-02	pa-037	llavors	discurs	clips/pa-037__llavors__92.53.wav	B-triple-token-baix	0.7037	I jo era així, i a bon dia ja, des de llavors, encara cada any es fa el dia 2 de febrer, fem un dinar o un trobar de tot el constituent.	O menys jo, jo era així. I ja des de llavors, encara cada any, es fa el dia 2 de febrer, fem un dinar o un sopar de trobar des dels totes del cotxe continuant.	237.28	143.75	0.060	474.31	967.96	2622.85	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-014::o sigui::102	sessio-02	pa-014	o sigui	discurs	clips/pa-014__o-sigui__658.45.wav	B-triple-token-baix	0.6862	És a dir, els homes amb barretina, o sigui, amb pantolons de ballut, negres, faixa i barretina vermella, camisa blanca, mitjons blancs i bigatans.	van expulsar-ho, i a partir d'aquell moment ja es vaya vestits d'un vestiment a Catalunya. És a dir, els homes amb baratina, o sigui, amb pantolons de barit, negras... faixa i baratina vermellà, que mísa blanca, mitjons blancs i vigatanes.	130.48	69.78	0.080	467.77	1866.05	2369.32	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-058::perquè::38	sessio-02	pa-058	perquè	discurs	clips/pa-058__perqu__91.09.wav	A-triple-token-fort	0.9674	i resòria, perquè no podíem acabar mai de decidir que una cosa...	autogestionar internament, però això era una il·lusió i risòria, perquè no podia m'acabar mai de decidir	263.29	52.72	0.080	797.36	1961.25	3076.75	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-038::reformeta::36	sessio-02	pa-038	reformeta	lèxic	clips/pa-038__reformeta__1821.69.wav	A-triple-token-fort	0.9688	o com vulguis, segueixen contentat amb una reformeta.	ho diu a Cubulguis, s'haguessin acontentat amb una reformeta, no? que hi havia diferents interessos aquí,	201.34	35.56	0.090	520.45	1443.84	3004.74	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-056::tirar endavant::55	sessio-02	pa-056	tirar endavant	lèxic	clips/pa-056__tirar-endavant__185.53.wav	A-triple-token-fort	0.9073	i estem d'acord? Doncs vam tirar endavant.	estem d'acord, doncs vam tirar endavant, es va fer la comissió constituent i endavant, i així es va anar.	110.03	18.35	0.090	1300.85	2292.14	3951.58	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-038::vull dir::29	sessio-02	pa-038	vull dir	discurs	clips/pa-038__vull-dir__1576.57.wav	A-triple-token-fort	0.9837	Ja et dic que els agents exteriors siguin ja no vull dir quins, però...	Llavors, ja et dic, els agents exteriors sigui, ja no vull dir quins, però ex polítics, el que sigui, minaven amb molta gent, a mi.	217.16	80.76	0.180	434.84	1598.88	2343.74	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-008::és a dir::131	sessio-02	pa-008	és a dir	discurs	clips/pa-008__s-a-dir__1110.25.wav	B-triple-token-baix	0.4791	a la festa o fer planter, no? És a dir, quan els més grans s'hi implicen.	Aquesta ser un pas important perquè, d'aquesta manera, el que aconseguiria era preservar la festa o fer plante, és a dir, quan els més grans s'han simplegat, que anessin ampeñent per sota.	167.05	118.17	0.070	337.67	2217.54	2776.08	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-025::crec::s05-1	sessio-05	pa-025	crec	morfosintaxi	clips/pa-025__crec__4.25.wav	A-triple-token-fort	0.9899	sí	sí	255.46	35.88	0.120	296.47	1764.92	2829.07	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-040::crec::s05-2	sessio-05	pa-040	crec	morfosintaxi	clips/pa-040__crec__4.37.wav	A-triple-token-fort	0.9886	sí	sí	237.46	80.80	0.100	1069.80	2117.13	3343.08	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-048::crec::s05-3	sessio-05	pa-048	crec	morfosintaxi	clips/pa-048__crec__110.97.wav	A-triple-token-fort	0.9866	sí	sí	211.25	157.94	0.100	498.93	1479.69	2856.93	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-056::crec::s05-4	sessio-05	pa-056	crec	morfosintaxi	clips/pa-056__crec__347.05.wav	A-triple-token-fort	0.9856	sí	sí	273.02	141.35	0.080	577.22	1608.82	2535.89	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-064::crec::s05-5	sessio-05	pa-064	crec	morfosintaxi	clips/pa-064__crec__1335.77.wav	A-triple-token-fort	0.9844	sí	sí	286.12	64.00	0.160	732.28	2105.36	3105.72	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-056::clar::s05-6	sessio-05	pa-056	clar	discurs	clips/pa-056__clar__62.45.wav	A-triple-token-fort	0.9842	sí	sí	140.81	154.96	0.040	456.51	1260.10	2022.72	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-059::clar::s05-7	sessio-05	pa-059	clar	discurs	clips/pa-059__clar__36.61.wav	A-triple-token-fort	0.9810	sí	sí	221.17	121.41	0.080	681.47	2162.30	2995.95	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-017::clar::s05-8	sessio-05	pa-017	clar	discurs	clips/pa-017__clar__34.45.wav	A-triple-token-fort	0.9757	sí	sí	211.76	124.90	0.080	877.05	1934.95	3178.95	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-030::crec::s05-9	sessio-05	pa-030	crec	morfosintaxi	clips/pa-030__crec__346.45.wav	A-triple-token-fort	0.9742	sí	sí	273.60	172.02	0.080	1060.38	2250.43	3446.05	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-049::crec::s05-10	sessio-05	pa-049	crec	morfosintaxi	clips/pa-049__crec__371.85.wav	A-triple-token-fort	0.9717	sí	sí	252.50	78.61	0.060	344.98	2109.70	3272.87	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
