id_persona	forma	recompte_small	recompte_base	consens_dos_asr	observacio
pa-008	diguem	1	1	sí	coincidència textual entre dos passades
pa-008	crec	0	0	no	revisar contra àudio
pa-008	bueno	1	0	no	revisar contra àudio
pa-008	clar	1	1	sí	coincidència textual entre dos passades
pa-008	vull dir	0	0	no	revisar contra àudio
pa-008	o sigui	0	0	no	revisar contra àudio
pa-008	llavors	0	0	no	revisar contra àudio
pa-008	a veure	2	1	sí	coincidència textual entre dos passades
pa-008	aviam	0	0	no	revisar contra àudio
pa-008	doncs	16	19	sí	coincidència textual entre dos passades
pa-008	perquè	21	16	sí	coincidència textual entre dos passades
pa-008	a nivell	0	0	no	revisar contra àudio
pa-008	tirar endavant	0	0	no	revisar contra àudio
pa-008	ensenyança	0	0	no	revisar contra àudio
pa-008	reformeta	0	0	no	revisar contra àudio
pa-009	bé	2	6	sí	coincidència textual entre dos passades
pa-009	de fet	0	0	no	revisar contra àudio
pa-009	és a dir	0	0	no	revisar contra àudio
pa-009	aleshores	0	0	no	revisar contra àudio
pa-009	evidentment	1	1	sí	coincidència textual entre dos passades
pa-009	diguem	1	2	sí	coincidència textual entre dos passades
pa-009	crec	0	0	no	revisar contra àudio
pa-009	bueno	0	0	no	revisar contra àudio
pa-009	clar	1	1	sí	coincidència textual entre dos passades
pa-009	vull dir	0	0	no	revisar contra àudio
pa-009	o sigui	2	2	sí	coincidència textual entre dos passades
pa-009	llavors	1	0	no	revisar contra àudio
pa-009	a veure	0	2	no	revisar contra àudio
pa-009	aviam	0	0	no	revisar contra àudio
pa-009	doncs	14	14	sí	coincidència textual entre dos passades
pa-009	perquè	7	6	sí	coincidència textual entre dos passades
pa-009	a nivell	0	0	no	revisar contra àudio
pa-009	tirar endavant	0	0	no	revisar contra àudio
pa-009	ensenyança	0	0	no	revisar contra àudio
pa-009	reformeta	0	0	no	revisar contra àudio
pa-010	bé	3	2	sí	coincidència textual entre dos passades
pa-010	de fet	3	2	sí	coincidència textual entre dos passades
pa-010	és a dir	10	4	sí	coincidència textual entre dos passades
pa-010	aleshores	0	0	no	revisar contra àudio
pa-010	evidentment	0	0	no	revisar contra àudio
pa-010	diguem	0	0	no	revisar contra àudio
pa-010	crec	1	1	sí	coincidència textual entre dos passades
pa-010	bueno	0	0	no	revisar contra àudio
pa-010	clar	5	5	sí	coincidència textual entre dos passades
pa-010	vull dir	0	0	no	revisar contra àudio
pa-010	o sigui	0	0	no	revisar contra àudio
pa-010	llavors	5	6	sí	coincidència textual entre dos passades
pa-010	a veure	0	0	no	revisar contra àudio
pa-010	aviam	0	0	no	revisar contra àudio
pa-010	doncs	7	10	sí	coincidència textual entre dos passades
pa-010	perquè	16	16	sí	coincidència textual entre dos passades
pa-010	a nivell	0	0	no	revisar contra àudio
pa-010	tirar endavant	0	0	no	revisar contra àudio
pa-010	ensenyança	0	0	no	revisar contra àudio
pa-010	reformeta	0	0	no	revisar contra àudio
pa-011	bé	2	3	sí	coincidència textual entre dos passades
pa-011	de fet	1	1	sí	coincidència textual entre dos passades
pa-011	és a dir	1	1	sí	coincidència textual entre dos passades
pa-011	aleshores	4	0	no	revisar contra àudio
pa-011	evidentment	1	0	no	revisar contra àudio
pa-011	diguem	0	1	no	revisar contra àudio
pa-011	crec	0	0	no	revisar contra àudio
pa-011	bueno	0	0	no	revisar contra àudio
pa-011	clar	0	0	no	revisar contra àudio
pa-011	vull dir	0	0	no	revisar contra àudio
pa-011	o sigui	0	0	no	revisar contra àudio
pa-011	llavors	0	0	no	revisar contra àudio
pa-011	a veure	1	1	sí	coincidència textual entre dos passades
pa-011	aviam	0	0	no	revisar contra àudio
pa-011	doncs	10	18	sí	coincidència textual entre dos passades
pa-011	perquè	8	7	sí	coincidència textual entre dos passades
pa-011	a nivell	0	0	no	revisar contra àudio
pa-011	tirar endavant	0	0	no	revisar contra àudio
pa-011	ensenyança	0	0	no	revisar contra àudio
pa-011	reformeta	0	0	no	revisar contra àudio
pa-012	bé	12	2	sí	coincidència textual entre dos passades
pa-012	de fet	0	2	no	revisar contra àudio
pa-012	és a dir	0	0	no	revisar contra àudio
pa-012	aleshores	3	0	no	revisar contra àudio
pa-012	evidentment	0	0	no	revisar contra àudio
pa-012	diguem	0	0	no	revisar contra àudio
pa-012	crec	0	0	no	revisar contra àudio
pa-012	bueno	0	0	no	revisar contra àudio
pa-012	clar	0	1	no	revisar contra àudio
pa-012	vull dir	0	0	no	revisar contra àudio
pa-012	o sigui	0	0	no	revisar contra àudio
pa-012	llavors	0	0	no	revisar contra àudio
pa-012	a veure	0	0	no	revisar contra àudio
pa-012	aviam	0	2	no	revisar contra àudio
pa-012	doncs	2	5	sí	coincidència textual entre dos passades
pa-012	perquè	2	5	sí	coincidència textual entre dos passades
pa-012	a nivell	0	0	no	revisar contra àudio
pa-012	tirar endavant	0	0	no	revisar contra àudio
pa-012	ensenyança	0	0	no	revisar contra àudio
pa-012	reformeta	0	0	no	revisar contra àudio
pa-013	bé	1	0	no	revisar contra àudio
pa-013	de fet	0	0	no	revisar contra àudio
pa-013	és a dir	2	2	sí	coincidència textual entre dos passades
pa-013	aleshores	0	0	no	revisar contra àudio
pa-013	evidentment	1	1	sí	coincidència textual entre dos passades
pa-013	diguem	0	0	no	revisar contra àudio
pa-013	crec	0	0	no	revisar contra àudio
pa-013	bueno	0	0	no	revisar contra àudio
pa-013	clar	0	0	no	revisar contra àudio
pa-013	vull dir	0	0	no	revisar contra àudio
pa-013	o sigui	0	0	no	revisar contra àudio
pa-013	llavors	0	0	no	revisar contra àudio
pa-013	a veure	0	1	no	revisar contra àudio
pa-013	aviam	0	0	no	revisar contra àudio
pa-013	doncs	6	23	sí	coincidència textual entre dos passades
pa-013	perquè	3	4	sí	coincidència textual entre dos passades
pa-013	a nivell	0	0	no	revisar contra àudio
pa-013	tirar endavant	0	0	no	revisar contra àudio
pa-013	ensenyança	0	0	no	revisar contra àudio
pa-013	reformeta	0	0	no	revisar contra àudio
pa-014	bé	8	6	sí	coincidència textual entre dos passades
pa-014	de fet	0	0	no	revisar contra àudio
pa-014	és a dir	10	5	sí	coincidència textual entre dos passades
pa-014	aleshores	2	0	no	revisar contra àudio
pa-014	evidentment	7	5	sí	coincidència textual entre dos passades
pa-014	diguem	0	0	no	revisar contra àudio
pa-014	crec	1	1	sí	coincidència textual entre dos passades
pa-014	bueno	0	0	no	revisar contra àudio
pa-014	clar	1	1	sí	coincidència textual entre dos passades
pa-014	vull dir	8	2	sí	coincidència textual entre dos passades
pa-014	o sigui	1	1	sí	coincidència textual entre dos passades
pa-014	llavors	4	1	sí	coincidència textual entre dos passades
pa-014	a veure	1	0	no	revisar contra àudio
pa-014	aviam	1	1	sí	coincidència textual entre dos passades
pa-014	doncs	10	14	sí	coincidència textual entre dos passades
pa-014	perquè	11	11	sí	coincidència textual entre dos passades
pa-014	a nivell	0	0	no	revisar contra àudio
pa-014	tirar endavant	0	0	no	revisar contra àudio
pa-014	ensenyança	0	0	no	revisar contra àudio
pa-014	reformeta	0	0	no	revisar contra àudio
pa-015	bé	3	3	sí	coincidència textual entre dos passades
pa-015	de fet	0	0	no	revisar contra àudio
pa-015	és a dir	0	0	no	revisar contra àudio
pa-015	aleshores	0	0	no	revisar contra àudio
pa-015	evidentment	0	0	no	revisar contra àudio
pa-015	diguem	0	0	no	revisar contra àudio
pa-015	crec	0	0	no	revisar contra àudio
pa-015	bueno	0	0	no	revisar contra àudio
pa-015	clar	0	0	no	revisar contra àudio
pa-015	vull dir	0	0	no	revisar contra àudio
pa-015	o sigui	1	0	no	revisar contra àudio
pa-015	llavors	1	0	no	revisar contra àudio
pa-015	a veure	0	0	no	revisar contra àudio
pa-015	aviam	0	0	no	revisar contra àudio
pa-015	doncs	7	4	sí	coincidència textual entre dos passades
pa-015	perquè	2	1	sí	coincidència textual entre dos passades
pa-015	a nivell	0	0	no	revisar contra àudio
pa-015	tirar endavant	0	0	no	revisar contra àudio
pa-015	ensenyança	0	0	no	revisar contra àudio
pa-015	reformeta	0	0	no	revisar contra àudio
pa-016	bé	5	3	sí	coincidència textual entre dos passades
pa-016	de fet	2	2	sí	coincidència textual entre dos passades
pa-016	és a dir	2	0	no	revisar contra àudio
pa-016	aleshores	0	0	no	revisar contra àudio
pa-016	evidentment	3	3	sí	coincidència textual entre dos passades
pa-016	diguem	0	0	no	revisar contra àudio
pa-016	crec	1	0	no	revisar contra àudio
pa-016	bueno	4	5	sí	coincidència textual entre dos passades
pa-016	clar	12	13	sí	coincidència textual entre dos passades
pa-016	vull dir	2	2	sí	coincidència textual entre dos passades
pa-016	o sigui	2	0	no	revisar contra àudio
pa-016	llavors	10	3	sí	coincidència textual entre dos passades
pa-016	a veure	4	2	sí	coincidència textual entre dos passades
pa-016	aviam	1	0	no	revisar contra àudio
pa-016	doncs	10	19	sí	coincidència textual entre dos passades
pa-016	perquè	18	17	sí	coincidència textual entre dos passades
pa-016	a nivell	4	4	sí	coincidència textual entre dos passades
pa-016	tirar endavant	0	0	no	revisar contra àudio
pa-016	ensenyança	0	0	no	revisar contra àudio
pa-016	reformeta	0	0	no	revisar contra àudio
pa-017	bé	4	3	sí	coincidència textual entre dos passades
pa-017	de fet	0	0	no	revisar contra àudio
pa-017	és a dir	1	2	sí	coincidència textual entre dos passades
pa-017	aleshores	0	0	no	revisar contra àudio
pa-017	evidentment	3	2	sí	coincidència textual entre dos passades
pa-017	diguem	0	0	no	revisar contra àudio
pa-017	crec	0	0	no	revisar contra àudio
pa-017	bueno	2	6	sí	coincidència textual entre dos passades
pa-017	clar	5	5	sí	coincidència textual entre dos passades
pa-017	vull dir	5	5	sí	coincidència textual entre dos passades
pa-017	o sigui	0	0	no	revisar contra àudio
pa-017	llavors	2	3	sí	coincidència textual entre dos passades
pa-017	a veure	0	1	no	revisar contra àudio
pa-017	aviam	0	1	no	revisar contra àudio
pa-017	doncs	3	5	sí	coincidència textual entre dos passades
pa-017	perquè	23	23	sí	coincidència textual entre dos passades
pa-017	a nivell	9	9	sí	coincidència textual entre dos passades
pa-017	tirar endavant	2	2	sí	coincidència textual entre dos passades
pa-017	ensenyança	0	0	no	revisar contra àudio
pa-017	reformeta	0	0	no	revisar contra àudio
pa-018	bé	6	13	sí	coincidència textual entre dos passades
pa-018	de fet	0	0	no	revisar contra àudio
pa-018	és a dir	3	3	sí	coincidència textual entre dos passades
pa-018	aleshores	0	0	no	revisar contra àudio
pa-018	evidentment	0	0	no	revisar contra àudio
pa-018	diguem	2	1	sí	coincidència textual entre dos passades
pa-018	crec	15	15	sí	coincidència textual entre dos passades
pa-018	bueno	49	30	sí	coincidència textual entre dos passades
pa-018	clar	12	10	sí	coincidència textual entre dos passades
pa-018	vull dir	0	1	no	revisar contra àudio
pa-018	o sigui	0	0	no	revisar contra àudio
pa-018	llavors	2	2	sí	coincidència textual entre dos passades
pa-018	a veure	4	4	sí	coincidència textual entre dos passades
pa-018	aviam	0	1	no	revisar contra àudio
pa-018	doncs	34	4	sí	coincidència textual entre dos passades
pa-018	perquè	49	45	sí	coincidència textual entre dos passades
pa-018	a nivell	15	15	sí	coincidència textual entre dos passades
pa-018	tirar endavant	0	0	no	revisar contra àudio
pa-018	ensenyança	0	0	no	revisar contra àudio
pa-018	reformeta	0	0	no	revisar contra àudio
pa-019	bé	6	6	sí	coincidència textual entre dos passades
pa-019	de fet	0	0	no	revisar contra àudio
pa-019	és a dir	6	1	sí	coincidència textual entre dos passades
pa-019	aleshores	0	0	no	revisar contra àudio
pa-019	evidentment	4	4	sí	coincidència textual entre dos passades
pa-019	diguem	4	3	sí	coincidència textual entre dos passades
pa-019	crec	23	22	sí	coincidència textual entre dos passades
pa-019	bueno	3	1	sí	coincidència textual entre dos passades
pa-019	clar	1	0	no	revisar contra àudio
pa-019	vull dir	0	0	no	revisar contra àudio
pa-019	o sigui	0	0	no	revisar contra àudio
pa-019	llavors	1	1	sí	coincidència textual entre dos passades
pa-019	a veure	0	0	no	revisar contra àudio
pa-019	aviam	0	1	no	revisar contra àudio
pa-019	doncs	1	11	sí	coincidència textual entre dos passades
pa-019	perquè	15	12	sí	coincidència textual entre dos passades
pa-019	a nivell	3	4	sí	coincidència textual entre dos passades
pa-019	tirar endavant	0	0	no	revisar contra àudio
pa-019	ensenyança	0	0	no	revisar contra àudio
pa-019	reformeta	0	0	no	revisar contra àudio
pa-020	bé	24	38	sí	coincidència textual entre dos passades
pa-020	de fet	0	0	no	revisar contra àudio
pa-020	és a dir	0	1	no	revisar contra àudio
pa-020	aleshores	0	0	no	revisar contra àudio
pa-020	evidentment	7	6	sí	coincidència textual entre dos passades
pa-020	diguem	1	0	no	revisar contra àudio
pa-020	crec	0	2	no	revisar contra àudio
pa-020	bueno	22	17	sí	coincidència textual entre dos passades
pa-020	clar	29	28	sí	coincidència textual entre dos passades
pa-020	vull dir	12	6	sí	coincidència textual entre dos passades
pa-020	o sigui	0	0	no	revisar contra àudio
pa-020	llavors	0	0	no	revisar contra àudio
pa-020	a veure	0	2	no	revisar contra àudio
pa-020	aviam	2	2	sí	coincidència textual entre dos passades
pa-020	doncs	3	0	no	revisar contra àudio
pa-020	perquè	22	20	sí	coincidència textual entre dos passades
pa-020	a nivell	2	2	sí	coincidència textual entre dos passades
pa-020	tirar endavant	5	4	sí	coincidència textual entre dos passades
pa-020	ensenyança	0	0	no	revisar contra àudio
pa-020	reformeta	0	0	no	revisar contra àudio
pa-021	bé	16	13	sí	coincidència textual entre dos passades
pa-021	de fet	0	0	no	revisar contra àudio
pa-021	és a dir	10	9	sí	coincidència textual entre dos passades
pa-021	aleshores	2	2	sí	coincidència textual entre dos passades
pa-021	evidentment	6	6	sí	coincidència textual entre dos passades
pa-021	diguem	0	0	no	revisar contra àudio
pa-021	crec	5	5	sí	coincidència textual entre dos passades
pa-021	bueno	11	9	sí	coincidència textual entre dos passades
pa-021	clar	9	9	sí	coincidència textual entre dos passades
pa-021	vull dir	2	2	sí	coincidència textual entre dos passades
pa-021	o sigui	0	0	no	revisar contra àudio
pa-021	llavors	0	0	no	revisar contra àudio
pa-021	a veure	4	1	sí	coincidència textual entre dos passades
pa-021	aviam	0	0	no	revisar contra àudio
pa-021	doncs	26	24	sí	coincidència textual entre dos passades
pa-021	perquè	20	20	sí	coincidència textual entre dos passades
pa-021	a nivell	0	1	no	revisar contra àudio
pa-021	tirar endavant	0	0	no	revisar contra àudio
pa-021	ensenyança	0	0	no	revisar contra àudio
pa-021	reformeta	0	0	no	revisar contra àudio
pa-022	bé	4	3	sí	coincidència textual entre dos passades
pa-022	de fet	1	1	sí	coincidència textual entre dos passades
pa-022	és a dir	1	1	sí	coincidència textual entre dos passades
pa-022	aleshores	0	0	no	revisar contra àudio
pa-022	evidentment	2	3	sí	coincidència textual entre dos passades
pa-022	diguem	1	0	no	revisar contra àudio
pa-022	crec	6	5	sí	coincidència textual entre dos passades
pa-022	bueno	12	8	sí	coincidència textual entre dos passades
pa-022	clar	2	2	sí	coincidència textual entre dos passades
pa-022	vull dir	4	5	sí	coincidència textual entre dos passades
pa-022	o sigui	1	1	sí	coincidència textual entre dos passades
pa-022	llavors	6	4	sí	coincidència textual entre dos passades
pa-022	a veure	2	1	sí	coincidència textual entre dos passades
pa-022	aviam	0	0	no	revisar contra àudio
pa-022	doncs	3	0	no	revisar contra àudio
pa-022	perquè	17	16	sí	coincidència textual entre dos passades
pa-022	a nivell	0	0	no	revisar contra àudio
pa-022	tirar endavant	0	0	no	revisar contra àudio
pa-022	ensenyança	0	0	no	revisar contra àudio
pa-022	reformeta	1	1	sí	coincidència textual entre dos passades
pa-023	bé	2	3	sí	coincidència textual entre dos passades
pa-023	de fet	2	1	sí	coincidència textual entre dos passades
pa-023	és a dir	4	3	sí	coincidència textual entre dos passades
pa-023	aleshores	0	2	no	revisar contra àudio
pa-023	evidentment	0	0	no	revisar contra àudio
pa-023	diguem	1	0	no	revisar contra àudio
pa-023	crec	4	3	sí	coincidència textual entre dos passades
pa-023	bueno	3	1	sí	coincidència textual entre dos passades
pa-023	clar	0	0	no	revisar contra àudio
pa-023	vull dir	20	8	sí	coincidència textual entre dos passades
pa-023	o sigui	0	0	no	revisar contra àudio
pa-023	llavors	4	1	sí	coincidència textual entre dos passades
pa-023	a veure	3	1	sí	coincidència textual entre dos passades
pa-023	aviam	0	0	no	revisar contra àudio
pa-023	doncs	0	1	no	revisar contra àudio
pa-023	perquè	11	8	sí	coincidència textual entre dos passades
pa-023	a nivell	3	2	sí	coincidència textual entre dos passades
pa-023	tirar endavant	0	0	no	revisar contra àudio
pa-023	ensenyança	0	0	no	revisar contra àudio
pa-023	reformeta	0	0	no	revisar contra àudio
pa-025	bé	3	12	sí	coincidència textual entre dos passades
pa-025	de fet	2	2	sí	coincidència textual entre dos passades
pa-025	és a dir	7	6	sí	coincidència textual entre dos passades
pa-025	aleshores	5	0	no	revisar contra àudio
pa-025	evidentment	4	3	sí	coincidència textual entre dos passades
pa-025	diguem	3	2	sí	coincidència textual entre dos passades
pa-025	crec	13	13	sí	coincidència textual entre dos passades
pa-025	bueno	8	8	sí	coincidència textual entre dos passades
pa-025	clar	9	6	sí	coincidència textual entre dos passades
pa-025	vull dir	1	1	sí	coincidència textual entre dos passades
pa-025	o sigui	1	0	no	revisar contra àudio
pa-025	llavors	0	0	no	revisar contra àudio
pa-025	a veure	4	6	sí	coincidència textual entre dos passades
pa-025	aviam	0	1	no	revisar contra àudio
pa-025	doncs	13	20	sí	coincidència textual entre dos passades
pa-025	perquè	39	35	sí	coincidència textual entre dos passades
pa-025	a nivell	0	0	no	revisar contra àudio
pa-025	tirar endavant	0	0	no	revisar contra àudio
pa-025	ensenyança	0	0	no	revisar contra àudio
pa-025	reformeta	1	1	sí	coincidència textual entre dos passades
pa-026	bé	23	20	sí	coincidència textual entre dos passades
pa-026	de fet	0	0	no	revisar contra àudio
pa-026	és a dir	1	1	sí	coincidència textual entre dos passades
pa-026	aleshores	0	0	no	revisar contra àudio
pa-026	evidentment	1	1	sí	coincidència textual entre dos passades
pa-026	diguem	0	0	no	revisar contra àudio
pa-026	crec	0	3	no	revisar contra àudio
pa-026	bueno	24	27	sí	coincidència textual entre dos passades
pa-026	clar	10	9	sí	coincidència textual entre dos passades
pa-026	vull dir	2	1	sí	coincidència textual entre dos passades
pa-026	o sigui	4	1	sí	coincidència textual entre dos passades
pa-026	llavors	15	3	sí	coincidència textual entre dos passades
pa-026	a veure	8	8	sí	coincidència textual entre dos passades
pa-026	aviam	0	0	no	revisar contra àudio
pa-026	doncs	11	10	sí	coincidència textual entre dos passades
pa-026	perquè	33	29	sí	coincidència textual entre dos passades
pa-026	a nivell	3	3	sí	coincidència textual entre dos passades
pa-026	tirar endavant	0	0	no	revisar contra àudio
pa-026	ensenyança	0	0	no	revisar contra àudio
pa-026	reformeta	1	1	sí	coincidència textual entre dos passades
pa-027	bé	6	2	sí	coincidència textual entre dos passades
pa-027	de fet	3	3	sí	coincidència textual entre dos passades
pa-027	és a dir	6	1	sí	coincidència textual entre dos passades
pa-027	aleshores	0	0	no	revisar contra àudio
pa-027	evidentment	1	1	sí	coincidència textual entre dos passades
pa-027	diguem	1	1	sí	coincidència textual entre dos passades
pa-027	crec	16	14	sí	coincidència textual entre dos passades
pa-027	bueno	7	4	sí	coincidència textual entre dos passades
pa-027	clar	11	8	sí	coincidència textual entre dos passades
pa-027	vull dir	5	2	sí	coincidència textual entre dos passades
pa-027	o sigui	1	0	no	revisar contra àudio
pa-027	llavors	8	5	sí	coincidència textual entre dos passades
pa-027	a veure	0	2	no	revisar contra àudio
pa-027	aviam	0	0	no	revisar contra àudio
pa-027	doncs	10	12	sí	coincidència textual entre dos passades
pa-027	perquè	17	16	sí	coincidència textual entre dos passades
pa-027	a nivell	0	0	no	revisar contra àudio
pa-027	tirar endavant	0	0	no	revisar contra àudio
pa-027	ensenyança	0	0	no	revisar contra àudio
pa-027	reformeta	0	0	no	revisar contra àudio
pa-028	bé	3	1	sí	coincidència textual entre dos passades
pa-028	de fet	1	1	sí	coincidència textual entre dos passades
pa-028	és a dir	0	0	no	revisar contra àudio
pa-028	aleshores	0	0	no	revisar contra àudio
pa-028	evidentment	0	0	no	revisar contra àudio
pa-028	diguem	1	1	sí	coincidència textual entre dos passades
pa-028	crec	0	0	no	revisar contra àudio
pa-028	bueno	12	9	sí	coincidència textual entre dos passades
pa-028	clar	2	1	sí	coincidència textual entre dos passades
pa-028	vull dir	0	0	no	revisar contra àudio
pa-028	o sigui	0	0	no	revisar contra àudio
pa-028	llavors	3	2	sí	coincidència textual entre dos passades
pa-028	a veure	0	0	no	revisar contra àudio
pa-028	aviam	0	0	no	revisar contra àudio
pa-028	doncs	2	1	sí	coincidència textual entre dos passades
pa-028	perquè	7	5	sí	coincidència textual entre dos passades
pa-028	a nivell	0	0	no	revisar contra àudio
pa-028	tirar endavant	0	0	no	revisar contra àudio
pa-028	ensenyança	0	0	no	revisar contra àudio
pa-028	reformeta	0	0	no	revisar contra àudio
pa-029	bé	14	16	sí	coincidència textual entre dos passades
pa-029	de fet	0	0	no	revisar contra àudio
pa-029	és a dir	3	0	no	revisar contra àudio
pa-029	aleshores	0	1	no	revisar contra àudio
pa-029	evidentment	0	0	no	revisar contra àudio
pa-029	diguem	1	1	sí	coincidència textual entre dos passades
pa-029	crec	0	0	no	revisar contra àudio
pa-029	bueno	2	3	sí	coincidència textual entre dos passades
pa-029	clar	1	1	sí	coincidència textual entre dos passades
pa-029	vull dir	0	0	no	revisar contra àudio
pa-029	o sigui	2	0	no	revisar contra àudio
pa-029	llavors	8	5	sí	coincidència textual entre dos passades
pa-029	a veure	2	0	no	revisar contra àudio
pa-029	aviam	0	0	no	revisar contra àudio
pa-029	doncs	17	22	sí	coincidència textual entre dos passades
pa-029	perquè	21	16	sí	coincidència textual entre dos passades
pa-029	a nivell	4	6	sí	coincidència textual entre dos passades
pa-029	tirar endavant	1	1	sí	coincidència textual entre dos passades
pa-029	ensenyança	0	0	no	revisar contra àudio
pa-029	reformeta	0	0	no	revisar contra àudio
pa-030	bé	8	9	sí	coincidència textual entre dos passades
pa-030	de fet	0	0	no	revisar contra àudio
pa-030	és a dir	10	12	sí	coincidència textual entre dos passades
pa-030	aleshores	2	1	sí	coincidència textual entre dos passades
pa-030	evidentment	4	4	sí	coincidència textual entre dos passades
pa-030	diguem	0	1	no	revisar contra àudio
pa-030	crec	2	3	sí	coincidència textual entre dos passades
pa-030	bueno	3	5	sí	coincidència textual entre dos passades
pa-030	clar	9	7	sí	coincidència textual entre dos passades
pa-030	vull dir	1	1	sí	coincidència textual entre dos passades
pa-030	o sigui	1	0	no	revisar contra àudio
pa-030	llavors	2	0	no	revisar contra àudio
pa-030	a veure	1	4	sí	coincidència textual entre dos passades
pa-030	aviam	0	0	no	revisar contra àudio
pa-030	doncs	7	0	no	revisar contra àudio
pa-030	perquè	25	23	sí	coincidència textual entre dos passades
pa-030	a nivell	0	0	no	revisar contra àudio
pa-030	tirar endavant	1	0	no	revisar contra àudio
pa-030	ensenyança	0	0	no	revisar contra àudio
pa-030	reformeta	0	0	no	revisar contra àudio
pa-031	bé	2	6	sí	coincidència textual entre dos passades
pa-031	de fet	1	1	sí	coincidència textual entre dos passades
pa-031	és a dir	0	0	no	revisar contra àudio
