ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
31	A-triple-consens	9	pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	qa-clips/pa-009__be__557_25_561_75.txt	qa-clips-json/pa-009__b__557_25.json	sí	560.310-560.680	0.9969	0.9969	bé	i són campanes que sonen molt bé.	sí	sí	sí	0.240	0.029	0.5312	-34.14	185.08	40.09	1327.28	0.100	pendent					
32	A-triple-consens	9	pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	qa-clips/pa-009__clar__99_25_105_75.txt	qa-clips-json/pa-009__clar__99_25.json	sí	102.480-102.770	0.9195	0.9195	clar	els habitants del poble, i de pobles veïns, és clar, que hi havia el mestre campaner al poble.	sí	sí	sí	0.411	0.134	0.5154	-34.53	209.19	58.10	1370.37	0.090	pendent					
33	A-triple-consens	9	pa-009	doncs	139.25-145.75	clips/pa-009__doncs__139.25.wav	qa-clips/pa-009__doncs__139_25_145_75.txt	qa-clips-json/pa-009__doncs__139_25.json	sí	139.250-139.750	0.2017	0.2017	Doncs	Doncs com podeu veure amb aquest esquema que tenim aquí al costat, tenim les parts de la campana.	sí	sí	sí	0.150	0.044	0.5031	-34.90	224.30	83.83	1421.58	0.060	pendent					
34	A-triple-consens	9	pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	qa-clips/pa-009__evidentment__947_25_951_75.txt	qa-clips-json/pa-009__evidentment__947_25.json	sí	948.250-948.990	0.9520	0.9711	evidentment	L'hora de venir, evidentment, si era l'estiu o era l'hivern, tant cabell	sí	sí	sí	0.242	0.093	0.5402	-33.76	196.21	61.41	1216.80	0.140	pendent					
35	A-triple-consens	9	pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	qa-clips/pa-009__o-sigui__234_25_238_75.txt	qa-clips-json/pa-009__o-sigui__234_25.json	sí	236.360-236.710	0.2229	0.5901	o sigui	però dintre de la mateixa campana, o sigui, a la vora,	sí	sí	sí	0.245	0.224	0.5179	-34.59	185.23	79.59	1366.23	0.080	pendent					
36	A-triple-consens	9	pa-009	perquè	349.25-356.75	clips/pa-009__perqu__349.25.wav	qa-clips/pa-009__perque__349_25_356_75.txt	qa-clips-json/pa-009__perqu__349_25.json	sí	349.250-349.810	0.2138	0.2138	perquè	perquè no hi ha exemplars com aquest i, més, tant ben conservats com el que us parlo ara.	sí	sí	sí	0.101	0.175	0.5348	-33.76	183.85	44.64	1320.88	0.080	pendent					
37	A-triple-consens	9	pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	qa-clips/pa-010__clar__334_85_339_35.txt	qa-clips-json/pa-010__clar__334_85.json	sí	338.130-338.350	0.9866	0.9866	clar	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	sí	sí	sí	0.040	0.049	0.5580	-32.37	118.85	143.31	1127.48	0.060	pendent					
38	A-triple-consens	9	pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	qa-clips/pa-010__de-fet__647_25_652_75.txt	qa-clips-json/pa-010__de-fet__647_25.json	sí	648.730-649.240	0.6151	0.8000	de fet	i ho són, és de fet, en concret, el dia de ser fixeu-vos també en el detall amb l'esforç...	sí	sí	sí	0.234	0.008	0.5949	-31.29	121.50	147.74	860.69	0.100	pendent					
39	A-triple-consens	9	pa-010	doncs	24.65-31.67	clips/pa-010__doncs__24.65.wav	qa-clips/pa-010__doncs__24_65_31_67.txt	qa-clips-json/pa-010__doncs__24_65.json	sí	27.160-27.420	0.4795	0.7395	doncs	oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	sí	sí	sí	0.057	0.031	0.6314	-30.23	160.70	179.53	949.76	0.100	pendent					
40	A-triple-consens	9	pa-010	llavors	386.25-391.75	clips/pa-010__llavors__386.25.wav	qa-clips/pa-010__llavors__386_25_391_75.txt	qa-clips-json/pa-010__llavors__386_25.json	sí	387.100-387.970	0.7955	0.8972	llavors	Allà, llavors, per intentar interpretar què devia voler dir en origen, aquest...	sí	sí	sí	0.021	0.104	0.6168	-30.77	135.17	164.72	908.44	0.070	pendent					
41	A-triple-consens	9	pa-010	perquè	196.65-201.55	clips/pa-010__perqu__196.65.wav	qa-clips/pa-010__perque__196_65_201_55.txt	qa-clips-json/pa-010__perqu__196_65.json	sí	196.650-196.950	0.2814	0.2814	perquè	perquè també poden ser el reflex de noms fixats a la llengua que encara es fa.	sí	sí	sí	0.032	0.062	0.7172	-28.99	186.40	174.92	976.69	0.060	pendent					
42	A-triple-consens	9	pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	qa-clips/pa-010__es-a-dir__243_25_249_55.txt	qa-clips-json/pa-010__s-a-dir__243_25.json	sí	243.250-243.630	0.3904	0.7847	és a dir	és a dir, interpretables o en tenuts dos mitjans en la nostra llengua actual.	sí	sí	sí	0.132	0.088	0.5764	-31.07	122.81	158.52	876.87	0.070	pendent					
43	A-triple-consens	9	pa-011	a veure	551.81-556.27	clips/pa-011__a-veure__551.81.wav	qa-clips/pa-011__a-veure__551_81_556_27.txt	qa-clips-json/pa-011__a-veure__551_81.json	sí	554.850-555.260	0.1111	0.5389	a veure	acabo d'exposicions i activitats que tenen sempre a veure amb el patrimoni.	sí	sí	sí	0.374	0.350	0.2477	-44.66	202.81	58.57	1312.29	0.220	pendent					
44	A-triple-consens	9	pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	qa-clips/pa-011__be__185_57_189_31.txt	qa-clips-json/pa-011__b__185_57.json	sí	188.490-188.510	0.9983	0.9983	bé	a l'exterior de la casa es va molt bé, doncs, a aquesta...	sí	sí	sí	0.073	0.130	0.7849	-23.75	218.51	78.83	1286.25	0.090	pendent					
45	A-triple-consens	9	pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	qa-clips/pa-011__de-fet__557_25_561_31.txt	qa-clips-json/pa-011__de-fet__557_25.json	sí	557.250-557.940	0.5130	0.7524	de fet	de fet, quan es va inaugurar al pal, com a tal, als 16...	sí	sí	sí	0.319	0.379	0.1881	-47.89	190.87	78.68	1154.51	0.220	pendent					
46	A-triple-consens	9	pa-011	doncs	61.49-69.07	clips/pa-011__doncs__61.49.wav	qa-clips/pa-011__doncs__61_49_69_07.txt	qa-clips-json/pa-011__doncs__61_49.json	sí	62.970-63.430	0.4045	0.7019	doncs	Escolti, què va passar, doncs que el 1435 l'Ereu de la Casa es va fer mitcari de l'Amassana.	sí	sí	sí	0.064	0.082	0.5000	-34.96	213.81	130.14	1341.62	0.100	pendent					
47	A-triple-consens	9	pa-011	perquè	27.61-31.55	clips/pa-011__perqu__27.61.wav	qa-clips/pa-011__perque__27_61_31_55.txt	qa-clips-json/pa-011__perqu__27_61.json	sí	28.850-29.100	0.6057	0.6057	perquè	Escolte, perquè era de la família Escolte, que vol dir...	sí	sí	sí	0.090	0.051	0.3673	-40.47	211.36	29.70	1383.57	0.380	pendent					
48	A-triple-consens	9	pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	qa-clips/pa-011__es-a-dir__48_09_54_67.txt	qa-clips-json/pa-011__s-a-dir__48_09.json	sí	48.090-48.940	0.0626	0.6780	és a dir	és a dir, una casa és tota la família i tot és les seves propietats.	sí	sí	sí	0.095	0.122	0.4390	-37.03	224.09	67.24	1402.71	0.060	pendent					
49	A-triple-consens	9	pa-012	perquè	369.25-374.75	clips/pa-012__perqu__369.25.wav	qa-clips/pa-012__perque__369_25_374_75.txt	qa-clips-json/pa-012__perqu__369_25.json	sí	369.250-369.360	0.6158	0.6158	perquè	perquè la gent es recordi d'aquestes eines.	sí	sí	sí	0.398	0.147	0.6058	-26.56	270.21	38.99	1824.08	0.180	pendent					
50	A-triple-consens	9	pa-013	perquè	433.89-442.03	clips/pa-013__perqu__433.89.wav	qa-clips/pa-013__perque__433_89_442_03.txt	qa-clips-json/pa-013__perqu__433_89.json	sí	436.160-436.530	0.9497	0.9497	perquè	Per què us sabem? Doncs perquè es conserven múltiples testimonis fotogràfics.  Gràcies a Josep Elzina.	sí	sí	sí	0.144	0.059	0.7094	-25.95	230.90	124.51	1313.89	0.040	pendent					
51	A-triple-consens	9	pa-013	és a dir	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	qa-clips/pa-013__es-a-dir__579_17_586_75.txt	qa-clips-json/pa-013__s-a-dir__579_17.json	sí	580.370-580.710	0.6284	0.8650	És a dir	torran. És a dir, l'arquitectura de granit es dona en un moment de reconversió gradual  del nostre país, que passa de ser...	sí	sí	sí	0.108	0.311	0.7381	-20.65	301.34	134.62	1146.75	0.060	pendent					
52	A-triple-consens	9	pa-014	aviam	875.45-883.95	clips/pa-014__aviam__875.45.wav	qa-clips/pa-014__aviam__875_45_883_95.txt	qa-clips-json/pa-014__aviam__875_45.json	sí	877.450-877.450	0.1944	0.5657	aviam	d'escoltar una cosa, es diu, escoteu, aviam.  Imagineu-vos que les merdes apareixen.  Què passa amb el contrapàs? Es deixarà de ballar.	sí	sí	sí	0.014	0.253	0.5425	-33.81	121.39	27.71	1204.53	0.080	pendent					
53	A-triple-consens	9	pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	qa-clips/pa-014__crec__153_25_160_55.txt	qa-clips-json/pa-014__crec__153_25.json	sí	153.560-153.970	0.9940	0.9940	crec	I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	sí	sí	sí	0.226	0.100	0.7418	-27.26	142.35	87.50	1001.99	0.040	pendent					
54	A-triple-consens	9	pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	qa-clips/pa-014__evidentment__28_65_37_55.txt	qa-clips-json/pa-014__evidentment__28_65.json	sí	31.830-31.980	0.8709	0.9327	evidentment	que és el nostre país, patrimoni cultural, evidentment.  Quan em demanen per anar amb alguna escola  per explicar quines són les tradicions i quines són...	sí	sí	sí	0.042	0.050	0.6577	-27.67	131.66	25.92	1092.14	0.080	pendent					
55	A-triple-consens	9	pa-014	o sigui	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	qa-clips/pa-014__o-sigui__658_45_674_95.txt	qa-clips-json/pa-014__o-sigui__658_45.json	sí	662.480-662.570	0.6862	0.8267	o sigui	És a dir, els homes amb barretina, o sigui, amb pantolons de ballut, negres, faixa i barretina vermella, camisa blanca, mitjons blancs i bigatans.	sí	sí	sí	0.481	0.237	0.5583	-31.80	130.48	69.78	1261.04	0.080	pendent					
56	A-triple-consens	9	pa-014	perquè	105.85-115.75	clips/pa-014__perqu__105.85.wav	qa-clips/pa-014__perque__105_85_115_75.txt	qa-clips-json/pa-014__perqu__105_85.json	sí	108.240-108.660	0.8193	0.8193	perquè	per quin motiu, perquè en el seu moment es va tenir una sèrie de dubtes o dubtes,  més que dubtes, vaig començar a buscar.	sí	sí	sí	0.085	0.011	0.7024	-26.21	156.34	62.89	973.52	0.090	pendent					
57	A-triple-consens	9	pa-015	doncs	83.25-87.75	clips/pa-015__doncs__83.25.wav	qa-clips/pa-015__doncs__83_25_87_75.txt	qa-clips-json/pa-015__doncs__83_25.json	sí	84.380-84.780	0.8466	0.9220	doncs	és important, doncs és important per una senzilla raó.	sí	sí	sí	0.176	0.064	0.9554	-20.95	224.68	96.84	1195.40	0.050	pendent					
58	A-triple-consens	9	pa-015	perquè	86.25-92.75	clips/pa-015__perqu__86.25.wav	qa-clips/pa-015__perque__86_25_92_75.txt	qa-clips-json/pa-015__perqu__86_25.json	sí	88.250-88.730	0.4134	0.4134	perquè	senzilla raó perquè és el poder econòmic del que seria la barroquínca.	sí	sí	sí	0.369	0.068	0.7438	-25.28	250.34	126.57	1221.75	0.140	pendent					
59	A-triple-consens	9	pa-016	a nivell	333.81-340.39	clips/pa-016__a-nivell__333.81.wav	qa-clips/pa-016__a-nivell__333_81_340_39.txt	qa-clips-json/pa-016__a-nivell__333_81.json	sí	337.420-337.970	0.7040	0.8911	a nivell	inclús recordo doncs fer sessions maratonianes a nivell de comissions sobre tot quan	sí	sí	sí	0.071	0.058	0.5518	-33.62	296.65	48.58	1403.29	0.060	pendent					
60	A-triple-consens	9	pa-016	a veure	369.73-375.91	clips/pa-016__a-veure__369.73.wav	qa-clips/pa-016__a-veure__369_73_375_91.txt	qa-clips-json/pa-016__a-veure__369_73.json	sí	370.940-371.850	0.5117	0.7539	a veure	I llavors a veure, tu quan saps que tens un termini per fer les coses, doncs...	sí	sí	sí	0.051	0.081	0.6039	-29.09	294.56	94.07	1099.98	0.060	pendent					
61	A-triple-consens	9	pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	qa-clips/pa-016__be__170_05_177_19.txt	qa-clips-json/pa-016__b__170_05.json	sí	175.990-176.330	0.9990	0.9990	bé	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	sí	sí	sí	0.040	0.038	0.6545	-30.29	299.64	44.79	1085.13	0.060	pendent					
62	A-triple-consens	9	pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	qa-clips/pa-016__clar__175_69_180_35.txt	qa-clips-json/pa-016__clar__175_69.json	sí	177.330-177.680	0.9439	0.9439	clar	Tenim un objectiu molt clar i l'hem de solit.	sí	sí	sí	0.054	0.144	0.5862	-30.08	311.94	56.04	1085.13	0.080	pendent					
63	A-triple-consens	9	pa-016	de fet	318.53-324.03	clips/pa-016__de-fet__318.53.wav	qa-clips/pa-016__de-fet__318_53_324_03.txt	qa-clips-json/pa-016__de-fet__318_53.json	sí	320.800-320.890	0.5592	0.7741	de fet	no ens passarien, perquè de fet,  tant l'altra comissió que estava, que era la Comissió de Finances,	sí	sí	sí	0.032	0.144	0.6460	-30.88	291.45	110.39	1115.66	0.060	pendent					
64	A-triple-consens	9	pa-016	doncs	62.33-69.43	clips/pa-016__doncs__62.33.wav	qa-clips/pa-016__doncs__62_33_69_43.txt	qa-clips-json/pa-016__doncs__62_33.json	sí	67.210-67.400	0.5311	0.5311	Doncs	"que em diu ""filling a xis polític"".  I em diu ""tu sí que sí, no?""  Doncs has d'anar a la teva paraula. Dic ""sí, sí""."	sí	sí	sí	0.051	0.144	0.5085	-34.52	296.27	55.28	1337.57	0.080	pendent					
