id_persona	forma	interval_escolta	clip	sha256	transcripcio_greedy	text_greedy	forma_en_greedy
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	5038754b1feaf6561e715b580dbcb16e056fb406fda76ee42616555e4a2cdd07	qa-clips-forts-greedy/pa-020__be__146_37_152_31.txt	i els consuls, en aquell moment, potser no eren ben bé del mateix equip,	sí
pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	3258b10743d8cab81625debfd526fc9a66d620cbf7a637e1c99bb78f1dc91ebe	qa-clips-forts-greedy/pa-021__crec__115_53_120_03.txt	i és molt fàcil.  Jo crec que el fet que me'l consella anterior  passés el que va passant.	sí
pa-021	perquè	15.45-19.67	clips/pa-021__perqu__15.45.wav	b5da3c833208a879a53426b7f5e9a0b928e4b560e6d6f9577f08ad125321950b	qa-clips-forts-greedy/pa-021__perque__15_45_19_67.txt	perquè em van convèncer perquè fos candidat.	sí
pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	e9a457dd00829350bb1cd8d5427e351a52d5363a4c2877a49f4e6d076eb4c7d1	qa-clips-forts-greedy/pa-022__clar__107_73_113_11.txt	que el seu objectiu tenia molt clar que es jugava molt.	sí
pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	b48248228d01c42da3ebd0a223e819a27f5c35c47ced0f985f08c421015e935d	qa-clips-forts-greedy/pa-022__crec__243_73_249_43.txt	Jo crec que un factor important és el canvi generacional, també, entre un.	sí
pa-023	a nivell	418.57-422.99	clips/pa-023__a-nivell__418.57.wav	a6b0d9ecbff2c19bebc2926abc5f29acea6e08f0fd8f9a68c89181c3c9376826	qa-clips-forts-greedy/pa-023__a-nivell__418_57_422_99.txt	i després també a nivell d'agricultura.	sí
pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	7de72df51862b2b11412ebf1a1e2f8cdb431d26349d1044b6d76b25f680842f7	qa-clips-forts-greedy/pa-025__crec__4_25_9_11.txt	Jo crec que el que es volia era trobar la manera de arribar.	sí
pa-025	perquè	37.17-40.43	clips/pa-025__perqu__37.17.wav	a891fcf66565de45043e5673202939ffd53995c708fbce926de37ecf2ab3a200	qa-clips-forts-greedy/pa-025__perque__37_17_40_43.txt	perquè abans no els deixaven votar, que eren...	sí
pa-026	a nivell	38.25-41.75	clips/pa-026__a-nivell__38.25.wav	0463fb98ceee4e18c24ffb3637d64d5989b7211af171203c63b9a320d7e6a7a1	qa-clips-forts-greedy/pa-026__a-nivell__38_25_41_75.txt	i que ha de ser un llibre de la Generalitat.	no
pa-026	reformeta	138.61-145.67	clips/pa-026__reformeta__138.61.wav	9ecc153c139b2e8eee21dd2b57aff9f5505a367f856e1bb5009943f99b73b282	qa-clips-forts-greedy/pa-026__reformeta__138_61_145_67.txt	i ho veiem aconseguir.  La diferència és que la reformeta tractàvem massatge.	sí
pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	e8162daab616860e81e55a9b17c1dd1824cef34ede88bf377dfcddb1b9284c85	qa-clips-forts-greedy/pa-027__crec__8_81_14_39.txt	Jo recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	sí
pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	612fd96bf9dce7a7eb60afe7b3a9fac5b17aa74c679283e98db991cda6f397da	qa-clips-forts-greedy/pa-027__evidentment__174_09_178_23.txt	per la prostitució.  Per tant, finances, evidentment, per el pressupost i...	sí
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	5ae58c23f4052ae6cec4c027ae68a73d8815470c74464f804e71b0333fa4c75c	qa-clips-forts-greedy/pa-028__be__182_49_187_39.txt	i que no hi hagi una altra.	no
pa-028	doncs	329.33-334.79	clips/pa-028__doncs__329.33.wav	3805ccfc9d6eb1cf6e51c39cc3b10f1068e476b393b1b19c19030c8ae72c9bc5	qa-clips-forts-greedy/pa-028__doncs__329_33_334_79.txt	i que, igual, doncs conyes que realment té un valor que té constitució.	sí
pa-029	a nivell	417.09-421.47	clips/pa-029__a-nivell__417.09.wav	4cbd9b08de52bbc1f76e9ea3305ef525452f8eee82b0f7294a7fa58491fe1f57	qa-clips-forts-greedy/pa-029__a-nivell__417_09_421_47.txt	i això ha de deixar a quatre,  a algú que els valta els quatre a nivell nacional.	sí
pa-029	tirar endavant	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	5f14096867f46ed1299f44511f099ef4bcd6601b91b66853dcd31a78016ff2f1	qa-clips-forts-greedy/pa-029__tirar-endavant__56_73_63_23.txt	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.	sí
pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	3d80e74eb5491d0a003e0062009915dd4c540cbdfedbda3c6e10fbeb00015386	qa-clips-forts-greedy/pa-030__crec__346_45_352_99.txt	perquè jo crec que hi ha alguns que em donen una sensació	sí
pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	2a791ded5c43a33365aa74d972ca0174e560615308ee892e8a6059a279162a46	qa-clips-forts-greedy/pa-030__evidentment__43_53_48_63.txt	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.	sí
pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	e8f71c838cc57af6bbb4d19b07f09f072436f569a2fdeec8945b755e4a243dd8	qa-clips-forts-greedy/pa-030__vull-dir__842_69_848_23.txt	i que no hi hagi una altra part de l'independentisme.	no
pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	da4bb71e4ef7e8e432dc615542087f22ae8f360022bac972aed0d6b95b782247	qa-clips-forts-greedy/pa-031__crec__87_01_92_63.txt	de sort, però realment jo crec que l'esperit de la gent no hi ha ni per a la gent.	sí
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	5785296cce7554b7cb749c80b7cb6e1fbe29aa36ce7eaa2ff059ae184192b98a	qa-clips-forts-greedy/pa-031__de-fet__9_93_14_23.txt	i, de fet, no em va portar ningú.	sí
pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	ecfa14d10598ee1565c45d37de1b5b8f2b856e8f98d2759d8ef79112535f895e	qa-clips-forts-greedy/pa-032__bueno__44_73_50_63.txt	i bueno, l'últim, la psiquia 4 que ens vam apuntar i vam dir que era capaç.	sí
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	725afb8868c8e1569d935fba4ca043d834faa1535a5b5f66a934de8f1a3ff987	qa-clips-forts-greedy/pa-033__be__103_09_107_43.txt	i estem bé com estem i no ho toquem, que tot es fa molt bé.	sí
pa-033	vull dir	56.25-62.63	clips/pa-033__vull-dir__56.25.wav	3176514bdf255ed02125bedfc4a31fe3291dd609a2001906b56ec4eae05ca3df	qa-clips-forts-greedy/pa-033__vull-dir__56_25_62_63.txt	perquè, clar, vull dir, tot el que veia és...  Dels exigències que tenien al centre.	sí
pa-034	a veure	94.05-100.39	clips/pa-034__a-veure__94.05.wav	f11ae47cfb296a410bc792f10d50a4670333a71827c336ac9c126292c960a427	qa-clips-forts-greedy/pa-034__a-veure__94_05_100_39.txt	i em va venir a veure, perquè, clar, ja sabia de començar a preparar,  les candidats.	sí
pa-034	tirar endavant	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	887e5c0e8735076a705a05f6736e118de3a711b18ed0bad74d5bf935da11d415	qa-clips-forts-greedy/pa-034__tirar-endavant__690_33_695_67.txt	Però, clar, també d'entendre que si volíem tirar endavant.	sí
pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	a65164bf8dbfb44cb34b9055050ba2c7df72078ae201fda57823c78dae14755e	qa-clips-forts-greedy/pa-035__crec__872_77_879_91.txt	Jo no crec que s'ha de canviar massa, massa subint una constitució.	sí
pa-036	a nivell	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	09ded2303ce7bfb7ec5936ed492a4b05bbe17bdfc3b340fd4ea3c8df6cd5546b	qa-clips-forts-greedy/pa-036__a-nivell__386_45_395_95.txt	tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.	sí
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	92f1604a22b86f3c74aa7470883843d51e3dff1b7b7ce032f1b62aa1ee5ea6a5	qa-clips-forts-greedy/pa-036__be__69_45_75_15.txt	El coprincipat ens ha vingut molt bé i pensàvem que aquest havia de continuar.	sí
pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	20cc605a72028b4133fee24acc6d8027bd03a752cb74eecbbb503cf86f111062	qa-clips-forts-greedy/pa-036__clar__136_45_147_15.txt	que s'està fent.	no
pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	ad58ae8bb7fcdeb37f4ac6aac790f51c9fa7265b5bfe9b5554975ac5c4a88a9c	qa-clips-forts-greedy/pa-036__evidentment__202_85_211_95.txt	i no ens van anar més enllà.  Ens va costar fer aquest pas important.  Després, evidentment, entrem a la legislatura crítica	sí
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	9a8b5b80d6eb8653df738050cd79666a39bc0cf09610a317185389a897599200	qa-clips-forts-greedy/pa-038__be__26_77_31_71.txt	No està bé considerada com un estat real.	sí
pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	884b1e51ce66cd952b496f16d9b454d9faf9baeeb8ce3edb28fb408a519c8e49	qa-clips-forts-greedy/pa-038__crec__220_69_226_79.txt	Bé, jo crec que l'atac de nacionalisme que ens va moure...	sí
pa-038	reformeta	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	c8f3ae6d77e84f493a44d32e456e11f78217167340f1dd1218caa7b91e6146c8	qa-clips-forts-greedy/pa-038__reformeta__1821_69_1828_07.txt	que ho convolguis, segueixen contentat amb una reformeta.	sí
pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	a32fa9f85404bb12274c7111daef9b76d6847ba1f7d0d2406a4428ddc78c2ac3	qa-clips-forts-greedy/pa-038__vull-dir__1576_57_1582_39.txt	Ja et dic que els agents exteriors siguin... ja no vull dir quins, però...	sí
pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	9f205fdb77948f20db612fa965d1b98ea9dbc5150d1a003937b7c95e563147d6	qa-clips-forts-greedy/pa-039__be__27_77_32_03.txt	fins a la prostitució no ja està bé.	sí
pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	575399cb596411cfa195b0cab9d0fa81b7024afe65156b6f10736c3b4d69689f	qa-clips-forts-greedy/pa-039__crec__90_85_95_95.txt	i ho explicarà.  Doncs jo crec que a aquest home hi va voler marcar...	sí
pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	a999b825a79286639188b920f4623328429fe6012ee2136a2cc15da8dcda8cd6	qa-clips-forts-greedy/pa-040__crec__4_37_7_79.txt	Jo crec que he pogut entrar a càrrecs.	sí
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	1a1f4d6fe223de8ca0f3798029daa9a58cc783b6c68421e0666332a6e0bbdf51	qa-clips-forts-greedy/pa-040__de-fet__70_17_73_51.txt	i de fet el meu pare el portava sempre sobre aquell pin.	sí
pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	0a8352575dcb431d01399f17d08b13d39e8a37be6070f68f1b0b18a07f6d698e	qa-clips-forts-greedy/pa-040__evidentment__103_93_106_95.txt	que no s'ha de fer.	no
pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	c754c42f61d1a844b0e89dd6aa34ca6235ca671b32270c10a006ea3cc6d2e6f3	qa-clips-forts-greedy/pa-041__crec__56_25_62_75.txt	els pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	sí
pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	852ada4cda576e3cba651abb69c4496002392d4a973ffaf363b98f39cc530610	qa-clips-forts-greedy/pa-043__crec__102_25_108_75.txt	per mi l'escola en d'Orrana és una identitat no, jo crec.	sí
pa-045	a veure	340.93-345.91	clips/pa-045__a-veure__340.93.wav	03b4ff733fc095b5e926d8dbcce71e7393cab5145040dc1fd0986181631f2506	qa-clips-forts-greedy/pa-045__a-veure__340_93_345_91.txt	No ho veiem perquè...  No ho sé, no ho veiem.	no
pa-045	clar	399.85-405.95	clips/pa-045__clar__399.85.wav	512b50fe62e74c159ca6f43e8bf607bdbad775cd06d5d9177e4a69471db78924	qa-clips-forts-greedy/pa-045__clar__399_85_405_95.txt	amb el qual estava... amb res.  Amb el qual estava bastant clar.  Semblava bastant clar.	sí
pa-045	evidentment	290.13-298.31	clips/pa-045__evidentment__290.13.wav	c24d3885c6cb09b8e089ded26fac1df462068c9ae1e9b4d948e9307ea9c3bf93	qa-clips-forts-greedy/pa-045__evidentment__290_13_298_31.txt	que tenen senyor o, evidentment,  en una sèrie de...  de condicions molt clares,  dir-ho amb la de persona.	sí
pa-046	bé	348.81-352.55	clips/pa-046__b__348.81.wav	3b278759a27898565a9ba4b20321e1da89b959bed4c0db4ef3e3c77fbb2509bf	qa-clips-forts-greedy/pa-046__be__348_81_352_55.txt	i volen pensar dins del camp.	no
pa-048	a nivell	435.77-441.27	clips/pa-048__a-nivell__435.77.wav	d56fd7a76ac688f574fc3bd1fb9dc7aec6209cb3d29b8ad4cb0311806f515600	qa-clips-forts-greedy/pa-048__a-nivell__435_77_441_27.txt	No, perquè normalment, quan t'inviten a nivell oficial,	sí
pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	49369d24af002dcf807cd314d250b79f985e1ac6c53f1fdba415c0136cf438b5	qa-clips-forts-greedy/pa-048__crec__110_97_117_27.txt	Si hi ha cel, jo no crec ni en l'inferna, ni el purgatori, ni el cel.	sí
pa-049	bueno	269.05-275.83	clips/pa-049__bueno__269.05.wav	c58b1a61ae62f2dca6f421353a24451bab30e09349c7af2034cf64428bd62b46	qa-clips-forts-greedy/pa-049__bueno__269_05_275_83.txt	-Aquí, a mi. -A vostra via de més feia de...  -De més... -De més de més de més de més de més de més.  Bueno, de més de més de...	sí
pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	ab8d72defe810b63aee2e81900eff080282a811b632a7d0634123c62a03d6b1c	qa-clips-forts-greedy/pa-049__crec__371_85_383_51.txt	i que no hi havia res.  Jo crec que en aquella època pràcticament tot devia ser necessari  per la falta, precisament, de tot el que hi havia aquí al país.	sí
pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	3f04ee88b4dc96889303168191c0c41c51d79e6f0af5a4e5ccac70a766474dae	qa-clips-forts-greedy/pa-054__bueno__51_69_55_75.txt	i, bueno, és el primer pas.	sí
pa-055	a nivell	38.09-44.07	clips/pa-055__a-nivell__38.09.wav	43d8bd7f8b3c9a6cf49f93fe7ea6592467c2543ba14edca421f82014d511f92e	qa-clips-forts-greedy/pa-055__a-nivell__38_09_44_07.txt	però a nivell nacional volia dir, per 89,	sí
pa-055	perquè	148.53-153.11	clips/pa-055__perqu__148.53.wav	af435e03412b13a8f1f0e38be16e6c6691f7c2136a0a7dbed35189a2cceca69f	qa-clips-forts-greedy/pa-055__perque__148_53_153_11.txt	i a turist.  Perquè no em vull ascendre.	sí
pa-055	reformeta	139.05-145.83	clips/pa-055__reformeta__139.05.wav	25559cd9532afec3a83f8784fb253837ddde48d96cfa14708531d62f457f57c2	qa-clips-forts-greedy/pa-055__reformeta__139_05_145_83.txt	La diferència és que la reformeta tractava amb missatges.	sí
pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	ced37f6983faa095bef188c9472cac2a64e98688ad844a3e1f2eda35829d1268	qa-clips-forts-greedy/pa-056__clar__62_45_66_87.txt	Jo tenia molt clar que s'havia de canviar de manera de fer.	sí
pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	c6b13c6b9d3220d48bcbc80673d634f9626036aa85ba62f7f03f1410d8dca09a	qa-clips-forts-greedy/pa-056__crec__347_05_353_03.txt	perquè jo crec que hi ha alguns que em donen una sensació	sí
pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	09dcc9eb778bfd5d9f45bcd5ca185c0c89c9aadfd03d4e0de98e63bb43458bce	qa-clips-forts-greedy/pa-056__evidentment__43_45_48_59.txt	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.	sí
pa-056	tirar endavant	185.53-189.19	clips/pa-056__tirar-endavant__185.53.wav	66f61aaf1326783e5ec385ff520a8d5559f030dca90fd7967bfcfa4bcdfd45bb	qa-clips-forts-greedy/pa-056__tirar-endavant__185_53_189_19.txt	i estem d'acord? Doncs vam tirar endavant.	sí
pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	66a0b9648889fdf52c4f4b2c0d8b06b93f983546570ea9c69230ac18342dd77b	qa-clips-forts-greedy/pa-056__vull-dir__842_65_848_07.txt	Bé, vull dir també, perquè cal recordar-ho.	sí
pa-057	perquè	249.45-254.11	clips/pa-057__perqu__249.45.wav	11e76ce20d00eeac2b1ee4e984b72cf2ed8e12ee2dde186db264b6e0aaa03f8f	qa-clips-forts-greedy/pa-057__perque__249_45_254_11.txt	"i molt poc temps per a això es va fer el ""Tom de I8"".  Més o ràpid."	no
