candidat_a	candidat_b	n_formes_compartides	formes	estat
lead-rtva-009-isidre-bartumeu	lead-rtva-032-anna-riberaygua	12	a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-059-carles-ensenyat	4	bé;doncs;evidentment;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-060-xavier-espot-actual	1	per tant	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-061-antoni-morell	1	perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-033-david-montane	3	clar;doncs;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-034-antoni-marti	7	a nivell;a veure;bé;evidentment;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-035-cerni-escale	10	a nivell;bé;de fet;doncs;evidentment;llavors;no?;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-036-xavier-espot	10	a veure;bé;clar;de fet;doncs;evidentment;o sigui;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-037-oscar-ribas	8	a veure;bé;doncs;evidentment;llavors;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-038-conxita-marsol	5	bé;doncs;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-039-marta-roure	11	a nivell;a veure;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-040-guillem-forne	11	a nivell;a veure;bé;clar;de fet;doncs;no?;o sigui;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-041-guillem-areny	2	bé;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-042-andreu-gonzalez	12	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-043-oriol-agorreta	11	a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-044-laura-casanovas	10	a veure;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-045-arnau-rius	11	a nivell;a veure;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-046-alberto-villagrasa	9	a veure;bé;clar;doncs;evidentment;no?;o sigui;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-047-katia-ustina	5	bé;doncs;no?;o sigui;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-048-ander-mirambell	9	a nivell;a veure;bé;clar;doncs;no?;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-049-joan-piquet	14	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-050-pau-chica	12	a nivell;a veure;bé;clar;doncs;evidentment;llavors;no?;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-051-albert-vilaro	9	a veure;bé;clar;doncs;no?;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-052-valenti-closa	12	a nivell;a veure;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-053-sonia-andorrita	10	a veure;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-054-francesc-solana	11	a veure;bé;clar;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-055-enric-flix	11	a veure;bé;clar;doncs;evidentment;llavors;no?;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-056-arnau-fortuny	13	a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-057-gabriel-lezkano	9	bé;clar;doncs;evidentment;no?;o sigui;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-yt-058-nuria-pablos	12	a veure;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-011-josep-dalleres	15	a nivell;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-012-marc-forne	15	Andorra;Ordino;a veure;bueno;bé;clar;comunals;de fet;doncs;evidentment;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-013-pere-vilanova	13	Andorra;a veure;bueno;bé;clar;de fet;doncs;llavors;no?;o sigui;parròquia;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-014-joan-burgues	13	Andorra;a veure;bueno;bé;clar;de fet;diguem;doncs;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-015-isidre-baro	15	Andorra;Ordino;a nivell;bueno;bé;clar;comú;diguem;doncs;evidentment;llavors;no?;o sigui;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-016-josep-areny	18	Andorra;a nivell;a veure;bueno;bé;clar;comú;conseller general;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;parròquia;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-017-simo-duro	21	Andorra;Ordino;Sant Julià;a nivell;a veure;bueno;bé;clar;conseller general;de fet;diguem;doncs;evidentment;gent gran;llavors;no?;o sigui;parròquia;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-018-ricard-fiter	15	Andorra;Sant Julià;a nivell;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-019-lisa-cruz	13	Andorra;a veure;bueno;bé;clar;comú;de fet;doncs;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-020-monica-bonell	17	Andorra;Ordino;a nivell;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;evidentment;llavors;no?;parròquia;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-021-bonaventura-riberaygua	16	Andorra;a nivell;a veure;bueno;bé;clar;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-022-josep-marsal	15	Andorra;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-023-josep-maria-cases	16	Andorra;Ordino;a nivell;a veure;bueno;bé;clar;comú;diguem;doncs;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-024-denisa-font	16	Andorra;a nivell;a veure;bueno;bé;clar;comunals;comú;de fet;doncs;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-025-albert-gelabert	18	Andorra;a nivell;a veure;bueno;bé;clar;comunals;comú;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;parròquia;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-026-rosa-maria-mandico	17	Andorra;Sant Julià;a nivell;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;llavors;no?;parròquia;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-027-jordi-guillamet	14	Andorra;a nivell;a veure;bueno;bé;clar;de fet;doncs;evidentment;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-028-pere-besoli	16	Andorra;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-029-angelina-mas	13	Andorra;a veure;bueno;bé;clar;comú;de fet;doncs;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-030-casimir-arajol	11	Andorra;a veure;bueno;bé;clar;diguem;doncs;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-031-ramon-rossell	16	Sant Julià;a veure;bueno;bé;clar;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;parròquia;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-032-anna-riberaygua	15	Andorra;a veure;bueno;bé;clar;comú;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-059-carles-ensenyat	4	bé;doncs;evidentment;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-060-xavier-espot-actual	1	per tant	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-rtva-061-antoni-morell	1	perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-033-david-montane	2	clar;doncs	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-034-antoni-marti	7	Andorra;a nivell;a veure;bé;evidentment;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-035-cerni-escale	12	a nivell;bueno;bé;comunals;comú;de fet;doncs;evidentment;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-036-xavier-espot	15	Andorra;Ordino;Sant Julià;a veure;bé;clar;comú;de fet;diguem;doncs;evidentment;o sigui;parròquia;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-037-oscar-ribas	11	Andorra;a veure;bueno;bé;comú;doncs;evidentment;llavors;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-038-conxita-marsol	7	Andorra;bueno;bé;doncs;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-039-marta-roure	13	Andorra;a nivell;a veure;bueno;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-040-guillem-forne	16	Andorra;Ordino;Sant Julià;a nivell;a veure;bueno;bé;clar;de fet;diguem;doncs;no?;o sigui;parròquia;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-041-guillem-areny	3	bueno;bé;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-042-andreu-gonzalez	14	Andorra;a nivell;a veure;bueno;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-043-oriol-agorreta	11	a veure;bueno;bé;clar;de fet;doncs;evidentment;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-044-laura-casanovas	11	Andorra;a veure;bueno;bé;clar;de fet;doncs;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-045-arnau-rius	12	a nivell;a veure;bueno;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-046-alberto-villagrasa	10	a veure;bueno;bé;clar;comú;doncs;evidentment;no?;o sigui;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-047-katia-ustina	7	Andorra;bueno;bé;doncs;no?;o sigui;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-048-ander-mirambell	11	Andorra;a nivell;a veure;bueno;bé;clar;comú;doncs;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-049-joan-piquet	15	a nivell;a veure;bueno;bé;clar;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-050-pau-chica	14	Andorra;a nivell;a veure;bueno;bé;clar;doncs;evidentment;llavors;no?;parròquia;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-051-albert-vilaro	11	Andorra;a veure;bueno;bé;clar;diguem;doncs;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-052-valenti-closa	15	a nivell;a veure;bueno;bé;clar;comú;de fet;doncs;llavors;no?;o sigui;parròquia;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-053-sonia-andorrita	12	Andorra;a veure;bueno;bé;clar;comú;de fet;doncs;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-054-francesc-solana	14	Andorra;a veure;bueno;bé;clar;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-055-enric-flix	13	Andorra;Ordino;a veure;bueno;bé;clar;doncs;evidentment;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-056-arnau-fortuny	15	Andorra;a veure;bueno;bé;clar;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-057-gabriel-lezkano	9	bueno;bé;clar;doncs;evidentment;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-010-lurdes-riba	lead-yt-058-nuria-pablos	13	Andorra;a veure;bueno;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-012-marc-forne	16	Consell General;Constitució;a veure;bueno;bé;català;clar;conseller;de fet;doncs;evidentment;francès;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-013-pere-vilanova	16	Consell General;Constitució;a veure;bueno;bé;castellà;català;clar;de fet;doncs;francès;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-014-joan-burgues	14	a veure;bueno;bé;castellà;català;clar;de fet;diguem;doncs;francès;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-015-isidre-baro	12	a nivell;bueno;bé;clar;comú;diguem;doncs;evidentment;llavors;no?;o sigui;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-016-josep-areny	17	Constitució;a nivell;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;evidentment;francès;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-017-simo-duro	18	Consell General;Constitució;a nivell;a veure;andorrana;bueno;bé;clar;conseller;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-018-ricard-fiter	18	Consell General;Constitució;a nivell;a veure;andorrana;bueno;bé;català;clar;comú;de fet;diguem;doncs;francès;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-019-lisa-cruz	12	a veure;bueno;bé;clar;comú;de fet;doncs;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-020-monica-bonell	14	a nivell;a veure;bueno;bé;clar;comú;de fet;diguem;doncs;evidentment;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-021-bonaventura-riberaygua	17	a nivell;a veure;bueno;bé;català;clar;conseller;de fet;diguem;doncs;evidentment;francès;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-022-josep-marsal	17	Constitució;a veure;bueno;bé;clar;comú;conseller;de fet;diguem;doncs;evidentment;francès;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-023-josep-maria-cases	13	a nivell;a veure;bueno;bé;clar;comú;diguem;doncs;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-024-denisa-font	14	a nivell;a veure;bueno;bé;català;clar;comú;de fet;doncs;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-025-albert-gelabert	18	a nivell;a veure;andorrana;bueno;bé;català;clar;comú;conseller;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-026-rosa-maria-mandico	14	a nivell;a veure;bueno;bé;clar;comú;conseller;de fet;diguem;doncs;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-027-jordi-guillamet	14	a nivell;a veure;bueno;bé;català;clar;de fet;doncs;evidentment;francès;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-028-pere-besoli	17	a veure;bueno;bé;castellà;català;clar;comú;de fet;diguem;doncs;evidentment;francès;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-029-angelina-mas	12	a veure;bueno;bé;clar;comú;de fet;doncs;francès;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-030-casimir-arajol	11	a veure;bueno;bé;clar;conseller;diguem;doncs;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-031-ramon-rossell	15	a veure;bueno;bé;català;clar;conseller;de fet;diguem;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-032-anna-riberaygua	15	a veure;andorrana;bueno;bé;clar;comú;de fet;doncs;evidentment;francès;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-059-carles-ensenyat	5	Consell General;bé;doncs;evidentment;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-060-xavier-espot-actual	1	per tant	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-rtva-061-antoni-morell	1	perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-033-david-montane	2	clar;doncs	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-034-antoni-marti	7	a nivell;a veure;bé;català;evidentment;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-035-cerni-escale	13	Consell General;a nivell;bueno;bé;català;comú;de fet;doncs;evidentment;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-036-xavier-espot	11	a veure;bé;clar;comú;de fet;diguem;doncs;evidentment;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-037-oscar-ribas	10	a veure;bueno;bé;comú;doncs;evidentment;llavors;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-038-conxita-marsol	6	bueno;bé;doncs;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-039-marta-roure	14	a nivell;a veure;bueno;bé;català;clar;de fet;doncs;llavors;llengua;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-040-guillem-forne	12	a nivell;a veure;bueno;bé;clar;conseller;de fet;diguem;doncs;no?;o sigui;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-041-guillem-areny	3	bueno;bé;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-042-andreu-gonzalez	13	a nivell;a veure;bueno;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-011-josep-dalleres	lead-yt-043-oriol-agorreta	11	a veure;bueno;bé;clar;de fet;doncs;evidentment;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
