id	candidat	forma	categoria	small	base	clip	estat
lead-rtva-009-isidre-bartumeu::vull dir	lead-rtva-009-isidre-bartumeu	vull dir	discurs	1	2	lead-rtva-009__17__vull-dir.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::és a dir	lead-rtva-009-isidre-bartumeu	és a dir	discurs	4	3	lead-rtva-009__18__s-a-dir.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::Andorra	lead-rtva-010-lurdes-riba	Andorra	toponim	18	7	lead-rtva-010__43__andorra.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::Ordino	lead-rtva-010-lurdes-riba	Ordino	territorial	19	10	lead-rtva-010__22__ordino.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::Sant Julià	lead-rtva-010-lurdes-riba	Sant Julià	territorial	4	3	lead-rtva-010__23__sant-juli.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::a l'estiu	lead-rtva-010-lurdes-riba	a l'estiu	temps	3	1	lead-rtva-010__48__a-l-estiu.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::a nivell	lead-rtva-010-lurdes-riba	a nivell	discurs	1	1	lead-rtva-010__01__a-nivell.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::a veure	lead-rtva-010-lurdes-riba	a veure	discurs	5	7	lead-rtva-010__02__a-veure.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::barbarismes	lead-rtva-010-lurdes-riba	barbarismes	sociolingüística	2	2	lead-rtva-010__52__barbarismes.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::bueno	lead-rtva-010-lurdes-riba	bueno	discurs	15	14	lead-rtva-010__05__bueno.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::bé	lead-rtva-010-lurdes-riba	bé	discurs	25	27	lead-rtva-010__06__b.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::clar	lead-rtva-010-lurdes-riba	clar	discurs	3	3	lead-rtva-010__07__clar.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::comunals	lead-rtva-010-lurdes-riba	comunals	territorial	1	1	lead-rtva-010__27__comunals.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::comú	lead-rtva-010-lurdes-riba	comú	territorial	1	1	lead-rtva-010__29__com.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::conseller general	lead-rtva-010-lurdes-riba	conseller general	institucions	3	2	lead-rtva-010__55__conseller-general.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::de fet	lead-rtva-010-lurdes-riba	de fet	discurs	1	1	lead-rtva-010__08__de-fet.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::diguem	lead-rtva-010-lurdes-riba	diguem	discurs	2	2	lead-rtva-010__09__diguem.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::doncs	lead-rtva-010-lurdes-riba	doncs	discurs	10	9	lead-rtva-010__10__doncs.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::evidentment	lead-rtva-010-lurdes-riba	evidentment	discurs	14	12	lead-rtva-010__11__evidentment.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::filigranes	lead-rtva-010-lurdes-riba	filigranes	metàfora	1	1	lead-rtva-010__46__filigranes.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::gent gran	lead-rtva-010-lurdes-riba	gent gran	sociolingüística	6	4	lead-rtva-010__49__gent-gran.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::llavors	lead-rtva-010-lurdes-riba	llavors	discurs	4	1	lead-rtva-010__12__llavors.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::matança	lead-rtva-010-lurdes-riba	matança	lexic pagesia	3	1	lead-rtva-010__42__matan-a.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::no?	lead-rtva-010-lurdes-riba	no?	discurs	36	24	lead-rtva-010__13__no.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::o sigui	lead-rtva-010-lurdes-riba	o sigui	discurs	4	3	lead-rtva-010__14__o-sigui.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::parella lingüística	lead-rtva-010-lurdes-riba	parella lingüística	sociolingüística	1	1	lead-rtva-010__50__parella-ling-stica.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::parròquia	lead-rtva-010-lurdes-riba	parròquia	territorial	2	2	lead-rtva-010__33__parr-quia.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::per tant	lead-rtva-010-lurdes-riba	per tant	discurs	2	3	lead-rtva-010__15__per-tant.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::perquè	lead-rtva-010-lurdes-riba	perquè	discurs	37	34	lead-rtva-010__16__perqu.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::prats	lead-rtva-010-lurdes-riba	prats	pagesia	1	1	lead-rtva-010__45__prats.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::ramaderia	lead-rtva-010-lurdes-riba	ramaderia	lexic local	1	1	lead-rtva-010__40__ramaderia.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::resclar	lead-rtva-010-lurdes-riba	resclar	lexic pagesia	2	2	lead-rtva-010__37__resclar.wav	consens textual; pendent d'audició
lead-rtva-010-lurdes-riba::vull dir	lead-rtva-010-lurdes-riba	vull dir	discurs	5	5	lead-rtva-010__17__vull-dir.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::Consell General	lead-rtva-011-josep-dalleres	Consell General	institucions	2	2	lead-rtva-011__42__consell-general.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::Constitució	lead-rtva-011-josep-dalleres	Constitució	institucions	4	6	lead-rtva-011__43__constituci.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::a nivell	lead-rtva-011-josep-dalleres	a nivell	discurs	3	3	lead-rtva-011__01__a-nivell.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::a veure	lead-rtva-011-josep-dalleres	a veure	discurs	16	6	lead-rtva-011__02__a-veure.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::andorrana	lead-rtva-011-josep-dalleres	andorrana	territorial	1	1	lead-rtva-011__25__andorrana.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::bueno	lead-rtva-011-josep-dalleres	bueno	discurs	3	2	lead-rtva-011__05__bueno.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::bé	lead-rtva-011-josep-dalleres	bé	discurs	18	27	lead-rtva-011__06__b.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::castellà	lead-rtva-011-josep-dalleres	castellà	contacte	7	4	lead-rtva-011__55__castell.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::català	lead-rtva-011-josep-dalleres	català	sociolingüística	9	13	lead-rtva-011__53__catal.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::clar	lead-rtva-011-josep-dalleres	clar	discurs	6	8	lead-rtva-011__07__clar.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::comú	lead-rtva-011-josep-dalleres	comú	territorial	2	1	lead-rtva-011__29__com.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::conseller	lead-rtva-011-josep-dalleres	conseller	institucions	3	1	lead-rtva-011__37__conseller.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::de fet	lead-rtva-011-josep-dalleres	de fet	discurs	10	8	lead-rtva-011__08__de-fet.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::diguem	lead-rtva-011-josep-dalleres	diguem	discurs	1	2	lead-rtva-011__09__diguem.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::doncs	lead-rtva-011-josep-dalleres	doncs	discurs	18	25	lead-rtva-011__10__doncs.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::evidentment	lead-rtva-011-josep-dalleres	evidentment	discurs	1	2	lead-rtva-011__11__evidentment.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::francès	lead-rtva-011-josep-dalleres	francès	contacte	13	5	lead-rtva-011__54__franc-s.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::llavors	lead-rtva-011-josep-dalleres	llavors	discurs	4	1	lead-rtva-011__12__llavors.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::llengua	lead-rtva-011-josep-dalleres	llengua	sociolingüística	2	1	lead-rtva-011__52__llengua.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::no?	lead-rtva-011-josep-dalleres	no?	discurs	23	26	lead-rtva-011__13__no.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::novel·la	lead-rtva-011-josep-dalleres	novel·la	literatura	7	8	lead-rtva-011__50__novel-la.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::o sigui	lead-rtva-011-josep-dalleres	o sigui	discurs	11	9	lead-rtva-011__14__o-sigui.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::per tant	lead-rtva-011-josep-dalleres	per tant	discurs	9	9	lead-rtva-011__15__per-tant.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::perquè	lead-rtva-011-josep-dalleres	perquè	discurs	28	27	lead-rtva-011__16__perqu.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::poesia	lead-rtva-011-josep-dalleres	poesia	literatura	24	18	lead-rtva-011__48__poesia.wav	consens textual; pendent d'audició
lead-rtva-011-josep-dalleres::poeta	lead-rtva-011-josep-dalleres	poeta	literatura	10	10	lead-rtva-011__49__poeta.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::Andorra	lead-rtva-012-marc-forne	Andorra	toponim	62	8	lead-rtva-012__44__andorra.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::Consell General	lead-rtva-012-marc-forne	Consell General	institucions	1	1	lead-rtva-012__42__consell-general.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::Constitució	lead-rtva-012-marc-forne	Constitució	institucions	5	6	lead-rtva-012__43__constituci.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::Escaldes	lead-rtva-012-marc-forne	Escaldes	territorial	1	1	lead-rtva-012__20__escaldes.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::Massana	lead-rtva-012-marc-forne	Massana	territorial	1	3	lead-rtva-012__21__massana.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::Ordino	lead-rtva-012-marc-forne	Ordino	territorial	1	1	lead-rtva-012__22__ordino.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::a veure	lead-rtva-012-marc-forne	a veure	discurs	5	7	lead-rtva-012__02__a-veure.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::bueno	lead-rtva-012-marc-forne	bueno	discurs	2	3	lead-rtva-012__05__bueno.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::bé	lead-rtva-012-marc-forne	bé	discurs	16	19	lead-rtva-012__06__b.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::català	lead-rtva-012-marc-forne	català	sociolingüística	6	7	lead-rtva-012__53__catal.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::clar	lead-rtva-012-marc-forne	clar	discurs	15	21	lead-rtva-012__07__clar.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::comunals	lead-rtva-012-marc-forne	comunals	territorial	1	1	lead-rtva-012__27__comunals.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::comuns	lead-rtva-012-marc-forne	comuns	territorial	1	1	lead-rtva-012__28__comuns.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::conseller	lead-rtva-012-marc-forne	conseller	institucions	9	8	lead-rtva-012__37__conseller.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::de fet	lead-rtva-012-marc-forne	de fet	discurs	15	20	lead-rtva-012__08__de-fet.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::doncs	lead-rtva-012-marc-forne	doncs	discurs	5	6	lead-rtva-012__10__doncs.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::evidentment	lead-rtva-012-marc-forne	evidentment	discurs	1	1	lead-rtva-012__11__evidentment.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::francès	lead-rtva-012-marc-forne	francès	contacte	6	4	lead-rtva-012__54__franc-s.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::llavors	lead-rtva-012-marc-forne	llavors	discurs	14	13	lead-rtva-012__12__llavors.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::ministre	lead-rtva-012-marc-forne	ministre	institucions	5	6	lead-rtva-012__40__ministre.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::no?	lead-rtva-012-marc-forne	no?	discurs	27	34	lead-rtva-012__13__no.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::padrí	lead-rtva-012-marc-forne	padrí	territorial	2	2	lead-rtva-012__32__padr.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::per tant	lead-rtva-012-marc-forne	per tant	discurs	10	11	lead-rtva-012__15__per-tant.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::perquè	lead-rtva-012-marc-forne	perquè	discurs	60	67	lead-rtva-012__16__perqu.wav	consens textual; pendent d'audició
lead-rtva-012-marc-forne::vull dir	lead-rtva-012-marc-forne	vull dir	discurs	1	5	lead-rtva-012__17__vull-dir.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::Andorra	lead-rtva-013-pere-vilanova	Andorra	toponim	15	7	lead-rtva-013__42__andorra.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::Consell General	lead-rtva-013-pere-vilanova	Consell General	institucions	1	1	lead-rtva-013__39__consell-general.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::Constitució	lead-rtva-013-pere-vilanova	Constitució	institucions	17	13	lead-rtva-013__38__constituci.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::Tribunal Constitucional	lead-rtva-013-pere-vilanova	Tribunal Constitucional	institucions	3	2	lead-rtva-013__37__tribunal-constitucional.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::a veure	lead-rtva-013-pere-vilanova	a veure	discurs	19	2	lead-rtva-013__02__a-veure.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::administració	lead-rtva-013-pere-vilanova	administració	institucions	2	2	lead-rtva-013__48__administraci.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::bueno	lead-rtva-013-pere-vilanova	bueno	discurs	6	6	lead-rtva-013__05__bueno.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::bé	lead-rtva-013-pere-vilanova	bé	discurs	17	17	lead-rtva-013__06__b.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::castellà	lead-rtva-013-pere-vilanova	castellà	contacte	2	3	lead-rtva-013__53__castell.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::català	lead-rtva-013-pere-vilanova	català	sociolingüística	1	2	lead-rtva-013__51__catal.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::ciència política	lead-rtva-013-pere-vilanova	ciència política	acadèmia	4	5	lead-rtva-013__47__ci-ncia-pol-tica.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::clar	lead-rtva-013-pere-vilanova	clar	discurs	3	3	lead-rtva-013__07__clar.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::de fet	lead-rtva-013-pere-vilanova	de fet	discurs	1	1	lead-rtva-013__08__de-fet.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::doncs	lead-rtva-013-pere-vilanova	doncs	discurs	3	5	lead-rtva-013__10__doncs.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::dret	lead-rtva-013-pere-vilanova	dret	institucions	10	6	lead-rtva-013__46__dret.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::francès	lead-rtva-013-pere-vilanova	francès	contacte	4	1	lead-rtva-013__52__franc-s.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::jurista	lead-rtva-013-pere-vilanova	jurista	institucions	1	1	lead-rtva-013__45__jurista.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::llavors	lead-rtva-013-pere-vilanova	llavors	discurs	4	6	lead-rtva-013__12__llavors.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::magistrat	lead-rtva-013-pere-vilanova	magistrat	institucions	2	1	lead-rtva-013__36__magistrat.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::no?	lead-rtva-013-pere-vilanova	no?	discurs	10	11	lead-rtva-013__13__no.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::o sigui	lead-rtva-013-pere-vilanova	o sigui	discurs	3	1	lead-rtva-013__14__o-sigui.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::parròquia	lead-rtva-013-pere-vilanova	parròquia	territorial	2	1	lead-rtva-013__33__parr-quia.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::per tant	lead-rtva-013-pere-vilanova	per tant	discurs	8	9	lead-rtva-013__15__per-tant.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::perquè	lead-rtva-013-pere-vilanova	perquè	discurs	32	51	lead-rtva-013__16__perqu.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::universitat	lead-rtva-013-pere-vilanova	universitat	acadèmia	1	4	lead-rtva-013__49__universitat.wav	consens textual; pendent d'audició
lead-rtva-013-pere-vilanova::és a dir	lead-rtva-013-pere-vilanova	és a dir	discurs	5	1	lead-rtva-013__18__s-a-dir.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::Andorra	lead-rtva-014-joan-burgues	Andorra	toponim	22	12	lead-rtva-014__44__andorra.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::a veure	lead-rtva-014-joan-burgues	a veure	discurs	1	2	lead-rtva-014__02__a-veure.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::aleshores	lead-rtva-014-joan-burgues	aleshores	discurs	3	2	lead-rtva-014__03__aleshores.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::bueno	lead-rtva-014-joan-burgues	bueno	discurs	12	11	lead-rtva-014__05__bueno.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::bé	lead-rtva-014-joan-burgues	bé	discurs	21	27	lead-rtva-014__06__b.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::castellà	lead-rtva-014-joan-burgues	castellà	contacte	1	1	lead-rtva-014__52__castell.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::català	lead-rtva-014-joan-burgues	català	sociolingüística	10	11	lead-rtva-014__50__catal.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::cineasta	lead-rtva-014-joan-burgues	cineasta	cultura	3	2	lead-rtva-014__38__cineasta.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::cinema	lead-rtva-014-joan-burgues	cinema	cultura	13	11	lead-rtva-014__39__cinema.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::clar	lead-rtva-014-joan-burgues	clar	discurs	4	4	lead-rtva-014__07__clar.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::cultura	lead-rtva-014-joan-burgues	cultura	cultura	3	3	lead-rtva-014__42__cultura.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::de fet	lead-rtva-014-joan-burgues	de fet	discurs	2	3	lead-rtva-014__08__de-fet.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::diguem	lead-rtva-014-joan-burgues	diguem	discurs	2	1	lead-rtva-014__09__diguem.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::doncs	lead-rtva-014-joan-burgues	doncs	discurs	4	3	lead-rtva-014__10__doncs.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::exposició	lead-rtva-014-joan-burgues	exposició	cultura	3	2	lead-rtva-014__53__exposici.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::fotografia	lead-rtva-014-joan-burgues	fotografia	cultura	36	39	lead-rtva-014__36__fotografia.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::fotògraf	lead-rtva-014-joan-burgues	fotògraf	cultura	9	3	lead-rtva-014__37__fot-graf.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::francès	lead-rtva-014-joan-burgues	francès	contacte	3	1	lead-rtva-014__51__franc-s.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::llavors	lead-rtva-014-joan-burgues	llavors	discurs	1	3	lead-rtva-014__12__llavors.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::lletres	lead-rtva-014-joan-burgues	lletres	cultura	2	4	lead-rtva-014__41__lletres.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::no?	lead-rtva-014-joan-burgues	no?	discurs	30	36	lead-rtva-014__13__no.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::per tant	lead-rtva-014-joan-burgues	per tant	discurs	5	9	lead-rtva-014__15__per-tant.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::perquè	lead-rtva-014-joan-burgues	perquè	discurs	46	52	lead-rtva-014__16__perqu.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::vull dir	lead-rtva-014-joan-burgues	vull dir	discurs	8	8	lead-rtva-014__17__vull-dir.wav	consens textual; pendent d'audició
lead-rtva-014-joan-burgues::és a dir	lead-rtva-014-joan-burgues	és a dir	discurs	12	3	lead-rtva-014__18__s-a-dir.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::Andorra	lead-rtva-015-isidre-baro	Andorra	toponim	33	11	lead-rtva-015__43__andorra.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::Ordino	lead-rtva-015-isidre-baro	Ordino	territorial	4	2	lead-rtva-015__22__ordino.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::Pirineus	lead-rtva-015-isidre-baro	Pirineus	territori	2	2	lead-rtva-015__48__pirineus.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::a nivell	lead-rtva-015-isidre-baro	a nivell	discurs	2	3	lead-rtva-015__01__a-nivell.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::aleshores	lead-rtva-015-isidre-baro	aleshores	discurs	12	3	lead-rtva-015__03__aleshores.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::bueno	lead-rtva-015-isidre-baro	bueno	discurs	15	10	lead-rtva-015__05__bueno.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::bé	lead-rtva-015-isidre-baro	bé	discurs	15	26	lead-rtva-015__06__b.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::clar	lead-rtva-015-isidre-baro	clar	discurs	3	5	lead-rtva-015__07__clar.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::comuns	lead-rtva-015-isidre-baro	comuns	territorial	1	1	lead-rtva-015__28__comuns.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::comú	lead-rtva-015-isidre-baro	comú	territorial	1	2	lead-rtva-015__29__com.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::diguem	lead-rtva-015-isidre-baro	diguem	discurs	1	1	lead-rtva-015__09__diguem.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::doncs	lead-rtva-015-isidre-baro	doncs	discurs	11	3	lead-rtva-015__10__doncs.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::esport	lead-rtva-015-isidre-baro	esport	esport	10	10	lead-rtva-015__39__esport.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::esquí	lead-rtva-015-isidre-baro	esquí	esport	27	20	lead-rtva-015__52__esqu.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::evidentment	lead-rtva-015-isidre-baro	evidentment	discurs	1	1	lead-rtva-015__11__evidentment.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::federació	lead-rtva-015-isidre-baro	federació	esport	10	7	lead-rtva-015__53__federaci.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::honorari	lead-rtva-015-isidre-baro	honorari	institucions	1	2	lead-rtva-015__55__honorari.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::jocs olímpics	lead-rtva-015-isidre-baro	jocs olímpics	esport	6	5	lead-rtva-015__42__jocs-ol-mpics.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::llavors	lead-rtva-015-isidre-baro	llavors	discurs	3	5	lead-rtva-015__12__llavors.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::muntanya	lead-rtva-015-isidre-baro	muntanya	territori	2	1	lead-rtva-015__47__muntanya.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::no?	lead-rtva-015-isidre-baro	no?	discurs	17	17	lead-rtva-015__13__no.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::o sigui	lead-rtva-015-isidre-baro	o sigui	discurs	10	5	lead-rtva-015__14__o-sigui.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::olimpisme	lead-rtva-015-isidre-baro	olimpisme	esport	3	1	lead-rtva-015__36__olimpisme.wav	consens textual; pendent d'audició
lead-rtva-015-isidre-baro::olímpic	lead-rtva-015-isidre-baro	olímpic	esport	18	6	lead-rtva-015__37__ol-mpic.wav	consens textual; pendent d'audició
