forma	peces	parlants	comptatge_total	veredicte
o sigui	30	pa-001,pa-005,pa-006,pa-009,pa-014,pa-015,pa-016,pa-022,pa-024,pa-025,pa-026,pa-027,pa-029,pa-030,pa-034,pa-038,pa-040,pa-045,pa-046,pa-048,pa-049,pa-055,pa-056,pa-057,pa-059,pa-061,pa-062,pa-063,pa-064,pa-065	109	candidat compartit
llavors	47	pa-001,pa-002,pa-005,pa-006,pa-007,pa-009,pa-010,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-022,pa-023,pa-024,pa-026,pa-027,pa-028,pa-029,pa-030,pa-032,pa-033,pa-034,pa-036,pa-037,pa-038,pa-041,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-063,pa-064,pa-065,pa-066	245	candidat compartit
a veure	36	pa-001,pa-002,pa-007,pa-008,pa-011,pa-014,pa-016,pa-018,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-029,pa-030,pa-031,pa-032,pa-034,pa-035,pa-036,pa-038,pa-041,pa-045,pa-048,pa-049,pa-054,pa-055,pa-056,pa-057,pa-058,pa-060,pa-061,pa-063,pa-064,pa-065	109	candidat compartit
aviam	5	pa-003,pa-014,pa-016,pa-020,pa-049	9	candidat compartit
doncs	53	pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-043,pa-045,pa-046,pa-048,pa-049,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065	435	candidat compartit
perquè	61	pa-001,pa-002,pa-003,pa-004,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	1096	candidat compartit
a nivell	28	pa-001,pa-002,pa-003,pa-016,pa-017,pa-018,pa-019,pa-020,pa-023,pa-024,pa-026,pa-029,pa-033,pa-034,pa-036,pa-038,pa-045,pa-048,pa-049,pa-055,pa-057,pa-058,pa-059,pa-060,pa-061,pa-063,pa-065,pa-066	108	candidat compartit
tirar endavant	12	pa-003,pa-017,pa-020,pa-029,pa-030,pa-031,pa-033,pa-034,pa-041,pa-056,pa-057,pa-059	20	candidat compartit
ensenyança	2	pa-003,pa-041	2	pendent
reformeta	7	pa-002,pa-022,pa-025,pa-026,pa-034,pa-038,pa-055	10	candidat compartit
