origen	desti	relacio	pes	formes_compartides	evidencia
pa-002	pa-065	semblança textual provisional	5	a nivell,bé,clar,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-066	semblança textual provisional	7	a nivell,bé,crec,de fet,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-004	semblança textual provisional	4	bé,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-006	semblança textual provisional	4	bé,clar,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-007	semblança textual provisional	5	bé,clar,evidentment,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-008	semblança textual provisional	5	bé,clar,de fet,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-009	semblança textual provisional	4	bé,clar,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-010	semblança textual provisional	5	clar,crec,de fet,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-011	semblança textual provisional	5	bé,de fet,evidentment,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-013	semblança textual provisional	3	bé,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-014	semblança textual provisional	5	bé,clar,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-016	semblança textual provisional	8	a nivell,bé,clar,crec,de fet,evidentment,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-017	semblança textual provisional	6	a nivell,clar,evidentment,perquè,tirar endavant,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-018	semblança textual provisional	3	a nivell,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-019	semblança textual provisional	7	a nivell,bueno,bé,clar,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-020	semblança textual provisional	4	a nivell,bé,clar,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-021	semblança textual provisional	6	bueno,bé,crec,evidentment,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-022	semblança textual provisional	6	bé,clar,crec,evidentment,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-023	semblança textual provisional	6	a nivell,bueno,bé,de fet,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-024	semblança textual provisional	6	a nivell,clar,crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-025	semblança textual provisional	5	clar,crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-026	semblança textual provisional	3	a nivell,bé,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-027	semblança textual provisional	6	clar,crec,de fet,evidentment,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-028	semblança textual provisional	3	bé,clar,de fet	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-030	semblança textual provisional	6	bueno,bé,crec,evidentment,tirar endavant,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-031	semblança textual provisional	5	clar,crec,de fet,perquè,tirar endavant	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-032	semblança textual provisional	4	bueno,bé,clar,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-033	semblança textual provisional	6	bé,clar,de fet,perquè,tirar endavant,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-034	semblança textual provisional	5	a nivell,bé,crec,tirar endavant,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-035	semblança textual provisional	3	crec,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-036	semblança textual provisional	5	a nivell,bé,clar,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-037	semblança textual provisional	5	bueno,bé,clar,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-038	semblança textual provisional	6	a nivell,bueno,bé,clar,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-039	semblança textual provisional	4	bé,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-040	semblança textual provisional	4	crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-041	semblança textual provisional	8	bueno,bé,clar,crec,ensenyança,evidentment,perquè,tirar endavant	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-043	semblança textual provisional	3	bueno,crec,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-045	semblança textual provisional	5	a nivell,bé,clar,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-048	semblança textual provisional	4	a nivell,bé,crec,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-049	semblança textual provisional	6	bueno,bé,clar,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-051	semblança textual provisional	3	clar,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-052	semblança textual provisional	3	bueno,clar,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-055	semblança textual provisional	3	a nivell,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-056	semblança textual provisional	6	bé,clar,crec,evidentment,perquè,tirar endavant	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-057	semblança textual provisional	4	a nivell,bé,perquè,tirar endavant	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-058	semblança textual provisional	3	a nivell,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-059	semblança textual provisional	7	a nivell,bueno,clar,evidentment,perquè,tirar endavant,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-060	semblança textual provisional	5	a nivell,crec,de fet,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-061	semblança textual provisional	5	a nivell,bueno,bé,crec,evidentment	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-062	semblança textual provisional	4	bueno,crec,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-063	semblança textual provisional	5	a nivell,bé,clar,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-064	semblança textual provisional	5	bé,clar,crec,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-065	semblança textual provisional	7	a nivell,bueno,bé,clar,crec,perquè,és a dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-003	pa-066	semblança textual provisional	7	a nivell,bueno,bé,crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-006	semblança textual provisional	3	bé,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-007	semblança textual provisional	3	bé,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-008	semblança textual provisional	3	bé,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-009	semblança textual provisional	3	bé,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-011	semblança textual provisional	4	bé,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-014	semblança textual provisional	4	bé,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-016	semblança textual provisional	5	bé,de fet,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-017	semblança textual provisional	3	evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-019	semblança textual provisional	3	bé,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-021	semblança textual provisional	4	bé,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-022	semblança textual provisional	4	bé,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-023	semblança textual provisional	4	bé,de fet,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-024	semblança textual provisional	3	de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-025	semblança textual provisional	3	de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-026	semblança textual provisional	3	bé,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-027	semblança textual provisional	3	de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-030	semblança textual provisional	3	bé,evidentment,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-032	semblança textual provisional	3	bé,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-033	semblança textual provisional	4	bé,de fet,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-036	semblança textual provisional	4	bé,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-037	semblança textual provisional	3	bé,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-038	semblança textual provisional	3	bé,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-039	semblança textual provisional	3	bé,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-040	semblança textual provisional	3	de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-041	semblança textual provisional	4	bé,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-045	semblança textual provisional	3	bé,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-049	semblança textual provisional	4	bé,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-055	semblança textual provisional	3	evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-056	semblança textual provisional	4	bé,evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-059	semblança textual provisional	3	evidentment,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-060	semblança textual provisional	3	de fet,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-061	semblança textual provisional	3	bé,evidentment,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-063	semblança textual provisional	3	bé,perquè,vull dir	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-004	pa-066	semblança textual provisional	4	bé,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-006	semblança textual provisional	3	bé,doncs,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-007	semblança textual provisional	3	bé,doncs,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-009	semblança textual provisional	3	bé,doncs,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-015	semblança textual provisional	3	bé,doncs,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-016	semblança textual provisional	4	bé,doncs,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-028	semblança textual provisional	3	bé,doncs,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-030	semblança textual provisional	4	bé,doncs,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-037	semblança textual provisional	3	bé,doncs,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-038	semblança textual provisional	4	bé,doncs,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-045	semblança textual provisional	4	bé,doncs,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-046	semblança textual provisional	3	bé,doncs,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-048	semblança textual provisional	4	bé,doncs,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-049	semblança textual provisional	3	bé,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-056	semblança textual provisional	3	bé,doncs,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-057	semblança textual provisional	3	bé,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-061	semblança textual provisional	3	bé,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-063	semblança textual provisional	4	bé,doncs,llavors,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-005	pa-065	semblança textual provisional	3	bé,doncs,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-007	semblança textual provisional	5	bé,clar,diguem,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-008	semblança textual provisional	5	aleshores,bé,clar,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-009	semblança textual provisional	5	bé,clar,doncs,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-010	semblança textual provisional	4	clar,de fet,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-011	semblança textual provisional	4	bé,de fet,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-012	semblança textual provisional	3	aleshores,bé,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-013	semblança textual provisional	3	bé,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-014	semblança textual provisional	4	bé,clar,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-015	semblança textual provisional	3	bé,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-016	semblança textual provisional	6	bé,clar,de fet,doncs,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-017	semblança textual provisional	3	clar,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-019	semblança textual provisional	4	bé,clar,diguem,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-020	semblança textual provisional	5	bé,clar,diguem,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-021	semblança textual provisional	3	bé,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-022	semblança textual provisional	4	bé,clar,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-023	semblança textual provisional	3	bé,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-024	semblança textual provisional	3	clar,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-025	semblança textual provisional	6	aleshores,clar,de fet,diguem,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-026	semblança textual provisional	3	bé,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-027	semblança textual provisional	4	clar,de fet,diguem,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-028	semblança textual provisional	4	bé,clar,de fet,doncs	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-030	semblança textual provisional	4	aleshores,bé,doncs,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-031	semblança textual provisional	5	aleshores,clar,de fet,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-032	semblança textual provisional	5	aleshores,bé,clar,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-033	semblança textual provisional	5	bé,clar,de fet,diguem,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-036	semblança textual provisional	4	bé,clar,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-037	semblança textual provisional	5	bé,clar,diguem,doncs,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-038	semblança textual provisional	5	bé,clar,doncs,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-041	semblança textual provisional	3	bé,clar,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-045	semblança textual provisional	5	bé,clar,doncs,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-046	semblança textual provisional	4	aleshores,bé,diguem,doncs	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-048	semblança textual provisional	3	bé,doncs,o sigui	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-006	pa-049	semblança textual provisional	6	aleshores,bé,clar,diguem,o sigui,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
