id_persona	forma	relacio	pes
pa-064	clar	consens-ASR-small-base	1
pa-065	clar	consens-ASR-small-base	1
pa-001	crec	consens-ASR-small-base	1
pa-002	crec	consens-ASR-small-base	1
pa-003	crec	consens-ASR-small-base	1
pa-014	crec	consens-ASR-small-base	1
pa-018	crec	consens-ASR-small-base	1
pa-019	crec	consens-ASR-small-base	1
pa-021	crec	consens-ASR-small-base	1
pa-022	crec	consens-ASR-small-base	1
pa-024	crec	consens-ASR-small-base	1
pa-025	crec	consens-ASR-small-base	1
pa-027	crec	consens-ASR-small-base	1
pa-030	crec	consens-ASR-small-base	1
pa-031	crec	consens-ASR-small-base	1
pa-035	crec	consens-ASR-small-base	1
pa-038	crec	consens-ASR-small-base	1
pa-039	crec	consens-ASR-small-base	1
pa-040	crec	consens-ASR-small-base	1
pa-041	crec	consens-ASR-small-base	1
pa-043	crec	consens-ASR-small-base	1
pa-048	crec	consens-ASR-small-base	1
pa-049	crec	consens-ASR-small-base	1
pa-051	crec	consens-ASR-small-base	1
pa-056	crec	consens-ASR-small-base	1
pa-061	crec	consens-ASR-small-base	1
pa-062	crec	consens-ASR-small-base	1
pa-063	crec	consens-ASR-small-base	1
pa-064	crec	consens-ASR-small-base	1
pa-066	crec	consens-ASR-small-base	1
pa-003	de fet	consens-ASR-small-base	1
pa-004	de fet	consens-ASR-small-base	1
pa-006	de fet	consens-ASR-small-base	1
pa-010	de fet	consens-ASR-small-base	1
pa-011	de fet	consens-ASR-small-base	1
pa-024	de fet	consens-ASR-small-base	1
pa-027	de fet	consens-ASR-small-base	1
pa-028	de fet	consens-ASR-small-base	1
pa-031	de fet	consens-ASR-small-base	1
pa-033	de fet	consens-ASR-small-base	1
pa-040	de fet	consens-ASR-small-base	1
pa-060	de fet	consens-ASR-small-base	1
pa-007	diguem	consens-ASR-small-base	1
pa-018	diguem	consens-ASR-small-base	1
pa-019	diguem	consens-ASR-small-base	1
pa-025	diguem	consens-ASR-small-base	1
pa-034	diguem	consens-ASR-small-base	1
pa-037	diguem	consens-ASR-small-base	1
pa-046	diguem	consens-ASR-small-base	1
pa-057	diguem	consens-ASR-small-base	1
pa-058	diguem	consens-ASR-small-base	1
pa-062	diguem	consens-ASR-small-base	1
pa-005	doncs	consens-ASR-small-base	1
pa-009	doncs	consens-ASR-small-base	1
pa-010	doncs	consens-ASR-small-base	1
pa-015	doncs	consens-ASR-small-base	1
pa-016	doncs	consens-ASR-small-base	1
pa-017	doncs	consens-ASR-small-base	1
pa-021	doncs	consens-ASR-small-base	1
pa-028	doncs	consens-ASR-small-base	1
pa-030	doncs	consens-ASR-small-base	1
pa-032	doncs	consens-ASR-small-base	1
pa-046	doncs	consens-ASR-small-base	1
pa-048	doncs	consens-ASR-small-base	1
pa-065	doncs	consens-ASR-small-base	1
pa-001	evidentment	consens-ASR-small-base	1
pa-002	evidentment	consens-ASR-small-base	1
pa-003	evidentment	consens-ASR-small-base	1
pa-004	evidentment	consens-ASR-small-base	1
pa-007	evidentment	consens-ASR-small-base	1
pa-009	evidentment	consens-ASR-small-base	1
pa-014	evidentment	consens-ASR-small-base	1
pa-016	evidentment	consens-ASR-small-base	1
pa-022	evidentment	consens-ASR-small-base	1
pa-025	evidentment	consens-ASR-small-base	1
pa-027	evidentment	consens-ASR-small-base	1
pa-030	evidentment	consens-ASR-small-base	1
pa-036	evidentment	consens-ASR-small-base	1
pa-040	evidentment	consens-ASR-small-base	1
pa-041	evidentment	consens-ASR-small-base	1
pa-045	evidentment	consens-ASR-small-base	1
pa-055	evidentment	consens-ASR-small-base	1
pa-056	evidentment	consens-ASR-small-base	1
pa-061	evidentment	consens-ASR-small-base	1
pa-007	llavors	consens-ASR-small-base	1
pa-010	llavors	consens-ASR-small-base	1
pa-037	llavors	consens-ASR-small-base	1
pa-063	llavors	consens-ASR-small-base	1
pa-009	o sigui	consens-ASR-small-base	1
pa-014	o sigui	consens-ASR-small-base	1
pa-022	o sigui	consens-ASR-small-base	1
pa-045	o sigui	consens-ASR-small-base	1
pa-048	o sigui	consens-ASR-small-base	1
pa-049	o sigui	consens-ASR-small-base	1
pa-063	o sigui	consens-ASR-small-base	1
pa-065	o sigui	consens-ASR-small-base	1
pa-001	perquè	consens-ASR-small-base	1
pa-002	perquè	consens-ASR-small-base	1
pa-003	perquè	consens-ASR-small-base	1
pa-004	perquè	consens-ASR-small-base	1
pa-007	perquè	consens-ASR-small-base	1
pa-009	perquè	consens-ASR-small-base	1
pa-014	perquè	consens-ASR-small-base	1
pa-015	perquè	consens-ASR-small-base	1
pa-016	perquè	consens-ASR-small-base	1
pa-017	perquè	consens-ASR-small-base	1
pa-018	perquè	consens-ASR-small-base	1
pa-019	perquè	consens-ASR-small-base	1
pa-020	perquè	consens-ASR-small-base	1
pa-025	perquè	consens-ASR-small-base	1
pa-026	perquè	consens-ASR-small-base	1
pa-027	perquè	consens-ASR-small-base	1
pa-032	perquè	consens-ASR-small-base	1
pa-035	perquè	consens-ASR-small-base	1
pa-036	perquè	consens-ASR-small-base	1
pa-037	perquè	consens-ASR-small-base	1
pa-038	perquè	consens-ASR-small-base	1
pa-040	perquè	consens-ASR-small-base	1
pa-041	perquè	consens-ASR-small-base	1
pa-042	perquè	consens-ASR-small-base	1
pa-045	perquè	consens-ASR-small-base	1
pa-049	perquè	consens-ASR-small-base	1
pa-051	perquè	consens-ASR-small-base	1
pa-053	perquè	consens-ASR-small-base	1
pa-054	perquè	consens-ASR-small-base	1
pa-055	perquè	consens-ASR-small-base	1
pa-056	perquè	consens-ASR-small-base	1
pa-058	perquè	consens-ASR-small-base	1
pa-059	perquè	consens-ASR-small-base	1
pa-062	perquè	consens-ASR-small-base	1
pa-064	perquè	consens-ASR-small-base	1
pa-065	perquè	consens-ASR-small-base	1
pa-066	perquè	consens-ASR-small-base	1
pa-022	reformeta	consens-ASR-small-base	1
pa-025	reformeta	consens-ASR-small-base	1
pa-026	reformeta	consens-ASR-small-base	1
pa-034	reformeta	consens-ASR-small-base	1
pa-038	reformeta	consens-ASR-small-base	1
pa-055	reformeta	consens-ASR-small-base	1
pa-003	tirar endavant	consens-ASR-small-base	1
pa-029	tirar endavant	consens-ASR-small-base	1
pa-030	tirar endavant	consens-ASR-small-base	1
pa-033	tirar endavant	consens-ASR-small-base	1
pa-034	tirar endavant	consens-ASR-small-base	1
pa-041	tirar endavant	consens-ASR-small-base	1
pa-056	tirar endavant	consens-ASR-small-base	1
pa-057	tirar endavant	consens-ASR-small-base	1
pa-059	tirar endavant	consens-ASR-small-base	1
pa-004	vull dir	consens-ASR-small-base	1
pa-014	vull dir	consens-ASR-small-base	1
pa-017	vull dir	consens-ASR-small-base	1
pa-021	vull dir	consens-ASR-small-base	1
pa-030	vull dir	consens-ASR-small-base	1
pa-037	vull dir	consens-ASR-small-base	1
pa-038	vull dir	consens-ASR-small-base	1
pa-041	vull dir	consens-ASR-small-base	1
pa-048	vull dir	consens-ASR-small-base	1
pa-056	vull dir	consens-ASR-small-base	1
pa-058	vull dir	consens-ASR-small-base	1
pa-059	vull dir	consens-ASR-small-base	1
pa-003	és a dir	consens-ASR-small-base	1
pa-008	és a dir	consens-ASR-small-base	1
pa-010	és a dir	consens-ASR-small-base	1
pa-011	és a dir	consens-ASR-small-base	1
pa-017	és a dir	consens-ASR-small-base	1
pa-027	és a dir	consens-ASR-small-base	1
pa-033	és a dir	consens-ASR-small-base	1
pa-059	és a dir	consens-ASR-small-base	1
pa-062	és a dir	consens-ASR-small-base	1
