expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-rtva-014-joan-burgues	small	6832	1463	0.2141	0.1177	bé=21;bueno=12;clar=4;doncs=4;llavors=1;aleshores=3;de fet=2;és a dir=12;vull dir=8;a veure=1;diguem=2;per tant=5;no?=30	Escaldes=2	castellà=1;espanyol=6;espanyola=1;francès=3;francesa=1	842	186	73	180	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-014-joan-burgues	base	7138	1631	0.2285	0.0651	bé=27;bueno=11;clar=4;doncs=3;llavors=3;aleshores=2;de fet=3;és a dir=3;o sigui=1;vull dir=8;a veure=2;diguem=1;per tant=9;no?=36		castellà=1;espanyol=7;espanyola=1;francès=1;francesa=1	844	184	75	162	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-015-isidre-baro	small	6873	1540	0.2241	0.0915	bé=15;bueno=15;clar=3;doncs=11;llavors=3;aleshores=12;o sigui=10;vull dir=1;a veure=1;diguem=1;evidentment=1;a nivell=2;no?=17	comú=1;comuns=1;Ordino=4;Escaldes=1;Constitució=1;principat=1	espanyol=4;espanyola=3;francès=3;francesa=4	841	238	30	143	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-015-isidre-baro	base	7035	1656	0.2354	0.1049	bé=26;bueno=10;clar=5;doncs=3;llavors=5;aleshores=3;o sigui=5;vull dir=1;diguem=1;evidentment=1;per tant=3;a nivell=3;no?=17	comú=2;comuns=1;Ordino=2;Constitució=1	espanyol=6;espanyola=1;francesa=4	874	187	30	188	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-016-josep-areny	small	9233	1502	0.1627	0.1767	bé=35;bueno=42;clar=22;doncs=50;llavors=2;aleshores=12;de fet=1;és a dir=31;o sigui=1;a veure=22;aviam=1;diguem=2;evidentment=5;per tant=2;a nivell=1;no?=42	parròquia=1;comú=7;copríncep=1;padrí=8;Canillo=9;Escaldes=1;Constitució=6	espanyol=11;espanyola=1;francès=2	1092	191	92	202	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-016-josep-areny	base	10054	1579	0.1571	0.2972	bé=32;bueno=42;clar=18;doncs=62;llavors=3;aleshores=3;de fet=1;és a dir=28;o sigui=1;a veure=15;diguem=1;evidentment=7;per tant=3;a nivell=1;no?=32	parròquia=4;comú=6;padrí=1;Escaldes=1;Constitució=5	espanyola=1;francès=2	1422	167	89	239	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-017-simo-duro	small	8693	1844	0.2121	0.0736	bé=25;bueno=3;clar=12;doncs=51;llavors=12;de fet=2;és a dir=11;o sigui=2;vull dir=3;a veure=1;diguem=5;evidentment=6;per tant=6;a nivell=14;no?=7	andorrana=1;parròquia=3;copríncep=2;bordes=4;aiguat=2;padrí=3;Ordino=10;Escaldes=2;Sant Julià=5;Constitució=2;principat=1	francès=4;francesa=1	1127	160	43	205	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-017-simo-duro	base	10201	1734	0.1700	0.4335	bé=19;bueno=4;clar=7;doncs=52;llavors=1;de fet=1;és a dir=8;o sigui=1;vull dir=3;a veure=1;diguem=4;evidentment=5;per tant=5;a nivell=12;no?=10	andorrana=1;parròquia=1;bordes=4;Encamp=1;Ordino=5;Sant Julià=2;Constitució=2	francesa=1	1548	111	53	374	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-018-ricard-fiter	small	7106	1541	0.2169	0.1368	bé=20;bueno=15;clar=20;doncs=3;llavors=10;de fet=2;és a dir=20;o sigui=1;a veure=4;diguem=2;per tant=5;a nivell=3;no?=28	andorrana=1;comú=4;Sant Julià=7;Constitució=2	espanyol=1;espanyola=2;francès=1;francesa=2	830	153	62	167	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-018-ricard-fiter	base	7689	1567	0.2038	0.2744	bé=33;bueno=9;clar=19;doncs=4;llavors=2;de fet=4;és a dir=5;a veure=4;diguem=1;per tant=6;a nivell=2;no?=21	andorrana=1;comú=4;Sant Julià=1;Constitució=1	espanyol=2;espanyola=1;francès=1;francesa=2	1077	113	42	327	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-019-lisa-cruz	small	4618	1154	0.2499	0.1091	bé=4;bueno=1;clar=5;doncs=2;llavors=8;de fet=4;o sigui=2;a veure=2;per tant=4;a nivell=1;no?=4	comú=3;comuns=4		509	14	22	85	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-019-lisa-cruz	base	5578	1029	0.1845	0.6362	bé=2;bueno=3;clar=1;doncs=2;llavors=8;de fet=3;o sigui=1;a veure=1;per tant=2;no?=3	comú=2;comuns=1		667	14	20	117	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-020-monica-bonell	small	5604	1318	0.2352	0.0584	bé=19;bueno=9;clar=6;doncs=37;llavors=4;de fet=2;és a dir=1;o sigui=2;vull dir=1;a veure=9;diguem=1;evidentment=1;per tant=7;a nivell=2;no?=17	andorrana=2;parròquia=1;comú=1;comuns=1;comunal=2;Canillo=1;Encamp=2;Ordino=1	espanyola=1	597	31	50	108	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-020-monica-bonell	base	5700	1346	0.2361	0.1125	bé=20;bueno=7;clar=3;doncs=35;llavors=4;de fet=1;a veure=6;diguem=1;evidentment=1;per tant=6;a nivell=2;no?=15	parròquia=1;comú=4;comuns=1;Ordino=1	espanyola=1	596	30	52	105	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-021-bonaventura-riberaygua	small	6310	1273	0.2017	0.1366	bé=24;bueno=7;clar=9;doncs=6;llavors=10;de fet=3;és a dir=6;o sigui=3;vull dir=1;a veure=2;diguem=6;evidentment=6;per tant=3;a nivell=1;no?=30	Escaldes=2;Constitució=4	espanyol=1;espanyola=1;francès=3	678	94	39	293	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-021-bonaventura-riberaygua	base	6554	1373	0.2095	0.1596	bé=22;bueno=5;clar=8;doncs=7;llavors=2;aleshores=1;de fet=4;és a dir=6;o sigui=3;vull dir=2;a veure=3;diguem=5;evidentment=6;per tant=4;a nivell=1;no?=35	Escaldes=1;Constitució=2	espanyol=1;espanyola=1;francès=1	764	141	40	285	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-022-josep-marsal	small	7306	1461	0.2000	0.1701	bé=15;bueno=9;clar=7;doncs=1;llavors=9;aleshores=1;de fet=1;és a dir=2;o sigui=3;a veure=5;diguem=1;evidentment=1;per tant=4;no?=23	comú=3;comuns=1;bordes=3;padrí=3;Massana=2;Constitució=7	espanyol=3;espanyola=3;francès=12;francesa=10	902	210	44	231	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-022-josep-marsal	base	8117	1575	0.1940	0.2873	bé=21;bueno=12;clar=9;doncs=2;llavors=10;aleshores=2;de fet=3;és a dir=2;o sigui=2;a veure=4;diguem=2;evidentment=2;per tant=5;no?=20	parròquia=5;comú=1;comuns=2;bordes=3;padrí=3;Constitució=7	espanyol=4;espanyola=3;francès=3;francesa=10	950	172	40	800	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-023-josep-maria-cases	small	8177	1616	0.1976	0.0779	bé=40;bueno=20;clar=13;doncs=9;llavors=6;de fet=2;o sigui=8;vull dir=3;a veure=8;aviam=2;diguem=5;per tant=12;a nivell=4;no?=45	comú=1;Ordino=1;principat=1	anglès=1	851	177	78	276	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-023-josep-maria-cases	base	8862	1605	0.1811	0.2934	bé=31;bueno=16;clar=11;doncs=2;llavors=2;o sigui=3;vull dir=1;a veure=33;diguem=5;per tant=9;a nivell=1;no?=38	comú=1;Ordino=1	espanyol=1	964	169	68	314	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-024-denisa-font	small	8418	1677	0.1992	0.0958	bé=26;bueno=9;clar=12;doncs=5;llavors=1;aleshores=9;de fet=1;és a dir=2;o sigui=2;vull dir=4;a veure=7;diguem=1;per tant=2;a nivell=1;no?=25	parròquia=2;comú=11;vegueria=1;comunal=1;comunals=1;bordes=1;ramat=1;pastura=1;padrí=7;Canillo=26	espanyol=3;espanyola=2;francès=13;francesa=15;anglès=2;barbarisme=2	906	201	57	459	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-024-denisa-font	base	9114	1864	0.2045	0.1729	bé=23;bueno=10;clar=8;doncs=7;llavors=1;de fet=1;és a dir=2;o sigui=1;vull dir=3;a veure=6;per tant=7;a nivell=3;no?=32	comú=9;vegueria=1;comunal=1;comunals=1;bordes=2;pastura=1;Canillo=8	espanyol=3;espanyola=2;francesa=13;anglès=1;barbarisme=2	1221	169	46	496	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-025-albert-gelabert	small	8731	1803	0.2065	0.1511	bé=17;bueno=5;clar=15;doncs=8;llavors=2;aleshores=28;de fet=2;és a dir=1;o sigui=33;vull dir=9;a veure=30;diguem=3;evidentment=3;per tant=14;a nivell=17;no?=28	andorrana=1;parròquia=5;comú=1;comuns=1;comunals=1;Escaldes=2;Massana=4;Sant Julià=1;Constitució=20;principat=3	espanyol=4;espanyola=3;francès=5;francesa=3	1062	200	31	263	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-025-albert-gelabert	base	9230	1952	0.2115	0.1532	bé=20;bueno=2;clar=14;doncs=4;llavors=4;aleshores=10;de fet=1;és a dir=1;o sigui=31;a veure=27;diguem=3;evidentment=3;per tant=18;a nivell=13;no?=32	andorrana=1;parròquia=5;comú=1;comuns=1;comunals=1;Ordino=1;Escaldes=3;Massana=2;Constitució=20	espanyol=2;espanyola=1	1224	126	22	334	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-026-rosa-maria-mandico	small	8202	1409	0.1718	0.2016	bé=57;bueno=26;clar=39;doncs=22;llavors=15;de fet=1;és a dir=21;vull dir=85;a veure=6;diguem=9;per tant=38;a nivell=6;no?=85	andorrana=3;parròquia=2;comú=5;comunal=2;Canillo=14;Sant Julià=1;Constitució=3	espanyol=2;espanyola=1;francès=3;francesa=5	848	168	53	456	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-026-rosa-maria-mandico	base	8395	1568	0.1868	0.1380	bé=53;bueno=26;clar=37;doncs=7;llavors=8;de fet=2;és a dir=15;vull dir=64;a veure=3;diguem=6;per tant=43;a nivell=8;no?=87	parròquia=1;comú=6;comunal=2;Canillo=4;Sant Julià=1;Constitució=3	espanyol=2;espanyola=1;francesa=6	898	186	57	278	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-027-jordi-guillamet	small	8519	1825	0.2142	0.2200	bé=12;bueno=7;clar=11;doncs=6;llavors=8;aleshores=1;de fet=2;és a dir=1;o sigui=1;vull dir=2;a veure=7;aviam=1;diguem=1;evidentment=3;per tant=13;a nivell=1;no?=26	Escaldes=1;Constitució=1;coprincipat=1;principat=1	espanyol=9;espanyola=3;francès=2;francesa=1;anglès=1	1025	215	48	216	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-027-jordi-guillamet	base	9606	2116	0.2203	0.1838	bé=14;bueno=6;clar=14;doncs=11;llavors=6;de fet=1;és a dir=1;vull dir=1;a veure=8;evidentment=3;per tant=17;a nivell=1;no?=28	comú=1;Constitució=1	espanyola=3;francès=1	1129	203	54	430	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-028-pere-besoli	small	9194	1682	0.1829	0.0964	bé=25;bueno=20;clar=10;doncs=10;llavors=73;de fet=1;és a dir=1;o sigui=10;vull dir=4;a veure=7;diguem=2;evidentment=5;per tant=3;no?=26	andorrana=1;comú=3;copríncep=4;Escaldes=1	castellà=2;espanyol=1;espanyola=4;francès=9;francesa=6	1014	261	84	234	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-028-pere-besoli	base	9953	1813	0.1822	0.1947	bé=27;bueno=18;clar=11;doncs=5;llavors=36;de fet=3;és a dir=1;o sigui=7;vull dir=6;a veure=5;diguem=1;evidentment=5;per tant=65;no?=23	comú=1;Escaldes=1	castellà=2;espanyol=2;espanyola=3;francès=5;francesa=7	1115	274	72	566	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-029-angelina-mas	small	8188	1641	0.2004	0.0802	bé=19;bueno=6;clar=38;doncs=19;llavors=22;de fet=2;és a dir=3;o sigui=1;vull dir=24;a veure=3;aviam=6;diguem=1;per tant=2;no?=12	comú=5;copríncep=2;comunal=2;Canillo=1;Escaldes=2;principat=1	espanyol=1;espanyola=2;francès=1;francesa=5	908	191	110	358	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-029-angelina-mas	base	8611	1659	0.1927	0.1648	bé=21;bueno=10;clar=25;doncs=10;llavors=18;de fet=2;és a dir=2;vull dir=15;a veure=3;aviam=10;evidentment=1;per tant=3;no?=11	comú=4;Canillo=1;Escaldes=1	espanyol=2;francès=1;francesa=5	1219	160	98	413	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-030-casimir-arajol	small	7916	1613	0.2038	0.0887	bé=21;bueno=6;clar=10;doncs=6;llavors=8;de fet=2;o sigui=3;vull dir=2;a veure=7;aviam=1;diguem=2;evidentment=1;per tant=2;a nivell=1;no?=21	andorrana=2;Constitució=1;principat=1	espanyol=3;francès=4	988	265	130	262	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-030-casimir-arajol	base	10554	1416	0.1342	0.8393	bé=13;bueno=7;clar=8;doncs=2;llavors=1;a veure=3;diguem=1;per tant=1;no?=15	comú=1;comunal=2		1536	295	151	361	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-031-ramon-rossell	small	9418	1983	0.2106	0.1109	bé=11;bueno=1;clar=3;doncs=37;llavors=27;aleshores=12;de fet=2;és a dir=14;o sigui=2;vull dir=5;a veure=8;diguem=1;evidentment=1;per tant=5;no?=19	andorrana=1;parròquia=1;bordes=1;santuari=3;Canillo=20;Escaldes=1;Sant Julià=1	espanyol=1;francès=7;francesa=1	1074	232	85	128	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-031-ramon-rossell	base	10047	2165	0.2155	0.1419	bé=20;bueno=5;clar=2;doncs=53;llavors=16;aleshores=3;de fet=1;és a dir=3;o sigui=1;vull dir=3;a veure=3;aviam=2;diguem=4;evidentment=1;per tant=8;no?=22	parròquia=1;comú=2;santuari=1;Canillo=3;Escaldes=1;Sant Julià=1	castellà=1;espanyol=2;francesa=3	1253	167	89	402	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-032-anna-riberaygua	small	9669	1891	0.1956	0.0856	bé=19;bueno=7;clar=12;doncs=15;llavors=20;de fet=3;o sigui=16;vull dir=4;a veure=1;aviam=4;evidentment=1;per tant=9;no?=45	andorrana=6;comú=1;comuns=1;Canillo=1;Constitució=2	espanyol=3;espanyola=1;francès=3;francesa=3	1080	150	89	306	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-032-anna-riberaygua	base	10782	1824	0.1692	0.3620	bé=19;bueno=3;clar=7;doncs=10;llavors=7;de fet=1;o sigui=12;vull dir=2;a veure=19;aviam=3;diguem=1;evidentment=2;per tant=11;no?=33	andorrana=3;comú=2;Escaldes=1;Constitució=2	espanyol=3;espanyola=1;francès=1;francesa=3	1384	192	72	422	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-033-david-montane	small	749	337	0.4499	0.0536	bé=1;clar=2;doncs=1;és a dir=2	comuns=3;comunals=1;principat=1		93	4	0	5	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-033-david-montane	base	884	358	0.4050	0.1887	clar=2;doncs=1;és a dir=2	comuns=3		123	4	0	29	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-034-antoni-marti	small	4245	772	0.1819	0.6797	bé=2;és a dir=1;a veure=1;evidentment=1;per tant=6;a nivell=8	andorrana=2;copríncep=2;Constitució=4	espanyol=37;francès=2	560	22	15	156	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-034-antoni-marti	base	4593	960	0.2090	0.4383	bé=8;clar=3;doncs=3;és a dir=1;a veure=1;evidentment=4;per tant=3;a nivell=11;no?=4	Constitució=5	espanyol=8	544	15	24	250	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-035-cerni-escale	small	8862	1794	0.2024	0.1743	bé=7;bueno=2;clar=3;doncs=23;llavors=7;aleshores=21;de fet=4;és a dir=10;vull dir=1;a veure=1;evidentment=4;per tant=23;a nivell=9;no?=5	andorrana=3;comú=7;copríncep=2;comunals=1;Escaldes=1;Constitució=2	castellà=2;espanyol=20;espanyola=3;francès=1;francesa=3	1102	56	45	127	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-035-cerni-escale	base	9209	2144	0.2328	0.0829	bé=12;bueno=1;doncs=48;llavors=6;aleshores=6;de fet=3;és a dir=12;evidentment=5;per tant=19;a nivell=13;no?=9	parròquia=1;comú=9;comuns=1;comunals=1;Constitució=2	castellà=2;espanyol=9;espanyola=1;francesa=2	1117	68	50	106	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-036-xavier-espot	small	6786	1461	0.2153	0.1458	bé=8;clar=1;doncs=18;de fet=1;és a dir=12;o sigui=1;a veure=5;diguem=5;evidentment=10;per tant=45	parròquia=2;comú=1;comuns=1;Encamp=3;Ordino=2;Sant Julià=9;principat=1		698	29	85	99	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-036-xavier-espot	base	6797	1499	0.2205	0.1574	bé=8;clar=1;doncs=31;de fet=1;és a dir=10;o sigui=1;a veure=3;diguem=7;evidentment=10;per tant=43;no?=10	parròquia=2;comú=1;comuns=1;Ordino=3;Sant Julià=9		723	26	80	118	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-037-oscar-ribas	small	2587	740	0.2860	0.0590	bé=4;bueno=4;doncs=1;llavors=1;o sigui=3;a veure=3;evidentment=3;per tant=1;a nivell=1	comú=4	espanyol=2;francès=1;francesa=3	344	114	28	57	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-037-oscar-ribas	base	2695	793	0.2942	0.0475	bé=9;bueno=2;doncs=3;llavors=1;és a dir=1;o sigui=2;a veure=5;evidentment=2;per tant=1	comú=2	espanyol=1;francesa=1	382	123	16	64	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-038-conxita-marsol	small	1532	534	0.3486	0.0820	bé=4;bueno=2;doncs=1;per tant=1;no?=4	comú=1		163	3	2	29	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-038-conxita-marsol	base	1469	516	0.3513	0.0899	bé=5;bueno=2;doncs=3;per tant=1;no?=2			166	0	3	29	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-039-marta-roure	small	3120	782	0.2506	0.1057	bé=14;bueno=8;clar=20;doncs=5;llavors=7;aleshores=1;de fet=2;o sigui=4;vull dir=1;a veure=2;evidentment=2;per tant=7;a nivell=3;no?=15	andorrana=1	castellà=1;espanyol=1;francès=1;anglès=3	331	86	33	100	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-039-marta-roure	base	3265	862	0.2640	0.0859	bé=11;bueno=12;clar=16;doncs=7;llavors=3;de fet=1;o sigui=2;a veure=1;per tant=12;a nivell=2;no?=23		anglès=1	350	72	34	131	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-040-guillem-forne	small	6151	1471	0.2391	0.0742	bé=24;bueno=11;clar=7;doncs=2;llavors=1;de fet=6;és a dir=12;o sigui=2;vull dir=2;a veure=3;aviam=3;diguem=1;a nivell=6;no?=1	parròquia=3;comú=1;Ordino=1;Massana=20;Sant Julià=4	francesa=1	674	43	35	130	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-040-guillem-forne	base	6256	1534	0.2452	0.0858	bé=21;bueno=18;clar=6;doncs=4;de fet=6;és a dir=10;o sigui=1;vull dir=2;a veure=4;aviam=4;diguem=1;a nivell=6;no?=5	parròquia=3;Ordino=1;Massana=7;Sant Julià=1	francesa=1	670	39	42	238	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-041-guillem-areny	small	991	330	0.3330	0.0488	bé=5;bueno=5;doncs=1;aleshores=1;és a dir=1;o sigui=1;vull dir=1;a veure=1	Escaldes=4		133	42	16	51	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-041-guillem-areny	base	1009	335	0.3320	0.1315	bé=3;bueno=3;llavors=2;aleshores=1;no?=1			136	33	13	54	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-042-andreu-gonzalez	small	3317	1005	0.3030	0.0366	bé=11;bueno=2;clar=9;doncs=8;llavors=4;de fet=2;o sigui=1;a veure=1;evidentment=2;per tant=1;a nivell=3;no?=12		anglès=1	323	12	26	51	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-042-andreu-gonzalez	base	3232	1001	0.3097	0.0501	bé=7;bueno=3;clar=5;doncs=8;llavors=1;de fet=2;és a dir=2;o sigui=1;a veure=1;evidentment=2;per tant=1;a nivell=3;no?=6		espanyol=1;anglès=1	313	17	24	48	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-043-oriol-agorreta	small	3348	896	0.2676	0.0555	bé=24;bueno=10;clar=6;doncs=13;llavors=2;de fet=5;és a dir=3;a veure=7;diguem=1;evidentment=3;per tant=6;no?=1			349	55	40	56	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-043-oriol-agorreta	base	3359	860	0.2560	0.1014	bé=16;bueno=10;clar=3;doncs=13;llavors=2;de fet=4;és a dir=2;a veure=6;evidentment=3;per tant=6;no?=2			374	55	36	82	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-044-laura-casanovas	small	4683	1122	0.2396	0.0917	bé=26;bueno=8;clar=16;doncs=10;llavors=27;de fet=1;és a dir=7;a veure=1;diguem=1;per tant=1;no?=5	Canillo=3;Escaldes=1	castellà=1;espanyola=1	423	100	70	209	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-044-laura-casanovas	base	4704	1163	0.2472	0.0930	bé=23;bueno=4;clar=17;doncs=9;llavors=11;de fet=1;és a dir=5;vull dir=1;a veure=1;per tant=4;no?=8	parròquia=1;Canillo=3;Escaldes=1		442	95	69	237	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-045-arnau-rius	small	3307	877	0.2652	0.0651	bé=16;bueno=25;clar=17;doncs=8;llavors=9;de fet=2;o sigui=1;vull dir=2;a veure=1;per tant=1;a nivell=1;no?=10			299	15	16	60	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
