model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
base	discurs	perquè	249	880.240	882.400	0.0000	perquè hi ha dos tipus de vol.	candidat ASR; pendent d'audició
base	discurs	perquè	254	895.160	896.680	0.0000	perquè la SEU, al costat de la pista,	candidat ASR; pendent d'audició
base	discurs	aleshores	268	938.520	942.280	0.0000	Aleshores, no sé m'ha dictat directament,	candidat ASR; pendent d'audició
base	discurs	perquè	269	942.400	945.120	0.0000	perquè el GPS es va cita,	candidat ASR; pendent d'audició
base	discurs	perquè	270	945.240	948.080	0.0000	perquè som el que ja està instal·lant i funciona.	candidat ASR; pendent d'audició
base	discurs	a veure	273	955.240	957.120	0.0000	A veure que ens queden uns minuts.	candidat ASR; pendent d'audició
base	discurs	bé	278	967.120	969.480	0.0000	La gran pregunta que no és fer-la bé.	candidat ASR; pendent d'audició
base	discurs	no?	279	969.600	971.080	0.0000	I estaria u a favor o no?	candidat ASR; pendent d'audició
base	discurs	perquè	283	985.720	988.680	0.0000	perquè vinc a d'endor.	candidat ASR; pendent d'audició
base	discurs	a veure	286	995.680	999.760	0.0000	A veure, totes les infraestructures d'un país són bones.	candidat ASR; pendent d'audició
base	discurs	perquè	291	1017.240	1020.920	0.0000	o qualsevol cosa, perquè no hi més per tenir més de més dència,	candidat ASR; pendent d'audició
base	discurs	perquè	292	1021.040	1023.200	0.0000	perquè ja he vist, en una tendència,	candidat ASR; pendent d'audició
base	discurs	doncs	296	1032.920	1034.880	0.0000	Doncs ho deixem aquí.	candidat ASR; pendent d'audició
base	discurs	bé	301	1047.320	1049.080	0.0000	esperem que vagi tot molt i molt bé,	candidat ASR; pendent d'audició
base	discurs	doncs	305	1055.040	1057.440	0.0000	Doncs moltíssimes gràcies, volia donar les gràcies,	candidat ASR; pendent d'audició
