id_a	id_b	n_formes_compartides	formes	estat
lead-rtva-004-joan-mico	spk-024	11	bueno,bé,clar,comuns,de fet,doncs,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-025	7	bueno,bé,clar,doncs,no?,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-026	9	bueno,bé,clar,de fet,llavors,no?,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-027	9	bueno,bé,clar,doncs,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-028	8	bueno,bé,clar,doncs,llavors,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-029	5	bé,de fet,doncs,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-030	8	bueno,bé,clar,doncs,llavors,no?,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-031	7	bueno,bé,clar,doncs,no?,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-032	5	bueno,clar,de fet,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-033	7	bueno,bé,clar,de fet,doncs,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-034	6	bueno,bé,clar,comuns,doncs,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-035	10	bueno,bé,clar,de fet,doncs,llavors,no?,o sigui,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-036	7	bé,clar,comuns,doncs,llavors,o sigui,per tant	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-037	10	bueno,bé,clar,comuns,doncs,llavors,no?,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-038	8	bueno,bé,clar,doncs,llavors,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-039	9	bueno,bé,clar,comuns,doncs,llavors,no?,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-040	10	bueno,bé,clar,de fet,doncs,llavors,no?,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-041	7	bueno,bé,clar,doncs,llavors,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-042	10	bueno,bé,clar,de fet,doncs,llavors,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-043	9	bueno,bé,clar,doncs,llavors,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-044	11	bueno,bé,clar,de fet,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-045	9	bueno,bé,clar,doncs,llavors,no?,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-046	9	bueno,bé,clar,comuns,doncs,llavors,no?,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-047	3	bé,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-048	10	bueno,bé,clar,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-049	8	bueno,bé,clar,de fet,doncs,llavors,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-050	7	bé,clar,doncs,llavors,o sigui,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-051	10	bueno,bé,clar,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-052	4	bueno,clar,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-053	5	bueno,bé,clar,de fet,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-054	10	bueno,bé,clar,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-055	4	bé,doncs,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-056	5	bé,doncs,llavors,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-057	7	bé,clar,doncs,llavors,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-058	4	bueno,bé,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-059	8	bé,clar,comuns,de fet,doncs,llavors,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-060	8	bé,clar,de fet,llavors,no?,o sigui,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
