id_a	id_b	n_formes_compartides	formes	estat
lead-rtva-002-ian-moya	spk-020	11	a nivell,a veure,bé,clar,de fet,doncs,llavors,no?,o sigui,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-021	10	a nivell,a veure,bé,doncs,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-022	7	a nivell,bé,clar,doncs,evidentment,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-023	2	doncs,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-024	12	Escaldes,a veure,bé,clar,de fet,doncs,evidentment,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-025	8	bé,clar,doncs,evidentment,no?,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-026	12	Escaldes,a nivell,a veure,bé,clar,de fet,evidentment,llavors,no?,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-027	9	bé,clar,doncs,evidentment,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-028	10	Escaldes,a nivell,a veure,bé,clar,doncs,evidentment,llavors,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-029	6	bé,de fet,doncs,evidentment,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-030	9	bé,clar,doncs,evidentment,llavors,no?,o sigui,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-031	8	a veure,bé,clar,doncs,evidentment,no?,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-032	4	clar,de fet,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-033	6	a veure,bé,clar,de fet,doncs,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-034	8	Escaldes,a veure,bé,clar,doncs,evidentment,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-035	14	Escaldes,a nivell,a veure,bé,clar,de fet,doncs,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-036	7	Escaldes,bé,clar,doncs,llavors,o sigui,per tant	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-037	10	Escaldes,a nivell,a veure,bé,clar,doncs,llavors,no?,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-038	9	a veure,bé,clar,doncs,evidentment,llavors,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-039	10	Escaldes,a nivell,a veure,bé,clar,doncs,llavors,no?,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-040	11	a veure,bé,clar,de fet,doncs,evidentment,llavors,no?,o sigui,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-041	5	bé,clar,doncs,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-042	11	a nivell,a veure,bé,clar,de fet,doncs,llavors,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-043	11	Escaldes,a nivell,bé,clar,doncs,evidentment,llavors,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-044	13	a nivell,a veure,bé,clar,de fet,doncs,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-045	10	a nivell,a veure,bé,clar,doncs,evidentment,llavors,no?,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-046	10	a nivell,bé,clar,doncs,evidentment,llavors,no?,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-047	4	Escaldes,bé,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-048	13	Escaldes,a nivell,a veure,bé,clar,doncs,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-049	7	bé,clar,de fet,doncs,llavors,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-050	8	bé,clar,doncs,evidentment,llavors,o sigui,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-051	11	a nivell,a veure,bé,clar,doncs,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-052	3	clar,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-053	7	a nivell,bé,clar,de fet,evidentment,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-054	10	a nivell,a veure,bé,clar,doncs,llavors,no?,o sigui,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-055	7	Escaldes,bé,doncs,evidentment,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-056	5	bé,doncs,llavors,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-057	10	Escaldes,a veure,bé,clar,doncs,evidentment,llavors,o sigui,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-058	5	Escaldes,a veure,bé,llavors,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-059	9	Escaldes,bé,clar,de fet,doncs,llavors,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-060	9	a veure,bé,clar,de fet,llavors,no?,o sigui,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
