segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
26	94.920	96.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè, com ara m'he passat des del Nadal,	heurística textual; pendent d'audició
27	97.000	100.000	indeterminat	baixa	no hi ha senyal textual suficient	a Barcelona fent feina cada dia, és el primer cop que torno a pujar.	heurística textual; pendent d'audició
28	100.080	102.560	indeterminat	baixa	no hi ha senyal textual suficient	Ah, d'acord, o sigui, tu t'has instal·lat a Barcelona,	heurística textual; pendent d'audició
29	102.640	104.640	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	i aquest viatge ha sigut el primer de tornada, eh?	heurística textual; pendent d'audició
30	104.720	105.720	indeterminat	baixa	no hi ha senyal textual suficient	Així és.	heurística textual; pendent d'audició
31	105.800	108.320	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Quines sensacions has tingut al sortir?	heurística textual; pendent d'audició
32	108.400	110.400	indeterminat	baixa	no hi ha senyal textual suficient	Doncs molt bones.	heurística textual; pendent d'audició
33	110.480	114.480	ian-probable	baixa	primera persona i resposta desenvolupada	O sigui, la primera, per jo, que es pensa la gent que quan surts del programa,	heurística textual; pendent d'audició
34	114.560	117.720	indeterminat	baixa	no hi ha senyal textual suficient	Això potser més trista, més melancòlica, però res a veure,	heurística textual; pendent d'audició
35	117.800	121.080	mixt-indeterminat	baixa	pregunta i resposta possible dins el mateix segment	perquè de la manera que vaig sortir vaig veure que vaig agradar moltíssima gent	heurística textual; pendent d'audició
36	121.160	123.360	indeterminat	baixa	no hi ha senyal textual suficient	i que tota l'equip estava recolzant-me.	heurística textual; pendent d'audició
37	123.440	125.160	indeterminat	baixa	no hi ha senyal textual suficient	Llavors la gent de la seva va ser molt positiva.	heurística textual; pendent d'audició
38	125.240	126.920	indeterminat	baixa	no hi ha senyal textual suficient	Tu ets el primer endurrar.	heurística textual; pendent d'audició
39	127.000	129.840	indeterminat	baixa	no hi ha senyal textual suficient	Ho deies quan et vas presentar a les candidatures,	heurística textual; pendent d'audició
40	129.920	132.080	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	quan et van donar la notícia que estaves dins	heurística textual; pendent d'audició
41	132.160	134.960	ian-probable	baixa	primera persona i resposta desenvolupada	i vas cridar, sóc el primer endurrar d'eufòria.	heurística textual; pendent d'audició
42	135.040	136.640	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Això què? Això pesa?	heurística textual; pendent d'audició
43	137.360	139.160	indeterminat	baixa	no hi ha senyal textual suficient	Doncs no, simplement és un orgull.	heurística textual; pendent d'audició
44	140.240	142.960	indeterminat	baixa	no hi ha senyal textual suficient	Això és un orgull poder representar el país on ha crescut,	heurística textual; pendent d'audició
45	143.040	146.000	ian-probable	baixa	primera persona i resposta desenvolupada	El que ha confiat en mi en la meva carrera musical, el que m'ha format,	heurística textual; pendent d'audició
46	146.080	147.960	indeterminat	baixa	no hi ha senyal textual suficient	i això va ser la gran il·lusió.	heurística textual; pendent d'audició
47	148.040	150.960	indeterminat	baixa	no hi ha senyal textual suficient	Hi havia molts companys d'Andorra que també ho havien intentat durant anys,	heurística textual; pendent d'audició
48	151.040	153.480	indeterminat	baixa	no hi ha senyal textual suficient	i ser el primer, doncs, això era una alegria.	heurística textual; pendent d'audició
49	153.560	155.720	indeterminat	baixa	no hi ha senyal textual suficient	Tu tens 18 anys, ets petitíssim.	heurística textual; pendent d'audició
50	155.800	159.080	indeterminat	baixa	no hi ha senyal textual suficient	De vegades els concursos musicals t'apropen més a la decisió	heurística textual; pendent d'audició
51	159.160	162.560	indeterminat	baixa	no hi ha senyal textual suficient	de saber què vols fer amb la teva carrera musical, amb la teva vida,	heurística textual; pendent d'audició
52	162.640	164.640	indeterminat	baixa	no hi ha senyal textual suficient	o al contrari, et fan allunyar-te perquè dius,	heurística textual; pendent d'audició
53	164.720	166.720	indeterminat	baixa	no hi ha senyal textual suficient	"""Jo això no vull continuar fent."""	heurística textual; pendent d'audició
54	166.800	168.800	indeterminat	baixa	no hi ha senyal textual suficient	En el teu cas, has sigut eufòria, un trampoli,	heurística textual; pendent d'audició
55	168.880	171.880	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	"o has sigut un pas enrere i dir, ""Mira, vull fer una altra cosa?"""	heurística textual; pendent d'audició
56	171.960	174.720	indeterminat	baixa	no hi ha senyal textual suficient	No, no ha sigut el gran despertar de saber què vull fer.	heurística textual; pendent d'audició
57	174.800	177.280	ian-probable	baixa	primera persona i resposta desenvolupada	Ho tenia molt clar, però ho he de confirmar, com ve dius,	heurística textual; pendent d'audició
58	177.360	180.240	indeterminat	baixa	no hi ha senyal textual suficient	i si és la confirmació de què vull dir Carme, això, de per vida.	heurística textual; pendent d'audició
59	180.320	183.320	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	O sigui, tu ja tens aquesta decisió pres en 18 anys, eh?	heurística textual; pendent d'audició
60	183.400	184.920	indeterminat	baixa	no hi ha senyal textual suficient	Sí, jo ho tenia davant.	heurística textual; pendent d'audició
61	185.000	187.560	ian-probable	baixa	primera persona i resposta desenvolupada	Jo em vaig presentar a Foria amb 16 anys, a Foria 3,	heurística textual; pendent d'audició
62	187.640	189.960	ian-probable	baixa	primera persona i resposta desenvolupada	que és l'edat mínima, i ja vaig intentar.	heurística textual; pendent d'audició
63	190.040	193.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ah, cort, o sigui, tu ja dius... i a quines portes et vas quedar?	heurística textual; pendent d'audició
64	193.080	194.960	indeterminat	baixa	no hi ha senyal textual suficient	Els càstings finals em vaig quedar.	heurística textual; pendent d'audició
65	195.040	197.040	indeterminat	baixa	no hi ha senyal textual suficient	O sigui, és que ja la porta ha caigut d'entrar,	heurística textual; pendent d'audició
66	197.120	199.120	indeterminat	baixa	no hi ha senyal textual suficient	i mira, ara sí que m'ha acabat d'entrar del tot.	heurística textual; pendent d'audició
67	199.200	201.200	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Escolta, ja, ja t'han sortit bolos?	heurística textual; pendent d'audició
68	201.280	208.120	indeterminat	baixa	no hi ha senyal textual suficient	Estic en alguns, comencen a sortir i estic en buscar per fer molts, llavors sí, ja comencen.	heurística textual; pendent d'audició
69	208.120	214.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	On t'agradaria cantar? Que dius, mira, això és un lloc, un escenari que a mi m'agradaria trepitjar.	heurística textual; pendent d'audició
70	214.720	219.640	ian-probable	baixa	primera persona i resposta desenvolupada	Doncs mira, aquí en dos, l'auditori nacional m'agrada fer un concert com allà, això seria com un somni.	heurística textual; pendent d'audició
71	219.640	225.920	ian-probable	baixa	primera persona i resposta desenvolupada	El Palau Sant Jordi, que ho faré el 31 de maig, al costat dels meus companys, que això és com el més boig de tot.	heurística textual; pendent d'audició
72	225.920	231.120	ian-probable	baixa	primera persona i resposta desenvolupada	I després, a nivell d'artista, jo et diria potser un art de triomf amb un praia de Barcelona o alguna cosa així,	heurística textual; pendent d'audició
73	231.120	233.640	indeterminat	baixa	no hi ha senyal textual suficient	que són 200.000 persones i seria com un somni.	heurística textual; pendent d'audició
74	233.640	237.240	indeterminat	baixa	no hi ha senyal textual suficient	I en tu vas... Avui, ara, quan estàvem a començar l'entrevista,	heurística textual; pendent d'audició
75	237.240	240.960	indeterminat	baixa	no hi ha senyal textual suficient	es dit que és molt fort perquè fa just un mes que va ser la primera gala,	heurística textual; pendent d'audició
76	240.960	245.400	indeterminat	baixa	no hi ha senyal textual suficient	la primera gala que tu et vas presentar, després de sopar a molts càstings,	heurística textual; pendent d'audició
77	245.400	249.160	indeterminat	baixa	no hi ha senyal textual suficient	i que vas poder cantar aquesta cançó que estem escoltant ara. A veure, pugem-la.	heurística textual; pendent d'audició
78	255.640	259.240	indeterminat	baixa	no hi ha senyal textual suficient	"Això és ""Tromai"", que és en francès, que té molta lletra."	heurística textual; pendent d'audició
79	259.320	262.080	indeterminat	baixa	no hi ha senyal textual suficient	Aquesta arrancada va crear molta sensació,	heurística textual; pendent d'audició
80	262.160	265.440	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè tu balles, cantes, mirades, fixa càmera,	heurística textual; pendent d'audició
81	265.520	268.080	indeterminat	baixa	no hi ha senyal textual suficient	que és una actuació com per veure també a nivell visual.	heurística textual; pendent d'audició
82	268.160	270.840	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Diries que va ser la teva millor actuació del concurs?	heurística textual; pendent d'audició
83	270.920	273.440	ian-probable	baixa	primera persona i resposta desenvolupada	Jo diria que sí, però perquè és la actuació	heurística textual; pendent d'audició
84	273.520	275.520	ian-probable	baixa	primera persona i resposta desenvolupada	que més m'ha definit de les quatre que he fet.	heurística textual; pendent d'audició
85	275.600	278.040	ian-probable	baixa	primera persona i resposta desenvolupada	"O sigui, quan em van dir que ja anava a cantar ""Logon Tons"","	heurística textual; pendent d'audició
86	278.120	281.120	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè no ho decidim, o sigui, ens donem ills a la Gala, ho vull dir,	heurística textual; pendent d'audició
87	281.200	284.160	indeterminat	baixa	no hi ha senyal textual suficient	"va ser un despertar, perquè a ""Logon Tons""..."	heurística textual; pendent d'audició
88	284.240	288.680	ian-probable	baixa	primera persona i resposta desenvolupada	És l'artista de la meva infància perquè la cultura francesa forma part de mi.	heurística textual; pendent d'audició
89	289.080	292.480	indeterminat	baixa	no hi ha senyal textual suficient	Llavors vam dir que cantaràs, ballaràs i cantaràs amb un francès.	heurística textual; pendent d'audició
90	292.560	294.000	indeterminat	baixa	no hi ha senyal textual suficient	És la meva, però sí.	heurística textual; pendent d'audició
91	294.080	297.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	És que és aposta a tot, eh? Començar com per la porta gran.	heurística textual; pendent d'audició
92	297.080	299.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Al final és el que vull fer com artista, no?	heurística textual; pendent d'audició
93	299.800	302.480	indeterminat	baixa	no hi ha senyal textual suficient	Ballar, donar això, cantar, llavors va ser almenys.	heurística textual; pendent d'audició
94	302.560	305.960	ian-probable	baixa	primera persona i resposta desenvolupada	Passi el que passi a la Galu, he demostrat que és el que vull ser com artista.	heurística textual; pendent d'audició
95	306.240	308.480	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	O sigui, això és... Què es va veure?	heurística textual; pendent d'audició
96	309.200	311.200	indeterminat	baixa	no hi ha senyal textual suficient	La gent que sabeu ballar i cantar l'hora,	heurística textual; pendent d'audició
97	311.280	313.800	indeterminat	baixa	no hi ha senyal textual suficient	també hi ha una altra sortida que no només és ser cantant,	heurística textual; pendent d'audició
98	313.880	315.880	indeterminat	baixa	no hi ha senyal textual suficient	sinó a teatre musical, per exemple.	heurística textual; pendent d'audició
99	315.960	317.960	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Tu t'hi veus?	heurística textual; pendent d'audició
100	318.040	320.040	indeterminat	baixa	no hi ha senyal textual suficient	Doncs no m'hi veia tant.	heurística textual; pendent d'audició
101	320.120	323.120	ian-probable	baixa	primera persona i resposta desenvolupada	Ara que he estat d'Euphoria, perquè jo no he vallat en la vida,	heurística textual; pendent d'audició
102	323.200	326.200	ian-probable	baixa	primera persona i resposta desenvolupada	va ser ara que jo volia fer-ho i vaig i... vinc a fer-m'ho.	heurística textual; pendent d'audició
103	326.280	328.280	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Manimo, no? Sí, a veure què surt.	heurística textual; pendent d'audició
104	328.360	331.360	indeterminat	baixa	no hi ha senyal textual suficient	I ara, com que molta gent m'està animant de fer-ho musical,	heurística textual; pendent d'audició
105	331.440	334.440	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè tens perfil i cada cop veig més la idea que potser sí.	heurística textual; pendent d'audició
106	334.520	337.520	indeterminat	baixa	no hi ha senyal textual suficient	Fa una setmana i mitja que tu vas posar a punt i final el projecte d'Euphoria,	heurística textual; pendent d'audició
107	337.600	339.600	indeterminat	baixa	no hi ha senyal textual suficient	ara diem que fa més d'un mes que està en emissió,	heurística textual; pendent d'audició
108	339.680	341.680	indeterminat	baixa	no hi ha senyal textual suficient	però aquesta aventura per tu va començar molt abans.	heurística textual; pendent d'audició
109	341.760	344.760	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Tu, quan vas fer aquests càstings per entrar a la temporada 4?	heurística textual; pendent d'audició
110	344.840	346.520	indeterminat	baixa	no hi ha senyal textual suficient	A l'octubre del 2025.	heurística textual; pendent d'audició
111	346.600	348.560	indeterminat	baixa	no hi ha senyal textual suficient	S'ha escampat que em diries a l'agost,	heurística textual; pendent d'audició
112	348.640	351.400	indeterminat	baixa	no hi ha senyal textual suficient	que això es feia quan era estiu a la plaça Catalunya,	heurística textual; pendent d'audició
113	351.480	353.840	indeterminat	baixa	no hi ha senyal textual suficient	ple sol radiant, a l'octubre va ser.	heurística textual; pendent d'audició
114	353.920	355.960	indeterminat	baixa	no hi ha senyal textual suficient	Clar, s'hi enviem, la primera fase és on-line,	heurística textual; pendent d'audició
115	356.040	358.480	indeterminat	baixa	no hi ha senyal textual suficient	llavors els vídeos sí que l'enviem des del juny fins al setembre.	heurística textual; pendent d'audició
116	358.560	360.400	indeterminat	baixa	no hi ha senyal textual suficient	Llavors això sí, hi ha una llarga espera.	heurística textual; pendent d'audició
117	360.480	362.520	indeterminat	baixa	no hi ha senyal textual suficient	I després dels presencials, que sona l'octubre.	heurística textual; pendent d'audició
118	362.600	364.960	indeterminat	baixa	no hi ha senyal textual suficient	I on vas passar més nervis, fent els càstings	heurística textual; pendent d'audició
119	365.040	367.640	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	o posant-te davant d'una pantalla per primera vegada?	heurística textual; pendent d'audició
120	367.720	368.960	indeterminat	baixa	no hi ha senyal textual suficient	Els càstings.	heurística textual; pendent d'audició
121	369.040	371.440	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Perquè un cop des dins del concurs hi ha els nervis,	heurística textual; pendent d'audició
122	371.520	374.080	indeterminat	baixa	no hi ha senyal textual suficient	ja has d'entrat tot el patiment, tota la feina, ja hi és.	heurística textual; pendent d'audició
123	374.160	377.080	indeterminat	baixa	no hi ha senyal textual suficient	Els càstings del que passa és que hi ha una pressió sota Mesa,	heurística textual; pendent d'audició
124	377.160	380.040	indeterminat	baixa	no hi ha senyal textual suficient	que és molt gran, i t'estàs jugant a complir el teu somni.	heurística textual; pendent d'audició
125	380.120	381.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Llavors, què que la pressió és afegida?	heurística textual; pendent d'audició
126	381.800	386.360	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Quants càstings vas haver de passar per arribar a ser candidat?	heurística textual; pendent d'audició
127	386.440	388.600	indeterminat	baixa	no hi ha senyal textual suficient	Doncs mira, ja, això el que té abans del càsting online,	heurística textual; pendent d'audició
128	388.680	391.040	indeterminat	baixa	no hi ha senyal textual suficient	que és un vídeo, i després hi ha el càsting de Plaça Catalunya,	heurística textual; pendent d'audició
129	391.120	394.120	indeterminat	baixa	no hi ha senyal textual suficient	que és el que fem la cua i que entén davant dels coachs per primera vegada,	heurística textual; pendent d'audició
130	394.200	395.600	indeterminat	baixa	no hi ha senyal textual suficient	i en següent, sí o no,	heurística textual; pendent d'audició
131	395.680	397.720	indeterminat	baixa	no hi ha senyal textual suficient	i després els càstings finals, que són 3 dies,	heurística textual; pendent d'audició
132	397.800	401.640	indeterminat	baixa	no hi ha senyal textual suficient	I a cada dia van eliminant de les 80 persones que querem 70 persones.	heurística textual; pendent d'audició
133	401.720	405.000	indeterminat	baixa	no hi ha senyal textual suficient	Que eren el càsting final, cada dia no van eliminant fins que dels 16.	heurística textual; pendent d'audició
134	405.080	407.800	indeterminat	baixa	no hi ha senyal textual suficient	O sigui, aquests 3 dies són com de colònia, se'ns ho hem d'imaginar,	heurística textual; pendent d'audició
135	407.880	411.960	indeterminat	baixa	no hi ha senyal textual suficient	que esteu allà tots flipant molt perquè estàs a TV3, lògicament,	heurística textual; pendent d'audició
136	412.040	416.800	indeterminat	baixa	no hi ha senyal textual suficient	hem pogut veure les imatges, però llavors fas com una mena de grup,	heurística textual; pendent d'audició
137	416.880	419.800	indeterminat	baixa	no hi ha senyal textual suficient	de sensació grupal, que hi ha molta gent que es queda a les portes.	heurística textual; pendent d'audició
138	419.880	422.280	indeterminat	baixa	no hi ha senyal textual suficient	Sí, a aquesta part és la més trista, perquè és el que dius.	heurística textual; pendent d'audició
139	422.360	425.200	indeterminat	baixa	no hi ha senyal textual suficient	Hi ha molta comunitat, perquè estem ajudant pel mateix,	heurística textual; pendent d'audició
140	425.280	427.640	indeterminat	baixa	no hi ha senyal textual suficient	la passió és la mateixa, llavors connectem molt ràpid	heurística textual; pendent d'audició
141	427.720	430.520	indeterminat	baixa	no hi ha senyal textual suficient	i acomiadar-se de la gent ja als castings ja és molt dur.	heurística textual; pendent d'audició
142	430.600	432.720	indeterminat	baixa	no hi ha senyal textual suficient	Sentim una altra actuació d'en Yann.	heurística textual; pendent d'audició
143	451.480	454.280	indeterminat	baixa	no hi ha senyal textual suficient	Són les 4 i 13 minuts, estem parlant amb en Yann Moya,	heurística textual; pendent d'audició
144	454.360	458.760	indeterminat	baixa	no hi ha senyal textual suficient	que és un del primer artista a Andorra que ha participat a Eufòria.	heurística textual; pendent d'audició
145	458.840	462.560	indeterminat	baixa	no hi ha senyal textual suficient	Això té un apropament immens, entenc, amb tot el públic.	heurística textual; pendent d'audició
146	462.640	464.640	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	A tu, Andorra, ja t'ha emparat o no?	heurística textual; pendent d'audició
147	464.720	466.720	indeterminat	baixa	no hi ha senyal textual suficient	De moment, no, però perquè va estant incògnit.	heurística textual; pendent d'audició
148	466.800	468.800	indeterminat	baixa	no hi ha senyal textual suficient	Amb les ulleres de sol, perquè fa un sol increïble.	heurística textual; pendent d'audició
149	468.880	470.880	indeterminat	baixa	no hi ha senyal textual suficient	De moment, no, però tampoc hi ha estat molt temps.	heurística textual; pendent d'audició
150	470.960	474.960	indeterminat	baixa	no hi ha senyal textual suficient	Tampoc t'has pogut pavonejar, tampoc has pogut passejar gaire.	heurística textual; pendent d'audició
151	475.040	478.440	indeterminat	baixa	no hi ha senyal textual suficient	No, per l'escaldes. No hi ha hagut temps, encara, de fer-ho.	heurística textual; pendent d'audició
152	478.520	480.720	indeterminat	baixa	no hi ha senyal textual suficient	Encara no hi ha hagut temps. Quan ho facis, t'has de gravar.	heurística textual; pendent d'audició
153	480.800	482.800	indeterminat	baixa	no hi ha senyal textual suficient	Has de gravar un tic-toc o alguna cosa.	heurística textual; pendent d'audició
154	482.880	485.840	indeterminat	baixa	no hi ha senyal textual suficient	Un bloc d'escolta, que t'ha semblat aquest artista.	heurística textual; pendent d'audició
155	485.920	488.560	indeterminat	baixa	no hi ha senyal textual suficient	I llavors tu et destapes com a incògnit	heurística textual; pendent d'audició
156	488.640	490.640	indeterminat	baixa	no hi ha senyal textual suficient	que està esperant el treball de la resposta.	heurística textual; pendent d'audició
157	490.720	492.720	ian-probable	baixa	primera persona i resposta desenvolupada	Això m'agrada molt.Sí, això apunta a tu.	heurística textual; pendent d'audició
158	492.800	495.800	indeterminat	baixa	no hi ha senyal textual suficient	No, clar, per als que no t'hem pogut seguir eufòria,	heurística textual; pendent d'audició
159	495.880	499.320	indeterminat	baixa	no hi ha senyal textual suficient	o tant per als que sí, tu ets un perfeccionista de mena.	heurística textual; pendent d'audició
160	500.400	503.400	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	A Santeixes, és així?Sí, sí, sí, sí, que ho soc molt.	heurística textual; pendent d'audició
161	503.480	506.280	ian-probable	baixa	primera persona i resposta desenvolupada	Des de ben petit, i que que ha definit molt el meu art	heurística textual; pendent d'audició
162	506.360	508.360	ian-probable	baixa	primera persona i resposta desenvolupada	i la meva feina durant tota la meva vida.	heurística textual; pendent d'audició
163	508.440	510.960	ian-probable	baixa	primera persona i resposta desenvolupada	No ho dic només jo, sinó que ho diu el Dani Anglès,	heurística textual; pendent d'audició
164	511.040	514.920	indeterminat	baixa	no hi ha senyal textual suficient	que és el director d'Eufòria, director del programa.	heurística textual; pendent d'audició
165	515.000	518.320	indeterminat	baixa	no hi ha senyal textual suficient	El vam trucar per fer un tema fa un mes o un mes i mig	heurística textual; pendent d'audició
166	518.400	523.120	indeterminat	baixa	no hi ha senyal textual suficient	sobre la impossibilitat, la dificultat que teníem la gent mortal	heurística textual; pendent d'audició
167	523.200	526.760	indeterminat	baixa	no hi ha senyal textual suficient	per aconseguir entrades per grans concerts, concerts com Rihanna,	heurística textual; pendent d'audició
168	526.840	528.560	indeterminat	baixa	no hi ha senyal textual suficient	Bad Bunny i Rosalía, i el vam trucar.	heurística textual; pendent d'audició
169	528.640	531.200	indeterminat	baixa	no hi ha senyal textual suficient	Però, clar, la primera pregunta, lògicament, que li vam fer...	heurística textual; pendent d'audició
170	531.280	533.800	indeterminat	baixa	no hi ha senyal textual suficient	Escolta, abans d'entrar al tema, que va d'entrar a un endurrar,	heurística textual; pendent d'audició
171	533.880	536.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	com el veus? Ell ens va dir això.	heurística textual; pendent d'audició
172	536.080	539.680	ian-probable	baixa	primera persona i resposta desenvolupada	Doncs mira, t'he de dir que gairebé sempre ha vingut gent a les audicions	heurística textual; pendent d'audició
173	539.760	549.160	ian-probable	baixa	segment llarg compatible amb resposta	I sempre amb nivell molt bo, és a dir, cada any hi havia hagut una o dues persones que quedava entre els 50 finals, que arribava el càsting presencial,	heurística textual; pendent d'audició
174	549.160	557.760	ian-probable	baixa	segment llarg compatible amb resposta	però sempre són moltes variables, les que aporten a acabar sent un dels 16, finalment, i la veritat és que el llant té alguna cosa molt especial.	heurística textual; pendent d'audició
175	557.760	562.160	ian-probable	baixa	primera persona i resposta desenvolupada	Jo li dic que és l'alumna perfecta. És l'alumna perfecta.	heurística textual; pendent d'audició
176	562.160	567.400	ian-probable	baixa	segment llarg compatible amb resposta	Està sempre amb una llibreta, de fet el diumenge vam fer la primera tutoria per valorar la primera gala	heurística textual; pendent d'audició
177	567.400	571.120	ian-probable	baixa	segment llarg compatible amb resposta	i tots van ser allà com per xerrar-mi i el Llan anava amb la llibreta i el voli.	heurística textual; pendent d'audició
178	571.120	573.120	indeterminat	baixa	no hi ha senyal textual suficient	-Molt predisposat. -Com per a putes coses.	heurística textual; pendent d'audició
179	573.120	578.000	indeterminat	baixa	no hi ha senyal textual suficient	Molt predisposat i molt molt molt estudiós, ho vol fer molt molt molt ben fet.	heurística textual; pendent d'audició
180	578.000	581.840	indeterminat	baixa	no hi ha senyal textual suficient	Ho vol fer molt ben fet. Està molt orgullós de representar en Dorre.	heurística textual; pendent d'audició
181	581.840	585.800	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	-Vull dir, que és... -Home, està tu, país, és com a orgullo, això, eh?	heurística textual; pendent d'audició
182	585.800	587.000	indeterminat	baixa	no hi ha senyal textual suficient	Per això, per això.	heurística textual; pendent d'audició
183	587.000	590.000	ian-probable	baixa	primera persona i resposta desenvolupada	Bé, de fet mira, acabes de dir una paraula màgic, jo crec que és un dels seus somnis.	heurística textual; pendent d'audició
184	592.160	594.720	indeterminat	baixa	no hi ha senyal textual suficient	A veure, aquí s'han dit moltes coses.	heurística textual; pendent d'audició
185	594.800	598.200	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Què, què tal, el Dani? L'ha clavat el Dani o no?	heurística textual; pendent d'audició
186	598.280	601.080	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Com? L'ha clavat amb l'opinió que t'ha...	heurística textual; pendent d'audició
187	601.160	604.480	indeterminat	baixa	no hi ha senyal textual suficient	Sí, de fet, sí, i el que ha dit m'ho deia a mi en persona.	heurística textual; pendent d'audició
188	604.560	606.560	indeterminat	baixa	no hi ha senyal textual suficient	Llavors, és que m'he vist molt reflexat	heurística textual; pendent d'audició
