forma	segment	inici_s	final_s	text_asr	estat
perquè	104	302.120	305.120	perquè el tenir punts Copa del Món és el que marca el dorsal,	candidat ASR; pendent d'audició
bé	105	305.200	306.800	però també està bé,	candidat ASR; pendent d'audició
per tant	108	312.160	315.200	Per tant, una puntuació important era...	candidat ASR; pendent d'audició
doncs	111	324.000	327.400	doncs poder fer una carrera així allà és increïble.	candidat ASR; pendent d'audició
perquè	115	334.840	337.160	perquè ara et regeixes per la one-top-start list,	candidat ASR; pendent d'audició
no?	117	341.600	343.600	Et serveix d'alguna cosa o no?	candidat ASR; pendent d'audició
llavors	119	347.880	351.080	Perquè llavors, a partir d'allà, un altre cop seria ranking per punts fills.	candidat ASR; pendent d'audició
perquè	119	347.880	351.080	Perquè llavors, a partir d'allà, un altre cop seria ranking per punts fills.	candidat ASR; pendent d'audició
bé	120	351.160	354.080	I llavors, doncs, bueno, també està bé, és com un seguro, no?	candidat ASR; pendent d'audició
bueno	120	351.160	354.080	I llavors, doncs, bueno, també està bé, és com un seguro, no?	candidat ASR; pendent d'audició
doncs	120	351.160	354.080	I llavors, doncs, bueno, també està bé, és com un seguro, no?	candidat ASR; pendent d'audició
llavors	120	351.160	354.080	I llavors, doncs, bueno, també està bé, és com un seguro, no?	candidat ASR; pendent d'audició
no?	120	351.160	354.080	I llavors, doncs, bueno, també està bé, és com un seguro, no?	candidat ASR; pendent d'audició
de fet	126	370.600	373.320	De fet, segurament sorties, em poso que el 25 no està tot el 26,	candidat ASR; pendent d'audició
no?	127	373.400	375.240	però es poso que el 25, no?	candidat ASR; pendent d'audició
no?	128	375.320	378.000	Això sí que és clau, no?	candidat ASR; pendent d'audició
llavors	136	400.720	404.840	que us et condiciona, òbviament, a la teva carrera i, llavors...	candidat ASR; pendent d'audició
perquè	144	428.400	432.280	Perquè, justament, m'havia sortit d'aquest top 30,	candidat ASR; pendent d'audició
clar	145	432.360	435.080	i, clar, és una anyomica de construcció, suposo,	candidat ASR; pendent d'audició
perquè	146	435.160	437.960	perquè jo penso, personalment,	candidat ASR; pendent d'audició
clar	148	440.360	443.200	però, clar, s'ha d'anar construint per poder arribar allà	candidat ASR; pendent d'audició
no?	149	443.280	445.760	i tenir la estratègia correcta per poder arribar-hi, no?	candidat ASR; pendent d'audició
bueno	150	445.840	448.280	Bueno, mira aquí, t'anava a dir entre tu i jo,	candidat ASR; pendent d'audició
perquè	154	455.840	457.880	Perquè, de ser sumar punts,	candidat ASR; pendent d'audició
llavors	163	484.400	486.600	Llavors, com que no m'ho puc permetre ara mateix,	candidat ASR; pendent d'audició
doncs	164	486.680	491.760	doncs vull esquiar més intel·ligent, eh, guarda, això.	candidat ASR; pendent d'audició
a veure	173	518.680	521.080	A veure, això és molt relatiu, eh?	candidat ASR; pendent d'audició
vull dir	174	521.160	523.440	Però al final de temporada, vull dir.	candidat ASR; pendent d'audició
no?	182	544.800	546.480	això et dona una tranquil·litat, no?	candidat ASR; pendent d'audició
no?	185	552.000	555.200	però et dona aquesta tranquil·litat i et fa treballar millor, potser, o no?	candidat ASR; pendent d'audició
perquè	188	560.440	563.800	Tinc una treta un pes de sobre, no només perquè he vist	candidat ASR; pendent d'audició
perquè	190	565.960	568.160	sinó també perquè ja tenim una base de punts important	candidat ASR; pendent d'audició
bé	191	568.240	572.040	i ara, per poc que sumem, doncs la cosa hauria d'anar bé.	candidat ASR; pendent d'audició
doncs	191	568.240	572.040	i ara, per poc que sumem, doncs la cosa hauria d'anar bé.	candidat ASR; pendent d'audició
no?	197	590.160	592.160	i no has poder pel tema del Covid, no?	candidat ASR; pendent d'audició
perquè	204	614.240	617.880	perquè he dit una mica, avui seguir en aquest esquí tan sòlid,	candidat ASR; pendent d'audició
evidentment	205	617.960	621.080	no cada cara podrà ser un 12è, jo, evidentment,	candidat ASR; pendent d'audició
doncs	208	628.160	630.680	doncs poder exprimir-me al màxim i anar a buscar punts.	candidat ASR; pendent d'audició
no?	209	630.760	632.920	Tornarà a haver-hi club de fans per allà o no?	candidat ASR; pendent d'audició
bé	211	635.520	639.520	No, està bé, perquè allà, si no, tot és austria, suïssa...	candidat ASR; pendent d'audició
perquè	211	635.520	639.520	No, està bé, perquè allà, si no, tot és austria, suïssa...	candidat ASR; pendent d'audició
bé	213	644.400	646.840	entre les grans nacions de l'esquí, d'on està molt bé?	candidat ASR; pendent d'audició
clar	219	665.600	667.480	Imagino que això passa tot el país, clar.	candidat ASR; pendent d'audició
bé	233	708.080	710.080	Bé, bé, poc a poc, eh?	candidat ASR; pendent d'audició
a veure	235	712.600	715.200	A veure, tu ho he destacat jo moltes vegades,	candidat ASR; pendent d'audició
clar	237	717.360	721.080	però, clar, no tens la vida d'algú de 20 anys normal,	candidat ASR; pendent d'audició
perquè	242	733.840	738.160	perquè, al final, només es veuen quatre imatges a les xarxes socials	candidat ASR; pendent d'audició
bueno	246	750.400	753.560	I, bueno, estem dedicant ganes, energia,	candidat ASR; pendent d'audició
bé	247	753.640	756.840	ens ho passem bé, intentem fer un format professional,	candidat ASR; pendent d'audició
bueno	253	769.320	771.320	I, bueno, posar resultats així també acompanya.	candidat ASR; pendent d'audició
bé	257	778.120	782.480	I bé, per l'experiència pròpia et puc dir que gent que no li agrada l'esquit...	candidat ASR; pendent d'audició
bé	259	784.920	786.360	Molt bé, merci.	candidat ASR; pendent d'audició
bé	262	794.040	797.800	Si la temporada va molt bé faré un dijous a la Varset de celebració.	candidat ASR; pendent d'audició
doncs	263	797.880	800.240	Doncs tampoc ens ho perdrem.	candidat ASR; pendent d'audició
